burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15204.0437	140.3799	-15197.5118	-15474.2674	-14934.8624	495.5277	-15280.5259	-15091.747	
prior	-7117.1953	139.195	-7110.1967	-7381.0644	-6847.351	492.0017	-7193.3903	-7005.204	
likelihood	-8086.8484	18.4637	-8087.1862	-8122.8276	-8050.1042	1395.3583	-8099.9305	-8075.316	
treeModel.rootHeight	212.5691	63.9308	202.842	107.426	336.496	592.6664	151.1136	228.4056	
age(root)	1810.4309	63.9308	1820.158	1686.504	1915.574	592.6664	1794.5944	1871.8864	
treeLength	2728.1357	490.1008	2644.1189	1886.3401	3699.0701	438.6089	2239.1744	2809.6539	
tmrca(ingroup)	212.5691	63.9308	202.842	107.426	336.496	592.6664	151.1136	228.4056	
age(ingroup)	1810.4309	63.9308	1820.158	1686.504	1915.574	592.6664	1794.5944	1871.8864	
demographic.populationSizeChanges	2.5686	0.6713	2	2	4	1134.9692	2	2	
demographic.populationMean	115.5875	100.8844	89.1818	16.3819	273.3203	528.5481	35.3198	97.1861	
demographic.popSize1	81.4569	60.4655	68.8663	0.6826	192.3264	485.6269	32.7915	95.8416	
demographic.popSize2	113.8406	172.4785	60.2952	2.7467E-3	394.3541	1653.6228	2.7467E-3	60.2952	
demographic.popSize3	117.8911	185.363	60.9786	5.8058E-3	409.3779	1616.0906	5.8058E-3	60.9786	
demographic.popSize4	115.4504	185.5162	60.4521	2.6365E-3	400.7416	1522.4795	2.6365E-3	60.4521	
demographic.popSize5	114.3567	192.1392	60.86	1.3851E-3	393.5954	1787.0996	5.6826E-4	60.86	
demographic.popSize6	115.9554	180.9955	60.1448	4.1256E-4	406.8718	1572.5428	0.013	60.1514	
demographic.popSize7	114.3542	181.9242	60.1136	1.1791E-3	391.3798	1681.7751	2.0908E-3	60.1136	
demographic.popSize8	115.1024	172.5127	61.2761	2.1296E-3	396.1292	1713.3851	2.1296E-3	61.2761	
demographic.popSize9	115.8594	189.7395	60.6925	1.6115E-3	398.1825	1487.1202	8.5102E-3	60.6966	
demographic.popSize10	115.9163	184.6064	60.6414	1.0849E-4	403.1897	1656.076	1.0849E-4	60.6414	
demographic.popSize11	112.6941	185.6004	59.2684	9.2644E-4	387.6623	1628.9949	0.0149	59.2748	
demographic.popSize12	115.1693	178.9837	60.4669	1.6471E-6	394.4676	1704.2795	1.6471E-6	60.4669	
demographic.popSize13	116.2199	184.1671	60.9703	3.8059E-3	395.7907	1548.0289	0.0207	60.9826	
demographic.popSize14	112.7995	179.0019	58.9791	0.0102	390.6405	1596.2978	0.0752	59.033	
demographic.popSize15	114.2074	172.0702	60.3856	3.6167E-4	396.7873	1661.3216	3.6167E-4	60.3856	
demographic.popSize16	115.1861	178.1818	59.8098	2.8107E-3	405.5784	1611.004	5.7428E-3	59.8122	
demographic.popSize17	114.1893	187.7191	57.4935	1.6365E-3	404.8157	1556.5107	1.6365E-3	57.4935	
demographic.popSize18	102.7941	158.5867	53.3954	2.5112E-3	358.8632	1720.644	2.1753E-3	53.3954	
demographic.popSize19	103.3413	184.6794	50.3517	1.0606E-4	368.5226	1493.4963	1.0606E-4	50.3517	
demographic.popSize20	111.0087	169.526	57.5779	5.7051E-3	390.2364	1659.4223	5.7051E-3	57.5779	
demographic.popSize21	113.5454	177.2063	59.3529	0.0171	390.2892	1701.726	0.0234	59.359	
demographic.popSize22	99.8848	179.875	45.1283	3.9105E-3	371.3475	1419.4228	3.9105E-3	45.1283	
demographic.popSize23	111.4933	181.9037	57.0458	3.2068E-3	392.5035	1480.4149	3.2068E-3	57.0458	
demographic.popSize24	105.3567	175.1516	50.574	1.0389E-3	387.9423	1341.1658	9.9404E-3	50.5768	
demographic.popSize25	96.808	178.8824	42.4569	2.0949E-3	362.6029	1277.2278	7.9123E-3	42.4569	
demographic.popSize26	108.5095	170.9948	54.8489	1.9175E-3	391.9786	1463.9302	1.9175E-3	54.8489	
demographic.popSize27	113.0738	195.7077	58.7494	4.1956E-3	390.3716	1598.0662	4.1956E-3	58.7494	
demographic.popSize28	102.0016	178.4211	50.5857	2.7749E-3	372.8675	1558.5896	0.0508	50.6136	
demographic.popSize29	116.5692	170.2116	66.2512	2.8262E-3	389.2208	1688.2221	0.0176	66.2624	
demographic.popSize30	117.8796	171.4767	68.5678	5.0057E-3	390.9781	1605.4309	5.0057E-3	68.5688	
demographic.popSize31	119.5607	189.6815	67.423	6.7318E-4	391.0951	1551.4728	1.4652E-4	67.423	
demographic.popSize32	115.9353	173.5287	64.7821	7.2974E-4	387.5442	1681.6863	7.2974E-4	64.7821	
demographic.popSize33	115.3094	168.5207	66.1421	7.7327E-4	380.4361	1884.315	7.7327E-4	66.1421	
demographic.popSize34	117.9133	179.2763	64.8178	4.4828E-3	392.4065	1636.7815	4.4828E-3	64.8178	
demographic.popSize35	116.7367	172.2867	65.8441	3.5181E-5	395.5125	1615.6142	0.0203	65.8525	
demographic.popSize36	117.4191	182.0046	63.7563	3.047E-3	395.8319	1559.5411	3.5652E-3	63.7563	
demographic.popSize37	116.9125	176.9004	64.5047	4.5761E-4	393.1352	1649.2741	8.4156E-3	64.5073	
demographic.popSize38	116.5439	184.0002	62.1841	0.0114	395.9473	1599.8423	0.0492	62.2148	
demographic.popSize39	115.1693	175.1364	62.4667	3.5126E-3	403.2427	1691.9981	4.5833E-3	62.4667	
demographic.popSize40	117.9402	192.7171	62.2503	1.083E-3	405.1144	1693.0505	1.083E-3	62.2503	
demographic.popSize41	114.6581	173.2801	63.0856	3.9748E-4	381.2923	1771.3871	3.9748E-4	63.0856	
demographic.popSize42	116.4516	174.9281	62.4329	0.0102	401.1981	1588.9262	0.0102	62.4329	
demographic.popSize43	113.7335	176.7064	61.0429	3.0613E-4	390.073	1808.773	3.0613E-4	61.0429	
demographic.popSize44	116.2853	178.6705	61.9221	8.7609E-4	395.4509	1596.2913	7.2279E-3	61.9254	
demographic.popSize45	115.2	184.9791	61.835	3.0675E-3	384.6801	1651.611	0.0155	61.84	
demographic.popSize46	115.7289	182.5747	62.0265	1.4266E-3	390.1868	1514.0275	5.2146E-3	62.0265	
demographic.popSize47	115.5633	178.423	62.6113	3.6482E-4	395.2639	1660.39	3.6482E-4	62.6113	
demographic.popSize48	117.8424	181.4321	63.6138	2.746E-3	395.1687	1630.9658	6.4527E-3	63.6156	
demographic.popSize49	115.7528	175.7294	62.5698	6.2787E-4	394.9918	1621.4248	0.0196	62.573	
demographic.popSize50	117.8333	207.5832	63.3517	1.9401E-3	391.5525	1743.3731	1.9401E-3	63.3517	
demographic.popSize51	114.6385	173.7149	61.8564	6.9869E-3	388.5799	1685.7036	9.4604E-4	61.8564	
demographic.popSize52	116.6452	182.982	61.2315	3.9393E-3	402.22	1467.8232	5.0515E-3	61.232	
demographic.popSize53	118.8525	192.3662	61.6933	1.9368E-3	402.3617	1470.062	1.9368E-3	61.6933	
demographic.popSize54	114.8115	176.2157	60.6074	2.8013E-3	393.7516	1630.9062	2.8013E-3	60.6074	
demographic.popSize55	115.0314	174.711	61.7001	9.8209E-4	390.2273	1628.6627	2.5905E-3	61.7001	
demographic.popSize56	116.3051	189.3724	61.6147	1.5942E-3	394.0921	1672.6604	1.5942E-3	61.6147	
demographic.popSize57	116.8812	185.6939	61.4646	5.3325E-5	395.6493	1651.7013	5.3325E-5	61.4646	
demographic.popSize58	115.9172	181.9216	61.8167	5.1833E-3	394.1725	1556.151	0.0149	61.8238	
demographic.popSize59	114.8206	179.738	60.8107	6.2686E-3	388.0166	1768.2488	2.4955E-3	60.8107	
demographic.popSize60	115.281	174.8806	61.2834	7.615E-4	391.3029	1827.3646	7.615E-4	61.2834	
demographic.popSize61	116.5109	204.4922	61.6091	4.8505E-4	391.8345	1679.8237	3.383E-3	61.6091	
demographic.popSize62	117.383	180.449	61.9504	1.5701E-3	400.162	1628.5205	0.0175	61.9536	
demographic.popSize63	115.9322	178.1666	61.5058	2.3394E-3	395.1989	1600.2655	2.3394E-3	61.5058	
demographic.popSize64	116.3201	177.243	62.2776	0.012	394.0963	1572.9093	0.0212	62.2779	
demographic.popSize65	115.4463	179.58	61.0558	1.3302E-3	385.7266	1540.2408	0.0241	61.0768	
demographic.popSize66	115.4801	173.2305	61.1979	3.97E-3	394.634	1693.9236	3.97E-3	61.1979	
demographic.popSize67	115.3033	173.5177	62.0955	4.6E-3	397.1317	1564.4419	4.6E-3	62.0955	
demographic.popSize68	116.2947	191.707	61.4996	4.1566E-4	392.8023	1678.4983	4.1566E-4	61.4996	
demographic.popSize69	117.6515	186.8625	62.3332	9.8E-4	397.237	1524.7906	3.0424E-3	62.3332	
demographic.popSize70	114.5264	178.3849	60.716	1.3199E-3	393.7771	1579.4026	0.0131	60.7194	
demographic.popSize71	115.9079	175.6083	61.8848	2.2269E-3	396.3001	1601.1904	0.0139	61.8903	
demographic.popSize72	116.6383	186.6848	60.3893	1.7021E-3	395.9839	1507.7713	1.7021E-3	60.3893	
demographic.popSize73	115.7388	179.5781	60.7343	1.2247E-3	406.1337	1543.5725	0.0329	60.7371	
demographic.popSize74	115.9914	183.8052	60.879	1.5025E-3	397.8181	1544.3305	6.7853E-3	60.8804	
demographic.popSize75	115.2921	185.636	61.6563	1.8016E-3	390.53	1494.0136	1.8016E-3	61.6563	
demographic.popSize76	115.8106	176.9712	61.1965	9.845E-3	394.0145	1675.3155	1.7124E-3	61.1965	
demographic.popSize77	117.0256	183.8708	60.8988	0.0139	402.3825	1702.4346	0.0214	60.8988	
demographic.popSize78	117.1164	180.3764	63.1615	4.3711E-3	388.5675	1626.3472	4.3711E-3	63.1615	
demographic.popSize79	116.8694	184.4975	61.7447	4.2923E-3	400.1541	1603.5589	9.7065E-3	61.7447	
demographic.popSize80	115.1982	173.7869	61.9262	2.1496E-3	393.263	1758.7052	2.1496E-3	61.9262	
demographic.popSize81	115.9598	179.0432	61.9879	0.0104	396.1016	1523.224	0.0104	61.9879	
demographic.popSize82	115.9786	178.7249	62.1776	1.5447E-3	397.0908	1674.628	1.5447E-3	62.1776	
demographic.popSize83	117.7694	182.3033	61.8635	8.1465E-3	411.828	1571.8858	0.0109	61.8635	
demographic.popSize84	116.5339	183.4782	61.5938	4.4523E-4	400.1449	1497.2895	0.0158	61.6047	
demographic.popSize85	114.9244	177.263	61.8437	7.6579E-4	392.4242	1677.2031	0.0225	61.8585	
demographic.popSize86	116.2452	186.4502	60.8502	1.0447E-3	394.0133	1642.4112	1.0447E-3	60.8502	
demographic.popSize87	116.4233	194.1536	61.3204	2.9115E-4	397.4649	1700.2187	2.9115E-4	61.3204	
demographic.popSize88	115.3279	190.9405	61.1143	6.2211E-3	390.1875	1613.7056	5.7983E-3	61.1143	
demographic.popSize89	117.2801	185.4428	61.5687	2.1786E-3	403.6909	1568.4096	6.4743E-3	61.5687	
demographic.popSize90	114.369	170.2353	60.5097	2.4061E-3	392.076	1683.9764	0.0217	60.5106	
demographic.popSize91	116.1477	188.3617	61.3851	5.7136E-3	399.0295	1682.9021	5.4689E-3	61.3851	
