burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-16245.5464	149.9784	-16232.833	-16543.5653	-15947.5944	475.3796	-16309.075	-16122.6387	
prior	-7146.9329	149.1662	-7133.8215	-7455.4716	-6860.765	471.2387	-7208.1582	-7023.1126	
likelihood	-9098.6136	16.9733	-9098.7529	-9131.9901	-9065.1054	1661.9751	-9110.377	-9087.7026	
treeModel.rootHeight	169.1928	51.1313	159.2154	90.7992	272.6553	607.3083	115.5564	172.4832	
age(root)	1853.8072	51.1313	1863.7846	1750.3447	1932.2008	607.3083	1850.5168	1907.4436	
treeLength	2341.467	428.8278	2273.2377	1609.8428	3213.6052	424.9924	1924.6003	2428.6198	
tmrca(ingroup)	169.1928	51.1313	159.2154	90.7992	272.6553	607.3083	115.5564	172.4832	
age(ingroup)	1853.8072	51.1313	1863.7846	1750.3447	1932.2008	607.3083	1850.5168	1907.4436	
demographic.populationSizeChanges	3.1394	0.6152	3	2	4	1429.954	3	3	
demographic.populationMean	147.29	141.1399	108.1589	18.004	377.1264	518.9867	44.3499	120.1061	
demographic.popSize1	90.7705	138.3747	49.0715	0.5863	339.151	451.6625	1.2553	49.0715	
demographic.popSize2	146.2718	250.1276	75.1936	2E-3	506.2747	1560.306	3.1894E-3	75.1936	
demographic.popSize3	147.1921	259.9908	74.5163	0.0186	514.0014	1520.5405	3.681E-3	74.5163	
demographic.popSize4	147.4203	249.3846	73.6658	2.6912E-3	518.6683	1434.133	2.6912E-3	73.6658	
demographic.popSize5	145.335	241.9623	73.8222	3.7231E-3	504.5067	1534.9756	8.5143E-3	73.8248	
demographic.popSize6	144.6039	250.9228	72.6853	7.8302E-3	503.5412	1573.7754	0.0289	72.702	
demographic.popSize7	147.8278	245.001	74.211	5.4364E-3	519.1257	1496.5008	5.4364E-3	74.211	
demographic.popSize8	130.1373	225.793	63.0095	1.5419E-3	455.0717	1360.1432	2.4178E-3	63.0096	
demographic.popSize9	147.5999	240.8664	73.5912	1.0925E-3	511.3564	1590.9306	7.4108E-3	73.5912	
demographic.popSize10	144.6736	247.8003	71.7761	4.9857E-3	511.1972	1448.6133	0.0196	71.7797	
demographic.popSize11	146.0388	243.7295	73.3948	1.5504E-3	507.8976	1494.7254	0.0135	73.4058	
demographic.popSize12	147.3637	255.4767	73.7814	1.3363E-3	509.4028	1463.9279	0.0151	73.7839	
demographic.popSize13	143.0359	244.4847	69.1124	4.5878E-3	519.1476	1365.617	0.013	69.1201	
demographic.popSize14	140.8607	245.6448	68.1776	4.7875E-5	509.7658	1371.7878	0.0117	68.1858	
demographic.popSize15	139.7608	245.6935	66.3377	1.8352E-3	500.139	1391.2486	4.048E-3	66.3377	
demographic.popSize16	139.1087	242.3815	67.0024	1.3966E-3	504.8359	1466.4255	5.9257E-4	67.0024	
demographic.popSize17	127.1788	242.4437	56.4771	2.9332E-3	470.2979	1392.1882	4.9712E-3	56.4771	
demographic.popSize18	143.4289	244.553	71.6114	1.9495E-3	505.0157	1423.1969	0.0299	71.6323	
demographic.popSize19	140.7357	247.4452	66.4091	6.3585E-4	506.8854	1359.7829	6.3585E-4	66.4091	
demographic.popSize20	124.2808	230.1776	54.357	3.0461E-3	469.3492	1273.1402	3.0461E-3	54.357	
