burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15271.5847	182.8162	-15259.2663	-15621.457	-14917.8061	439.2783	-15357.3762	-15113.4069	
prior	-7234.6003	182.9522	-7222.7762	-7586.8027	-6880.5367	436.5586	-7339.2794	-7095.4206	
likelihood	-8036.9845	17.2848	-8036.9173	-8070.9612	-8002.8046	1393.4764	-8048.4292	-8025.4086	
treeModel.rootHeight	235.8695	75.3386	226.8331	96.3782	374.2924	546.0105	165.6942	260.5631	
age(root)	1787.1305	75.3386	1796.1667	1648.7076	1926.6218	546.0105	1762.4369	1857.3058	
treeLength	3138.7142	706.8094	3022.071	1978.4508	4624.3606	409.2059	2420.1528	3316.064	
tmrca(ingroup)	235.8695	75.3386	226.8331	96.3782	374.2924	546.0105	165.6942	260.5631	
age(ingroup)	1787.1305	75.3386	1796.1667	1648.7076	1926.6218	546.0105	1762.4369	1857.3058	
demographic.populationSizeChanges	2.5679	0.6843	2	2	4	1128.4058	2	2	
demographic.populationMean	210.5041	292.7987	127.9283	15.0879	618.0162	463.5684	29.8393	135.3493	
demographic.popSize1	290.9606	401.6138	129.5247	1.6815	1195.6468	443.9823	14.7936	141.522	
demographic.popSize2	209.7593	444.4122	87.4614	4.9717E-3	763.1402	1091.2178	4.9717E-3	87.4636	
demographic.popSize3	213.578	487.6517	87.0912	8.4514E-3	782.0374	1139.4318	3.9275E-3	87.0912	
demographic.popSize4	208.8389	447.5435	86.6728	4.0693E-3	779.4262	1065.021	9.6265E-3	86.6728	
demographic.popSize5	207.978	438.0352	85.826	1.2393E-3	765.5537	1131.6029	1.2393E-3	85.826	
demographic.popSize6	206.1081	451.7713	83.5521	6.8875E-4	756.9663	1188.6985	6.9216E-3	83.5521	
demographic.popSize7	207.8006	458.759	84.7682	4.4082E-4	774.856	1095.1151	6.6284E-3	84.7682	
demographic.popSize8	204.2605	445.1575	81.9745	6.376E-3	763.0755	1099.8155	6.376E-3	81.9745	
demographic.popSize9	114.0607	204.3827	48.2411	9.0417E-3	445.1646	1372.2323	0.0511	48.2674	
demographic.popSize10	208.3066	482.9209	82.3659	2.4356E-3	762.1986	1105.7686	2.4356E-3	82.3659	
demographic.popSize11	207.157	503.0885	79.5745	1.9767E-3	756.2768	1087.803	1.9767E-3	79.5745	
demographic.popSize12	203.1578	428.1832	83.3996	8.6332E-3	773.8481	1120.2883	9.3174E-3	83.3996	
demographic.popSize13	212.422	496.7544	85.6333	4.2191E-3	766.5327	1190.1683	4.0445E-3	85.6333	
demographic.popSize14	202.8469	436.5468	80.4016	6.5254E-3	765.7418	1007.5853	0.0416	80.4201	
demographic.popSize15	202.8019	470.8109	78.4863	3.5348E-3	758.8612	1151.2799	3.5348E-3	78.4863	
demographic.popSize16	186.0932	449.9585	65.1004	1.2231E-3	723.2604	1091.7777	2.2069E-3	65.1004	
demographic.popSize17	199.4162	492.0486	73.2785	1.1729E-3	742.272	1144.4386	6.7252E-3	73.279	
demographic.popSize18	206.0587	461.3175	83.4179	1.5814E-3	757.7085	1155.1658	1.5814E-3	83.4179	
demographic.popSize19	201.8479	466.8356	79.2709	1.6803E-3	741.0067	1036.4344	1.6803E-3	79.2709	
demographic.popSize20	207.8993	450.748	84.8974	0.0146	760.4823	1097.8062	9.9712E-3	84.8974	
demographic.popSize21	206.6375	494.8269	80.7059	2.9476E-3	743.2671	1066.4558	2.9476E-3	80.7059	
demographic.popSize22	209.0971	512.4926	82.3794	3.046E-3	763.1977	1097.556	3.046E-3	82.3794	
demographic.popSize23	205.0697	489.2811	77.0558	0.0147	778.0067	1047.8202	0.0147	77.0558	
demographic.popSize24	209.3073	468.8338	83.3232	4.7103E-4	766.7911	1094.0858	4.7103E-4	83.3232	
demographic.popSize25	209.6906	443.8061	86.1905	0.011	769.5978	1092.6691	0.011	86.1905	
demographic.popSize26	205.7889	440.332	84.7493	0.0134	745.0032	1146.7128	2.5361E-3	84.7493	
demographic.popSize27	205.157	441.6773	85.6844	8.8532E-3	736.4622	1128.3508	8.8532E-3	85.6844	
demographic.popSize28	210.1822	480.7373	84.0489	1.7364E-3	768.5091	1091.9164	0.0332	84.0651	
demographic.popSize29	210.9504	464.218	86.4356	2.0895E-3	774.3706	1081.2376	2.0895E-3	86.4356	
demographic.popSize30	209.4541	483.5685	85.9014	1.5106E-3	765.7704	1127.6394	2.4503E-3	85.9019	
demographic.popSize31	208.1099	481.3476	84.6413	0.0111	751.1365	1144.6763	6.6217E-3	84.6452	
demographic.popSize32	208.6999	452.9973	87.3772	4.2599E-3	756.2786	1085.5997	0.0414	87.4039	
demographic.popSize33	213.2002	464.333	89.0032	2.8044E-3	777.045	1116.6721	5.6731E-3	89.0032	
demographic.popSize34	212.3655	479.3662	89.2772	1.1987E-3	776.1921	1121.293	1.1987E-3	89.2772	
demographic.popSize35	212.668	460.4736	85.7421	2.9553E-3	789.992	1029.2361	0.0115	85.7421	
demographic.popSize36	215.9066	509.1162	88.4914	6.4618E-3	789.1085	1142.8136	0.0136	88.4953	
demographic.popSize37	208.679	440.1201	87.0765	3.6112E-3	778.3402	1133.1	3.6112E-3	87.0765	
demographic.popSize38	207.35	453.4092	86.1494	8.2449E-4	758.3747	1081.7158	8.2449E-4	86.1494	
demographic.popSize39	208.8299	444.9151	87.2913	7.1587E-4	769.261	1189.3881	7.1587E-4	87.2913	
demographic.popSize40	208.1582	456.9299	87.6967	1.6949E-3	766.9866	1148.8322	7.5766E-4	87.6967	
demographic.popSize41	208.8033	475.1062	87.7343	2.0789E-3	753.3783	1146.8954	2.0789E-3	87.7343	
demographic.popSize42	211.3975	455.5262	92.3302	5.3335E-4	760.5683	1151.6102	5.3335E-4	92.3302	
demographic.popSize43	209.6082	442.1436	89.3429	1.1382E-3	780.851	1128.8495	7.3594E-4	89.3429	
demographic.popSize44	207.2965	437.9067	88.2952	8.7852E-4	741.0352	1078.6328	5.7853E-3	88.2952	
demographic.popSize45	206.5794	443.0187	87.8542	0.012	750.1209	1016.0792	0.012	87.8542	
demographic.popSize46	210.2775	466.6126	87.5241	0.0213	759	1062.3474	3.9134E-3	87.5241	
demographic.popSize47	207.9378	423.9705	90.9803	4.4865E-3	767.3664	1113.6926	1.982E-3	90.9803	
