burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15006.1392	150.7369	-15000.1374	-15293.7768	-14713.2224	238.8774	-15092.0768	-14893.9501	
prior	-7236.7397	150.5135	-7230.064	-7527.6872	-6945.047	236.3706	-7321.7116	-7126.1868	
likelihood	-7769.3995	18.7522	-7769.329	-7805.9736	-7733.074	700.5286	-7782.4398	-7756.8215	
treeModel.rootHeight	65.9619	12.906	64.8277	42.3298	89.2553	297.1429	55.4378	72.0056	
age(root)	1957.0381	12.906	1958.1723	1933.7447	1980.6702	297.1429	1950.9944	1967.5622	
treeLength	1843.887	291.2074	1862.9046	1294.3122	2370.0047	205.7337	1678.7486	2097.4744	
tmrca(ingroup)	65.9619	12.906	64.8277	42.3298	89.2553	297.1429	55.4378	72.0056	
age(ingroup)	1957.0381	12.906	1958.1723	1933.7447	1980.6702	297.1429	1950.9944	1967.5622	
demographic.populationSizeChanges	3.3892	0.6246	3	3	5	817.4816	3	3	
demographic.populationMean	180.8626	185.2374	130.0215	27.3997	457.0815	242.8669	45.8566	138.127	
demographic.popSize1	166.2195	321.5119	77.6509	0.0307	553.2091	244.0542	1.1937	78.5624	
demographic.popSize2	177.3634	307.3503	87.9391	3.6433E-3	630.505	659.7694	0.0358	87.9468	
demographic.popSize3	180.695	325.1866	87.7552	2.9366E-3	641.6992	689.8037	9.9193E-4	87.7552	
demographic.popSize4	176.4866	310.1969	87.3745	0.0177	618.5249	612.5153	7.6922E-3	87.3745	
demographic.popSize5	179.1546	308.2609	87.4591	3.7553E-3	636.4699	651.9844	0.0272	87.474	
demographic.popSize6	156.0027	245.8938	78.3697	6.3336E-3	560.5321	751.5163	1.1154E-3	78.3697	
demographic.popSize7	174.0835	305.3074	85.1663	0.0133	614.3223	653.6429	0.025	85.1663	
demographic.popSize8	172.5442	310.5757	84.6264	8.1439E-4	594.9593	709.5527	8.1439E-4	84.6264	
demographic.popSize9	171.9304	339.0676	80.6568	4.5664E-3	617.9669	688.4809	4.5664E-3	80.6568	
demographic.popSize10	164.0398	303.1224	74.9095	2.023E-3	588.2797	646.835	2.023E-3	74.9095	
demographic.popSize11	174.1381	294.5289	86.3295	0.0124	618.2807	675.572	0.0124	86.3401	
demographic.popSize12	175.8332	338.6256	83.9306	0.0217	613.8165	642.1066	9.1533E-6	83.9306	
demographic.popSize13	169.4162	295.54	81.4324	7.0115E-3	608.8784	632.6131	7.0115E-3	81.4324	
demographic.popSize14	171.5401	304.6259	78.1845	0.0138	613.7485	681.7509	0.0138	78.1845	
demographic.popSize15	168.7752	317.5139	78.3066	0.0129	620.7655	686.1949	5.37E-3	78.3066	
demographic.popSize16	175.2495	315.1199	81.1741	0.0291	641.9624	660.8458	0.0262	81.1741	
demographic.popSize17	173.591	321.2955	80.1753	0.0125	605.8059	678.1435	0.0108	80.1753	
demographic.popSize18	150.6571	287.8692	69.3156	0.0231	540.7006	632.369	0.215	69.4514	
demographic.popSize19	162.2156	298.9291	72.1881	1.2302E-3	591.7794	601.0546	0.0246	72.1954	
demographic.popSize20	175.4108	313.4233	85.0634	0.0238	621.9712	696.5294	0.1285	85.113	
demographic.popSize21	170.425	310.1425	80.2655	5.6747E-3	615.1328	687.9033	5.6747E-3	80.2655	
demographic.popSize22	179.2473	335.3831	84.9521	2.0757E-3	619.6962	692.5446	2.0757E-3	84.9521	
demographic.popSize23	178.7383	314.0911	87.1121	0.0305	620.7663	675.724	5.8832E-3	87.1121	
demographic.popSize24	183.3621	346.5543	89.4476	0.0275	638.2834	695.4645	0.0337	89.464	
demographic.popSize25	178.2314	308.5943	88.981	2.0596E-3	619.2065	703.5474	0.0783	89.0259	
demographic.popSize26	184.3286	341.5152	89.576	0.0285	631.1407	670.3079	0.0285	89.5869	
demographic.popSize27	184.2716	314.58	90.5379	3.333E-3	628.4621	610.5545	0.0561	90.5631	
demographic.popSize28	185.6072	346.0495	88.6222	0.0169	643.7467	639.0711	0.056	88.6354	
demographic.popSize29	180.5015	300.8104	88.0515	4.151E-3	639.9944	671.8531	0.0537	88.0959	
demographic.popSize30	181.6473	311.1422	88.6467	6.9701E-3	638.0886	693.0193	0.0472	88.6906	
demographic.popSize31	176.1685	304.5237	86.843	3.5417E-3	623.0102	707.2184	0.0428	86.8733	
demographic.popSize32	179.7424	297.5052	88.6052	2.7133E-3	633.3152	661.5082	8.6106E-3	88.6088	
demographic.popSize33	178.6735	304.0194	88.5753	1.9807E-3	635.9756	723.932	0.0556	88.6262	
demographic.popSize34	184.8695	345.9397	90.0178	0.0106	629.9516	679.5112	0.0196	90.0178	
demographic.popSize35	183.7086	324.1258	90.3134	8.6534E-3	631.8194	723.318	8.134E-3	90.3134	
demographic.popSize36	182.016	315.191	91.2299	2.6503E-3	639.581	596.8553	0.0126	91.2299	
demographic.popSize37	184.6413	318.7021	90.3944	7.1952E-3	633.8783	637.1895	0.0212	90.3967	
demographic.popSize38	184.4562	325.0854	88.6209	8.8834E-3	636.4926	654.6916	8.8834E-3	88.6209	
demographic.popSize39	180.8219	293.8099	91.4985	2.0876E-3	643.3048	712.504	0.0146	91.5041	
demographic.popSize40	181.4844	320.7572	90.1576	0.0148	636.9953	679.0948	0.0148	90.1576	
demographic.popSize41	179.152	299.4602	88.6566	1.7014E-3	628.5662	659.1981	9.129E-3	88.6566	
demographic.popSize42	178.1031	310.9903	89.4203	1.3156E-3	620.6927	684.823	1.3156E-3	89.4203	
demographic.popSize43	178.3502	304.7552	89.6492	0.0151	614.7782	707.8604	0.0982	89.7114	
demographic.popSize44	178.7761	313.2374	87.2232	1.9843E-3	629.4214	662.0757	2.0289E-4	87.2232	
demographic.popSize45	185.4717	327.2371	94.1108	1.3397E-3	629.54	652.5038	1.3397E-3	94.1108	
demographic.popSize46	180.3147	326.3685	89.4488	8.2763E-4	614.1486	690.44	0.0462	89.4559	
demographic.popSize47	186.7203	336.0498	93.417	6.3342E-3	622.1364	652.861	0.0237	93.4175	
demographic.popSize48	181.643	310.7089	90.2414	1.5824E-3	615.2595	684.0686	3.2875E-3	90.243	
demographic.popSize49	188.9861	319.5973	91.6042	0.0254	679.7686	554.627	0.0254	91.6106	
demographic.popSize50	184.8543	331.8636	90.4593	0.0156	627.4557	648.3897	0.0749	90.4844	
demographic.popSize51	188.6503	329.7546	93.2796	9.664E-3	645.3072	704.773	0.029	93.2796	
demographic.popSize52	179.4627	291.6552	91.8687	2.9423E-3	619.2872	626.9387	6.726E-3	91.8687	
demographic.popSize53	187.2594	325.9139	91.0907	0.0297	650.053	692.898	6.4166E-3	91.0907	
demographic.popSize54	184.1564	308.3733	91.3842	0.0152	649.957	628.7158	7.5276E-3	91.3842	
demographic.popSize55	182.6004	324.8402	91.8415	0.0108	611.4354	672.0437	0.0108	91.8422	
demographic.popSize56	181.3758	309.647	90.3395	3.6839E-3	633.3601	705.1225	0.0487	90.381	
demographic.popSize57	188.7351	344.9773	91.1186	0.0745	644.4913	698.5975	0.0745	91.157	
demographic.popSize58	180.5653	295.3773	91.5102	7.6291E-4	623.1243	689.0594	9.2751E-3	91.5167	
demographic.popSize59	183.3604	301.2543	91.7103	3.4303E-3	644.4471	656.9042	0.0289	91.7186	
demographic.popSize60	182.6923	313.1981	90.6738	9.1407E-3	632.2706	674.2138	6.7744E-3	90.6738	
