burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14405.2563	150.7096	-14403.6963	-14702.5866	-14126.2969	234.3685	-14505.6405	-14295.8134	
prior	-7083.896	153.6605	-7082.5003	-7397.7226	-6800.9332	229.7071	-7187.9331	-6976.0697	
likelihood	-7321.3603	20.3185	-7321.1789	-7361.4598	-7282.2863	509.8548	-7334.6831	-7307.0383	
treeModel.rootHeight	60.5821	17.5702	55.9101	34.1221	96.0275	229.1027	44.2031	59.8499	
age(root)	1961.4179	17.5702	1966.0899	1925.9725	1987.8779	229.1027	1962.1501	1977.7969	
treeLength	1534.8405	221.0161	1525.866	1136.0646	1946.0019	208.8307	1342.1043	1644.7957	
tmrca(ingroup)	60.5821	17.5702	55.9101	34.1221	96.0275	229.1027	44.2031	59.8499	
age(ingroup)	1961.4179	17.5702	1966.0899	1925.9725	1987.8779	229.1027	1962.1501	1977.7969	
demographic.populationSizeChanges	2.9527	0.8202	3	2	4	409.9956	3	3	
demographic.populationMean	99.7501	89.0701	74.1502	12.5268	266.0077	255.8886	24.3786	80.1489	
demographic.popSize1	69.4967	104.2017	28.7568	0.1076	267.5869	296.3847	0.6416	29.1763	
demographic.popSize2	97.643	156.3493	48.9272	0.0133	355.7772	856.9639	0.018	48.9399	
demographic.popSize3	97.7502	160.0101	46.2747	2.0878E-3	356.3367	762.506	2.6159E-3	46.2747	
demographic.popSize4	96.2286	151.7099	47.6515	2.8388E-3	348.1735	819.8981	0.0108	47.6515	
demographic.popSize5	96.9867	151.7499	47.6947	3.5132E-3	348.998	716.6616	6.7738E-3	47.6947	
demographic.popSize6	99.3561	162.2972	47.7265	3.8196E-3	362.0759	771.4809	0.0124	47.73	
demographic.popSize7	93.9771	155.7769	44.4972	0.0142	348.3526	755.6299	0.0244	44.5033	
demographic.popSize8	95.133	174.4987	44.1603	0.0185	348.9067	787.8709	0.0159	44.1669	
demographic.popSize9	99.122	177.0549	45.2021	3.2575E-3	359.7512	714.1868	8.431E-3	45.2021	
demographic.popSize10	97.9348	159.8074	47.4561	8.9267E-3	350.7471	711.9817	0.0197	47.4593	
demographic.popSize11	92.9328	165.1092	44.3045	4.6572E-3	333.5292	742.5633	1.5287E-3	44.3045	
demographic.popSize12	98.8368	165.772	48.4953	4.4232E-3	352.8649	768.5668	4.4232E-3	48.497	
demographic.popSize13	97.3723	156.051	47.3444	7.9339E-3	351.7322	742.4127	0.02	47.3451	
demographic.popSize14	94.2711	151.1475	46.1097	1.5252E-3	334.3192	846.3693	0.0564	46.149	
demographic.popSize15	97.7482	164.1135	46.1751	6.0342E-3	351.6253	722.2091	6.0342E-3	46.1751	
demographic.popSize16	95.826	145.0906	48.4768	0.0102	348.1883	759.3954	0.0304	48.4768	
demographic.popSize17	99.3326	164.2874	48.6466	5.8971E-4	361.3321	746.6693	5.8971E-4	48.6466	
demographic.popSize18	96.8377	166.6054	45.386	2.4829E-3	351.0594	775.9125	0.0636	45.4281	
demographic.popSize19	98.9356	154.1603	48.2651	4.287E-3	355.2549	757.7103	4.5843E-3	48.2651	
