burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15369.2448	124.0378	-15371.3444	-15605.6119	-15115.5641	258.4403	-15457.7335	-15289.3876	
prior	-7604.1192	124.802	-7606.7141	-7834.0685	-7341.5522	253.6016	-7697.6663	-7527.2145	
likelihood	-7765.1256	18.1313	-7764.8622	-7800.7986	-7729.7048	663.0103	-7776.3035	-7751.9037	
treeModel.rootHeight	85.6506	25.5644	79.9681	46.1662	134.5663	246.0758	62.3373	87.4224	
age(root)	1937.3494	25.5644	1943.0319	1888.4337	1976.8338	246.0758	1935.5776	1960.6627	
treeLength	3078.7787	452.2594	3047.1681	2235.5286	3838.6696	207.999	2762.9663	3436.0407	
tmrca(ingroup)	85.6506	25.5644	79.9681	46.1662	134.5663	246.0758	62.3373	87.4224	
age(ingroup)	1937.3494	25.5644	1943.0319	1888.4337	1976.8338	246.0758	1935.5776	1960.6627	
demographic.populationSizeChanges	3.4493	0.6288	3	3	5	408.4171	3	3	
demographic.populationMean	925.3573	724.6661	725.4609	148.189	2222.2414	256.1276	302.2494	810.9356	
demographic.popSize1	773.2702	345.6275	744.7725	282.9877	1372.7724	369.3249	512.2064	862.6206	
demographic.popSize2	918.3147	1321.5397	491.2736	0.0113	3206.3767	861.2825	0.0113	491.2736	
demographic.popSize3	920.5572	1358.4927	482.9364	0.0119	3243.1777	843.8541	0.0119	482.9364	
demographic.popSize4	942.2747	1419.8025	500.0607	0.0259	3277.3359	773.468	0.0259	500.0607	
demographic.popSize5	934.6339	1392.435	491.3378	0.0755	3254.1687	771.8161	0.0755	491.3378	
demographic.popSize6	931.2185	1401.1463	484.3638	0.0525	3233.8799	851.6087	0.1037	484.3938	
demographic.popSize7	927.477	1376.0602	498.4579	2.4716E-3	3174.7324	862.9498	0.0468	498.4579	
demographic.popSize8	934.1708	1507.9393	498.597	0.0939	3217.5021	911.634	0.2833	498.6827	
demographic.popSize9	927.6358	1345.4966	491.6218	0.023	3245.7977	914.8003	0.1418	491.6969	
demographic.popSize10	928.8553	1456.8045	491.4509	0.0385	3194.2026	832.6938	0.0385	491.4509	
demographic.popSize11	930.8623	1374.8678	487.3785	0.0287	3281.1415	852.1649	3.7501E-3	487.3785	
demographic.popSize12	927.4386	1417.9094	485.2329	8.5845E-3	3186.0394	746.8447	0.1869	485.3691	
demographic.popSize13	925.7454	1343.9606	498.4324	0.0371	3212.8385	883.9905	0.0371	498.4324	
demographic.popSize14	917.0709	1315.3306	485.5041	0.0122	3245.547	956.5583	0.5738	485.7083	
demographic.popSize15	932.4032	1369.294	492.3439	0.1426	3255.086	793.2852	0.6	492.6	
demographic.popSize16	0.0221	1.7065E-3	0.0234	0.0199	0.0234	188.2142	0.0234	0.0234	
demographic.popSize17	922.0298	1426.2455	491.4062	0.0131	3113.5874	861.7964	0.0131	491.4062	
demographic.popSize18	923.8145	1327.5461	500.1041	0.1265	3159.8072	842.2435	0.1855	500.1041	
demographic.popSize19	918.6002	1311.3641	493.1662	0.0321	3206.5524	854.628	0.0321	493.1662	
demographic.popSize20	927.0399	1343.9401	508.2209	0.0609	3137.6023	832.8592	0.0609	508.2209	
demographic.popSize21	934.1532	1371.755	495.6934	0.1221	3256.5128	881.3907	0.1355	495.6934	
demographic.popSize22	931.5759	1302.9308	501.1894	0.0838	3240.7514	867.4502	0.3976	501.4847	
demographic.popSize23	947.8033	1387.3997	515.316	0.0156	3237.0382	834.7884	0.1889	515.3637	
demographic.popSize24	984.3296	1582.3242	509.4473	0.0233	3316.4084	770.8838	0.0391	509.4511	
demographic.popSize25	959.0036	1336.0902	511.1645	0.0482	3390.7917	710.3913	0.0928	511.1645	
demographic.popSize26	958.1723	1420.5951	515.7886	1.7995E-3	3277.9062	862.2148	1.7995E-3	515.7886	
demographic.popSize27	992.1289	1319.5558	554.0249	6.356E-3	3160.9395	721.5378	0.0956	554.0262	
demographic.popSize28	923.8296	1343.0777	502.9268	1.0108E-3	3149.6045	815.354	1.0108E-3	502.9268	
demographic.popSize29	1034.1357	1437.3396	551.5304	5.3322E-3	3808.4757	582.8952	5.3322E-3	551.5304	
demographic.popSize30	953.6999	1327.8356	525.6628	0.0822	3260.8783	771.3261	0.3029	525.8796	
demographic.popSize31	1011.1595	1407.9983	524.0322	0.1333	3536.3738	595.6059	0.0218	524.0322	
demographic.popSize32	945.2444	1288.2663	512.5972	0.1081	3257.8567	777.6368	0.0568	512.5972	
demographic.popSize33	984.1509	1418.4174	532.4715	0.0266	3256.1079	727.9597	0.1165	532.5006	
demographic.popSize34	977.598	1461.0518	504.0753	0.0149	3573.455	674.1205	0.0149	504.0753	
demographic.popSize35	966.7755	1346.3722	521.4941	0.0222	3357.6906	765.0551	0.0156	521.4941	
demographic.popSize36	946.3172	1426.4192	515.6295	0.0883	3217.1767	802.6724	0.2795	515.8617	
demographic.popSize37	979.4546	1376.1511	539.5734	7.8572E-3	3277.9288	809.8746	0.1344	539.5734	
demographic.popSize38	1006.0575	1426.8495	535.0749	0.0339	3499.3867	729.4859	0.1706	535.1561	
demographic.popSize39	946.7689	1385.1445	504.2175	0.0955	3308.0763	803.6433	0.1528	504.2175	
demographic.popSize40	966.7219	1460.2297	519.6203	0.0358	3424.1085	790.8665	0.1333	519.6294	
demographic.popSize41	963.0103	1405.199	507.0975	3.3886E-3	3521.2603	678.201	3.3886E-3	507.0975	
demographic.popSize42	945.459	1363.8933	524.8893	0.1975	3146.8312	883.7729	0.6241	525.3676	
demographic.popSize43	948.7227	1318.2552	503.849	0.2587	3217.1027	760.6043	0.0268	503.849	
demographic.popSize44	957.8763	1485.7017	493.0031	0.0455	3383.7398	727.0324	0.1671	493.035	
demographic.popSize45	943.446	1437.6404	494.2169	0.0324	3284.4948	822.4932	0.0324	494.2169	
demographic.popSize46	963.6408	1402.8714	515.2873	0.0535	3447.5596	827.5031	0.0194	515.2873	
demographic.popSize47	948.2947	1442.1594	510.9818	0.0326	3136.5831	849.0581	0.4127	511.2821	
demographic.popSize48	945.9351	1459.4727	503.4856	0.1106	3276.0582	863.0739	1.1134	504.3089	
demographic.popSize49	954.31	1419.3117	515.9191	0.0199	3221.9568	897.6109	0.0199	515.9191	
demographic.popSize50	927.1415	1342.9862	496.4354	0.1456	3283.329	853.7628	0.2459	496.4354	
demographic.popSize51	933.6147	1348.798	505.1824	0.1057	3208.0023	880.9284	0.0539	505.1824	
demographic.popSize52	928.4808	1400.486	494.5107	0.0918	3213.1283	843.3079	0.3012	494.5671	
demographic.popSize53	919.7933	1314.6499	497.1327	0.0282	3183.2739	897.1759	0.0282	497.1327	
demographic.popSize54	958.4636	1362.1811	500.5053	0.0328	3225.6195	732.0069	0.631	500.8722	
demographic.popSize55	953.4312	1441.6813	518.2371	0.0832	3273.4929	841.496	0.1384	518.2767	
demographic.popSize56	932.413	1330.8488	500.1093	0.0986	3178.0585	823.4488	0.3993	500.3229	
demographic.popSize57	941.9451	1366.5259	506.5981	7.6898E-3	3243.0767	845.8986	0.06	506.6286	
demographic.popSize58	939.5996	1526.6678	507.0765	0.0846	3146.7978	1021.3562	0.6048	507.5066	
demographic.popSize59	920.5624	1338.3096	484.4399	0.0565	3232.5369	920.0696	0.2471	484.5791	
demographic.popSize60	942.8885	1488.7055	492.0477	0.0406	3179.7695	843.7589	0.4626	492.3648	
demographic.popSize61	915.6682	1404.2796	497.4247	0.1325	3172.3375	881.7637	0.0377	497.4247	
demographic.popSize62	904.1837	1258.4168	489.3899	0.0142	3116.3771	852.4791	0.2267	489.5186	
demographic.popSize63	949.6658	1367.3301	511.0865	0.0279	3204.8488	854.7379	0.0279	511.0865	
demographic.popSize64	940.2743	1442.4629	501.4162	0.1436	3224.7867	823.2108	0.1089	501.4162	
demographic.popSize65	896.6833	1302.5502	482.9182	5.2271E-3	3083.7774	898.4496	0.0191	482.9182	
demographic.popSize66	920.1874	1323.3651	498.391	0.0406	3150.2434	900.8498	0.449	498.6111	
demographic.popSize67	939.2349	1428.13	490.7062	9.7604E-3	3231.5174	826.6525	0.1716	490.7243	
demographic.popSize68	920.7301	1321.5864	502.9166	0.0194	3149.3415	909.1468	0.1334	502.9718	
demographic.popSize69	928.8791	1374.8431	493.9316	0.0564	3188.3883	889.4801	0.0585	493.9316	
demographic.popSize70	934.3657	1386.0017	496.6084	0.1224	3250.4649	779.5699	0.4091	496.858	
demographic.popSize71	865.3205	1189.0002	467.7967	0.0543	2973.8431	987.5989	0.5086	468.0672	
demographic.popSize72	929.2664	1365.7601	495.7344	0.0237	3201.3857	813.774	0.1042	495.8057	
demographic.popSize73	901.6141	1428.3004	465.6268	0.0436	3083.9706	801.8919	0.0146	465.6268	
demographic.popSize74	846.1213	1288.5891	443.7263	8.3915E-3	2930.6007	749.1236	8.3915E-3	443.7263	
demographic.popSize75	939.5679	1428.8854	493.5427	0.0598	3199.3479	837.8068	0.2692	493.659	
demographic.popSize76	935.2176	1382.1765	489.4644	0.0429	3259.7698	830.3877	0.0429	489.4644	
demographic.popSize77	929.0161	1334.7169	502.5196	0.0346	3250.3851	915.9202	0.0346	502.5196	
demographic.popSize78	907.0393	1312.0061	484.6338	0.1913	3179.2439	936.5714	0.133	484.6878	
demographic.popSize79	903.8664	1377.5095	471.2654	0.1124	3178.6739	920.027	0.1124	471.2654	
