burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15719.2065	147.8926	-15711.8824	-16016.2068	-15429.6577	238.9064	-15786.9099	-15593.4843	
prior	-7553.1419	147.9922	-7544.912	-7848.503	-7266.4125	236.56	-7628.4714	-7435.0724	
likelihood	-8166.0646	18.7642	-8165.418	-8203.1454	-8129.4068	580.0126	-8176.8368	-8151.9988	
treeModel.rootHeight	88.2111	27.8695	83.1313	47.2444	141.9784	260.3061	62.4181	90.0504	
age(root)	1932.7889	27.8695	1937.8687	1879.0216	1973.7556	260.3061	1930.9496	1958.5819	
treeLength	3100.9096	596.4672	3001.7629	2148.2119	4355.9902	203.8594	2533.8603	3221.6114	
tmrca(ingroup)	88.2111	27.8695	83.1313	47.2444	141.9784	260.3061	62.4181	90.0504	
age(ingroup)	1932.7889	27.8695	1937.8687	1879.0216	1973.7556	260.3061	1930.9496	1958.5819	
demographic.populationSizeChanges	3.3068	0.5607	3	3	4	951.3019	3	3	
demographic.populationMean	600.0174	591.2642	441.2505	77.4049	1558.3809	256.5868	164.0849	484.1411	
demographic.popSize1	347.2544	356.0201	215.3934	2.1115	1019.03	255.034	84.3161	280.5999	
demographic.popSize2	603.3841	1029.4409	298.2176	0.0851	2171.9877	786.9821	0.0851	298.2346	
demographic.popSize3	603.7233	1056.5392	302.2025	1.4028E-3	2108.7439	724.8413	0.0663	302.2057	
demographic.popSize4	573.5816	1074.6591	266.4037	0.0309	2042.168	700.0272	0.0352	266.4037	
demographic.popSize5	591.9313	952.8406	305.2326	0.0166	2039.7786	743.8719	0.1902	305.3176	
demographic.popSize6	602.574	1010.743	299.7197	4.5566E-3	2093.7101	680.2143	0.08	299.7197	
demographic.popSize7	591.5608	928.7905	301.8628	0.0326	2118.1631	711.2076	0.024	301.8628	
demographic.popSize8	510.8675	907.1943	230.0874	0.0182	1918.7296	570.1896	0.0611	230.1133	
demographic.popSize9	566.1663	1026.1088	267.6263	0.0157	2025.2199	649.7148	0.0157	267.6263	
demographic.popSize10	463.2887	800.0407	198.6787	0.0909	1821.8275	718.0063	0.3485	198.9293	
demographic.popSize11	588.7191	969.056	293.8475	0.0345	2086.5772	723.1974	0.0345	293.8475	
demographic.popSize12	558.8071	1062.1392	256.9966	0.0474	1992.423	593.2373	0.0474	257.019	
demographic.popSize13	587.6553	976.7219	290.8057	0.0252	2062.9738	679.072	0.0513	290.8057	
demographic.popSize14	592.8633	1126.5325	290.1266	0.0243	2097.5434	769.8647	0.0243	290.1266	
demographic.popSize15	570.1305	971.4769	274.0824	0.0347	2048.2854	708.4343	0.0158	274.0824	
demographic.popSize16	605.5691	1035.5425	303.6527	0.0548	2150.6768	742.7941	0.1145	303.6791	
demographic.popSize17	595.3007	1039.3254	295.371	0.0476	2065.8935	689.5035	0.2472	295.4558	
demographic.popSize18	604.6418	1012.7204	303.5159	4.0219E-3	2123.6531	673.6376	0.0481	303.5159	
demographic.popSize19	573.6914	921.3501	286.9858	4.8448E-3	2023.1986	688.2163	0.1133	287.0359	
demographic.popSize20	612.8951	1007.0304	305.7919	0.0564	2154.0222	677	0.0464	305.7919	
demographic.popSize21	593.9806	961.9575	299.3551	9.0626E-3	2088.3531	733.3222	0.1264	299.3551	
demographic.popSize22	407.9588	887.3358	136.7747	0.0181	1629.9967	555.0116	0.0181	136.7747	
demographic.popSize23	586.4194	1013.461	294.0049	4.7381E-3	2035.4621	767.1529	4.7381E-3	294.0049	
demographic.popSize24	598.2202	963.2114	300.8757	6.5032E-3	2057.8592	771.1952	0.0709	300.8994	
demographic.popSize25	603.3258	1023.0017	302.0831	6.3728E-4	2123.8525	668.8006	0.1931	302.1615	
demographic.popSize26	602.0061	1032.442	292.3025	0.0127	2117.0958	708.6206	0.0127	292.3025	
demographic.popSize27	605.6021	1057.3916	305.2344	0.0577	2103.8944	781.3708	0.0382	305.2344	
demographic.popSize28	599.8055	1026.4473	295.7623	5.4513E-3	2144.0984	681.1284	5.4513E-3	295.7623	
demographic.popSize29	598.2104	984.3606	308.3131	4.6729E-3	2073.7042	756.3132	5.6803E-3	308.3131	
demographic.popSize30	603.8591	1097.8914	294.1214	0.0247	2134.2008	700.3314	0.0247	294.1214	
