burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15535.053	163.2796	-15535.7355	-15853.2172	-15215.7489	228.6376	-15661.411	-15441.0015	
prior	-7330.583	164.0739	-7334.7343	-7645.9587	-7002.1267	226.6232	-7463.3332	-7242.8901	
likelihood	-8204.47	19.2181	-8204.151	-8242.6276	-8167.2131	570.0527	-8216.8262	-8190.9501	
treeModel.rootHeight	93.9379	29.9744	86.8866	49.7523	154.4353	244.6229	61.3022	94.6113	
age(root)	1929.0621	29.9744	1936.1134	1868.5647	1973.2477	244.6229	1928.3887	1961.6978	
treeLength	2225.3303	376.9074	2209.3289	1591.2535	2995.1338	205.4377	1860.9091	2418.0686	
tmrca(ingroup)	93.9379	29.9744	86.8866	49.7523	154.4353	244.6229	61.3022	94.6113	
age(ingroup)	1929.0621	29.9744	1936.1134	1868.5647	1973.2477	244.6229	1928.3887	1961.6978	
demographic.populationSizeChanges	3.444	0.639	3	3	5	784.0752	3	3	
demographic.populationMean	267.6782	258.5346	193.3323	24.8114	707.4349	245.2343	55.7437	207.6617	
demographic.popSize1	270.4361	231.4288	216.6533	3.4644	716.2866	261.8082	61.8605	252.6113	
demographic.popSize2	266.884	446.3471	127.2032	6.8E-4	985.3373	693.764	6.8E-4	127.2032	
demographic.popSize3	271.7109	510.8121	131.7766	5.7326E-3	964.9964	742.8145	5.6621E-3	131.7766	
demographic.popSize4	263.254	429.153	126.2511	0.0445	969.0692	758.1124	9.8269E-3	126.2511	
demographic.popSize5	268.4551	448.7891	128.83	0.0379	979.6642	734.6763	0.0379	128.83	
demographic.popSize6	270.6792	448.0526	130.254	7.3031E-4	975.4904	685.7694	8.7495E-3	130.254	
demographic.popSize7	249.9706	433.1312	116.3143	5.199E-4	931.0592	713.5015	0.039	116.326	
demographic.popSize8	261.4365	435.4324	124.6046	0.0156	927.8812	737.4112	0.0156	124.6152	
demographic.popSize9	267.2126	476.8714	126.8756	8.2716E-3	952.272	693.5888	8.2716E-3	126.8756	
demographic.popSize10	264.5387	443.7457	124.1131	4.2577E-3	978.3023	665.1986	4.2577E-3	124.1131	
demographic.popSize11	228.7216	400.6064	102.2259	8.3523E-3	850.2706	673.0787	8.3523E-3	102.2259	
demographic.popSize12	270.4345	459.8106	128.5154	1.7212E-3	970.1836	689.1008	1.7212E-3	128.5154	
demographic.popSize13	264.6997	453.6931	125.777	0.0117	963.3205	701.6916	0.0117	125.777	
demographic.popSize14	260.3851	482.2149	119.4634	0.0177	957.1544	754.3148	0.0744	119.4906	
demographic.popSize15	266.997	463.6412	125.2431	1.1401E-3	962.2337	706.7757	0.062	125.2988	
demographic.popSize16	217.843	447.6771	73.9932	8.386E-3	893.7866	564.0935	8.9594E-3	73.9932	
demographic.popSize17	158.9639	323.0056	51.0992	0.0248	653.1914	620.8991	0.0393	51.0992	
demographic.popSize18	261.501	436.9149	121.7337	0.0206	956.0324	703.4713	0.0206	121.7337	
demographic.popSize19	267.3412	457.5003	125.3491	0.018	973.9225	710.1072	0.0295	125.3516	
demographic.popSize20	266.8827	459.0138	127.6154	3.1694E-3	953.316	682.4642	3.1694E-3	127.6154	
demographic.popSize21	247.6075	470.9516	106.0835	0.0236	908.0854	597.8135	0.1131	106.1132	
demographic.popSize22	267.7239	475.0898	127.474	4.1053E-3	944.0556	656.8277	4.1053E-3	127.474	
demographic.popSize23	257.0123	448.8219	121.6163	5.0681E-3	943.7592	731.2516	0.0405	121.6164	
demographic.popSize24	267.118	456.8426	129.349	0.0269	966.0423	721.8915	1.801E-3	129.349	
demographic.popSize25	268.8469	467.3992	131.6986	1.3566E-3	945.5097	650.1007	1.3566E-3	131.6986	
demographic.popSize26	270.9627	447.9496	129.3536	0.0108	955.7713	740.1983	0.1364	129.4478	
demographic.popSize27	273.439	487.9857	132.5509	0.02	976.305	692.69	0.0876	132.625	
demographic.popSize28	273.4907	475.0365	133.4091	0.0139	982.031	698.7347	0.0139	133.4091	
demographic.popSize29	277.1838	453.2261	139.2811	4.3513E-3	975.8752	686.0433	0.0182	139.2811	
demographic.popSize30	264.8111	444.3272	131.348	5.769E-3	939.8817	704.2017	0.0802	131.348	
demographic.popSize31	269.7287	441.234	135.3346	0.011	973.6952	683.3767	0.0787	135.364	
demographic.popSize32	272.3359	439.1646	132.6575	7.7792E-3	1016.8232	680.8646	7.7792E-3	132.6575	
demographic.popSize33	269.4424	439.0368	133.5898	1.0241E-4	959.2464	727.5686	2.7541E-3	133.5898	
demographic.popSize34	270.9123	452.4146	135.2514	0.0426	951.1573	721.298	0.0603	135.2606	
demographic.popSize35	261.1187	419.33	130.8155	3.7089E-3	903.3269	664.999	0.0617	130.8421	
demographic.popSize36	270.166	456.8276	132.0492	7.5676E-3	979.2124	725.9771	0.0428	132.0492	
demographic.popSize37	263.1315	423.599	129.5779	5.323E-3	947.328	666.9699	0.0459	129.5828	
demographic.popSize38	268.2302	435.0682	130.1796	5.6425E-3	944.3161	718.4414	7.1495E-4	130.1796	
demographic.popSize39	267.7547	441.5158	135.663	4.3022E-3	942.5596	753.6604	0.0322	135.6644	
demographic.popSize40	267.6144	451.922	131.6572	1.9548E-3	938.9146	734.4032	1.9548E-3	131.6572	
demographic.popSize41	272.5172	443.5216	136.0679	1.3272E-3	968.316	680.3975	0.0743	136.1096	
demographic.popSize42	269.0563	442.5616	128.6216	7.8866E-4	966.8842	657.9193	7.8866E-4	128.6216	
demographic.popSize43	270.4422	437.1088	131.7531	0.0221	992.7339	746.1507	0.02	131.7537	
demographic.popSize44	270.9265	444.4575	132.1456	6.9413E-4	987.0707	714.0739	0.1401	132.2725	
demographic.popSize45	265.2717	429.4701	128.4478	0.0233	942.8059	734.5895	0.0302	128.4478	
demographic.popSize46	274.3197	466.5192	134.7332	0.0119	979.4444	703.7229	0.0119	134.7332	
demographic.popSize47	271.7733	464.1066	134.0368	0.0186	989.8813	727.4435	0.0186	134.0368	
demographic.popSize48	270.5695	424.2133	136.7625	3.3672E-3	950.4582	671.1328	0.0313	136.7684	
demographic.popSize49	270.3991	471.0758	131.1635	0.0313	957.3975	761.6202	0.0174	131.1635	
demographic.popSize50	267.9182	475.6886	129.664	8.8519E-3	941.3287	755.8882	8.8519E-3	129.664	
demographic.popSize51	270.3788	479.365	133.5918	2.1075E-3	942.0224	749.5343	0.012	133.5918	
demographic.popSize52	273.0009	442.4231	130.9169	0.0206	971.0899	657.9679	0.0206	130.9169	
demographic.popSize53	275.9151	466.5868	129.8919	0.0111	982.6049	631.7633	0.0111	129.8919	
demographic.popSize54	266.2945	437.1356	132.0247	3.98E-3	945.259	681.6331	0.0228	132.0386	
demographic.popSize55	270.1208	450.6246	133.881	2.9275E-3	943.7949	695.9606	0.0121	133.8843	
demographic.popSize56	279.8872	436.6321	135.0517	2.8155E-3	1096.0459	579.0852	0.0344	135.0517	
demographic.popSize57	270.5992	445.8588	131.6739	0.02	975.2605	670.2005	0.02	131.6739	
demographic.popSize58	270.435	452.1271	131.2198	6.0919E-3	973.7377	709.7036	4.5542E-3	131.2198	
demographic.popSize59	269.4229	433.4285	133.1942	2.5744E-3	959.6952	711.9147	2.5744E-3	133.1942	
demographic.popSize60	269.7592	450.5925	132.3051	1.033E-3	970.1914	744.3696	0.0244	132.3101	
demographic.popSize61	278.9973	474.086	131.3749	0.0711	1028.1289	659.2237	0.0711	131.3749	
demographic.popSize62	266.1974	418.7497	130.436	0.0103	931.6949	683.7016	0.0157	130.436	
demographic.popSize63	270.5427	432.0501	134.7919	1.1971E-3	963.2604	691.2866	1.1971E-3	134.7919	
demographic.popSize64	269.8639	440.5827	131.2552	2.9917E-3	949.9364	732.8954	2.9917E-3	131.2552	
demographic.popSize65	273.744	418.5916	133.6169	0.0189	956.8606	713.0192	7.6731E-3	133.6187	
demographic.popSize66	273.8328	477.5184	131.3694	8.9541E-4	978.6881	712.9787	0.0854	131.4254	
demographic.popSize67	271.3603	462.2645	130.8624	0.0104	958.3909	668.6015	0.0707	130.8984	
demographic.popSize68	269.224	459.0221	129.8537	0.025	953.1337	689.1666	0.0493	129.8745	
demographic.popSize69	272.4573	464.1952	130.7709	4.6857E-3	982.5068	691.981	4.6857E-3	130.7709	
demographic.popSize70	275.0296	423.9552	135.1925	3.0992E-5	969.7338	664.6541	0.0201	135.2098	
demographic.popSize71	270.0785	477.2794	129.1989	5.5417E-3	958.7198	710.7899	0.0539	129.2211	
demographic.popSize72	267.988	439.9875	127.1605	0.0106	939.2047	710.1072	0.0106	127.1605	
demographic.popSize73	273.8467	462.387	132.9582	0.0119	943.2276	669.3856	7.3849E-3	132.9582	
demographic.popSize74	279.5711	471.3031	135.1635	6.0439E-3	986.7824	702.2241	0.0363	135.1914	
demographic.popSize75	278.2041	460.2784	131.0315	0.0233	1002.743	629.9191	0.0233	131.0315	
demographic.popSize76	270.3412	457.9213	129.9594	3.2902E-3	969.6609	664.9394	0.0343	129.9853	
demographic.popSize77	276.2211	465.9118	131.5549	5.6878E-3	995.5353	657.4056	5.6878E-3	131.5549	
demographic.popSize78	269.7368	452.3361	127.6491	0.0652	957.7234	691.0021	0.0659	127.6491	
demographic.popSize79	269.8503	451.3323	127.95	1.8399E-3	992.5547	678.7169	0.0653	127.9903	
demographic.popSize80	271.5942	428.5077	132.2068	0.0226	971.4098	672.9491	0.0592	132.236	
demographic.popSize81	269.9021	427.5653	130.6601	0.0291	957.5313	690.4792	1.444E-3	130.6601	
demographic.popSize82	274.3109	444.2808	134.4329	0.015	960.7952	671.5619	0.014	134.4329	
demographic.popSize83	270.6076	451.0241	131.1387	8.2525E-3	980.9418	729.6422	5.9668E-3	131.1387	
demographic.popSize84	272.3501	446.7893	132.4088	0.0103	956.5626	681.9008	0.0163	132.4088	
demographic.popSize85	277.6464	467.2129	134.4543	1.5737E-3	965.615	757.2476	0.0186	134.4543	
demographic.popSize86	268.0542	434.9204	128.6609	9.3225E-3	988.4788	683.0964	9.3225E-3	128.6609	
demographic.popSize87	277.3358	463.0593	131.0725	0.0677	989.4177	655.5153	0.0178	131.0725	
