burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-16657.0609	183.4067	-16652.266	-17008.5107	-16302.4997	218.541	-16760.1005	-16507.9102	
prior	-7359.2455	185.9078	-7356.1209	-7720.8587	-7004.4883	216.2901	-7473.087	-7218.8846	
likelihood	-9297.8155	18.7893	-9297.4196	-9335.3099	-9261.8194	710.1028	-9309.3631	-9284.0684	
treeModel.rootHeight	76.3609	21.8214	71.1195	43.9608	121.117	243.8144	54.659	76.4985	
age(root)	1946.6391	21.8214	1951.8805	1901.883	1979.0392	243.8144	1946.5015	1968.341	
treeLength	2141.8407	442.4898	2107.8503	1338.071	3092.4688	195.3571	1821.555	2342.8219	
tmrca(ingroup)	76.3609	21.8214	71.1195	43.9608	121.117	243.8144	54.659	76.4985	
age(ingroup)	1946.6391	21.8214	1951.8805	1901.883	1979.0392	243.8144	1946.5015	1968.341	
demographic.populationSizeChanges	3.4081	0.6134	3	3	5	625.3576	3	3	
demographic.populationMean	322.1896	307.7657	233.1515	24.9765	856.6581	244.4357	49.2173	248.9017	
demographic.popSize1	160.5023	190.9118	111.4969	0.2479	504.125	277.0927	0.2479	111.4969	
demographic.popSize2	325.8873	540.3699	151.5396	5.1057E-4	1212.4047	715.1996	0.0184	151.5528	
demographic.popSize3	325.9351	547.3912	148.1563	0.0433	1203.8707	727.6606	2.0826E-3	148.1563	
demographic.popSize4	306.5681	520.3853	140.9104	1.4179E-3	1146.0346	734.0036	2.056E-3	140.9104	
demographic.popSize5	319.5017	522.1091	148.2322	0.0203	1176.1085	727.6944	0.0754	148.2831	
demographic.popSize6	311.4986	526.6863	141.2855	1.336E-3	1158.8797	711.6812	1.336E-3	141.2855	
demographic.popSize7	317.5544	528.1769	142.2755	0.0174	1198.7785	733.8095	0.0802	142.321	
demographic.popSize8	315.352	499.1338	146.3941	3.9336E-3	1192.1133	736.8319	0.1416	146.4875	
demographic.popSize9	228.9665	439.1568	72.6436	6.4698E-3	958.9643	616.1563	6.4698E-3	72.6436	
demographic.popSize10	320.5959	558.7464	144.0574	2.6962E-3	1177.3466	716.5004	2.6962E-3	144.0574	
demographic.popSize11	308.1395	526.593	132.4635	0.0145	1194.1589	644.1364	8.3954E-3	132.4635	
demographic.popSize12	311.5521	553.9184	139.6918	0.0184	1161.09	694.7964	0.0184	139.6918	
demographic.popSize13	287.7369	518.2396	122.4979	2.0989E-3	1116.168	659.0131	2.0989E-3	122.4979	
demographic.popSize14	311.017	544.5614	137.023	0.0182	1190.3049	658.8849	0.0182	137.023	
demographic.popSize15	311.146	543.5015	136.3003	9.2031E-3	1176.9562	664.5231	9.2031E-3	136.3003	
demographic.popSize16	308.7995	513.0558	139.9365	8.3802E-3	1177.1642	684.234	8.3802E-3	139.9365	
demographic.popSize17	307.5006	568.2422	134.4642	9.7769E-3	1161.8941	658.6817	9.7769E-3	134.4642	
demographic.popSize18	294.5085	508.8353	126.4368	0.0204	1117.206	634.1073	0.0646	126.447	
demographic.popSize19	308.3058	505.4724	146.2123	0.0108	1149.3355	763.346	0.0118	146.2123	
demographic.popSize20	292.9117	505.3257	129.7436	3.4609E-3	1097.3522	650.6289	0.0183	129.7436	
demographic.popSize21	319.5819	538.4049	146.6034	0.0115	1183.1754	647.7149	0.0115	146.6034	
demographic.popSize22	326.2545	575.73	146.3812	6.3884E-3	1206.9578	700.3119	6.3884E-3	146.3812	
demographic.popSize23	321.1483	528.9717	147.4071	0.0134	1217.7121	707.7693	0.0319	147.4098	
demographic.popSize24	325.9791	556.9512	148.179	0.0224	1205.8706	695.3797	0.2076	148.2862	
demographic.popSize25	319.5742	532.112	151.3399	8.5326E-3	1178.424	755.8067	0.0726	151.4004	
demographic.popSize26	324.6979	530.9625	152.8195	3.7709E-4	1207.6031	727.1933	0.039	152.8241	
demographic.popSize27	335.1717	586.527	149.8217	7.3403E-3	1251.7398	668.0434	0.0269	149.8386	
demographic.popSize28	322.8665	532.8595	151.6285	0.0128	1168.9107	718.1058	0.014	151.6285	
demographic.popSize29	321.5127	541.5399	153.6233	6.2448E-3	1172.5528	755.6122	6.2448E-3	153.6233	
demographic.popSize30	313.8805	500.0542	148.6885	0.0124	1139.3923	709.2559	0.0124	148.6885	
demographic.popSize31	331.7306	572.5255	154.1661	0.0129	1194.7406	720.3084	0.0392	154.1695	
demographic.popSize32	323.747	533.7942	151.6021	0.0142	1179.8867	643.1187	0.0247	151.6096	
demographic.popSize33	317.7977	563.2468	146.3923	0.0216	1181.8588	750.2926	0.0604	146.3923	
demographic.popSize34	315.9274	537.5058	146.0294	4.7249E-3	1159.82	710.7846	0.0108	146.0294	
demographic.popSize35	326.9445	518.802	153.4584	0.0173	1163.8143	716.303	0.0173	153.4584	
demographic.popSize36	323.5752	550.6306	158.0775	7.3636E-4	1204.708	712.3213	7.3636E-4	158.0775	
demographic.popSize37	327.3993	541.5825	153.4348	4.7515E-3	1195.2364	705.0978	9.3367E-3	153.4348	
demographic.popSize38	332.3496	563.6286	149.288	1.9079E-3	1236.2908	673.1515	1.9079E-3	149.288	
demographic.popSize39	325.2771	549.2818	156.1497	0.0181	1199.1669	650.0738	0.013	156.1497	
demographic.popSize40	326.7849	542.2961	151.9166	0.0229	1193.4997	721.7731	0.0229	151.9166	
demographic.popSize41	328.0479	554.3313	152.4558	1.6068E-3	1204.0088	645.5685	0.0384	152.4865	
demographic.popSize42	330.9507	542.2919	151.3814	8.6378E-3	1244.636	689.0444	6.825E-3	151.3814	
demographic.popSize43	320.0865	525.2097	150.2927	1.8393E-3	1180.603	712.4753	1.8393E-3	150.2927	
demographic.popSize44	328.9667	539.8338	154.5642	0.0171	1203.8682	723.2397	6.6729E-3	154.5642	
demographic.popSize45	331.8632	544.2863	157.3236	4.3541E-3	1272.5366	653.432	0.0356	157.3297	
demographic.popSize46	326.58	522.8483	156.3129	5.9083E-3	1185.7142	710.8344	0.0838	156.3916	
demographic.popSize47	323.9858	523.8916	154.5104	0.0309	1184.3435	718.5208	0.0309	154.5104	
demographic.popSize48	328.0898	542.5191	154.0108	0.1116	1188.9914	750.6172	8.0674E-3	154.0108	
demographic.popSize49	327.2195	559.1478	146.8817	7.3261E-3	1209.1067	682.9469	7.3274E-3	146.8817	
demographic.popSize50	329.4453	546.8954	157.6723	0.0155	1185.9704	692.6041	0.066	157.6842	
demographic.popSize51	331.5649	568.6806	151.9492	0.0356	1204.2057	757.6985	0.0356	151.9595	
demographic.popSize52	327.014	542.4405	151.9555	3.549E-3	1189.3139	660.1244	3.549E-3	151.9555	
demographic.popSize53	324.5507	539.1459	148.4815	0.0118	1209.4094	760.0398	6.9717E-3	148.4815	
demographic.popSize54	328.576	570.2449	153.259	0.0133	1197.5621	713.0186	0.0831	153.2665	
demographic.popSize55	325.0201	520.683	153.0534	0.0154	1200.3839	762.4125	0.0332	153.0534	
demographic.popSize56	332.0521	557.3605	155.4761	0.029	1220.3492	699.3778	3.5324E-3	155.4761	
demographic.popSize57	335.0994	552.52	159.6447	0.0304	1195.83	628.548	0.0304	159.6487	
demographic.popSize58	326.6669	531.1458	155.3311	0.0183	1155.2877	771.9232	7.6621E-3	155.3311	
demographic.popSize59	327.8239	540.6636	150.1479	8.5869E-3	1186.6018	746.8343	0.0381	150.1479	
demographic.popSize60	330.4566	561.626	153.1472	0.0164	1221.713	708.7496	0.0621	153.1865	
demographic.popSize61	326.201	532.8188	153.3781	0.0617	1195.9306	772.4072	4.2215E-3	153.3781	
demographic.popSize62	334.5815	535.5293	161.6328	0.0125	1187.6227	671.9637	0.0125	161.6328	
demographic.popSize63	333.9353	559.0945	155.8795	0.1391	1195.7123	744.6653	0.097	155.9085	
demographic.popSize64	327.8387	517.3785	156.9546	0.187	1204.1513	702.377	0.1271	156.9706	
demographic.popSize65	326.106	531.2301	154.3538	0.0147	1187.2983	656.7621	2.3163E-3	154.3538	
demographic.popSize66	329.6485	517.7505	151.8236	0.0316	1269.3075	638.8077	0.0181	151.8236	
demographic.popSize67	324.5853	527.2038	152.0758	7.3554E-3	1217.835	701.5578	7.3554E-3	152.0758	
demographic.popSize68	338.1473	554.5527	152.0084	7.0831E-3	1295.2397	565.2241	0.0358	152.0128	
demographic.popSize69	325.562	518.8871	154.541	1.6421E-3	1173.7269	686.7182	0.0123	154.541	
demographic.popSize70	332.1867	564.4675	153.4692	8.2538E-3	1188.1542	745.2635	8.2538E-3	153.4692	
demographic.popSize71	337.5733	554.5633	154.5322	0.014	1253.2	662.5418	0.014	154.5322	
demographic.popSize72	322.1555	540.3758	149.8824	0.0366	1194.2646	674.5677	0.0366	149.8824	
demographic.popSize73	315.3744	529.9175	154.4567	9.7884E-3	1127.6952	711.0187	9.7884E-3	154.4567	
demographic.popSize74	337.9527	545.0099	153.7424	7.468E-4	1306.6649	585.7393	0.0268	153.7439	
demographic.popSize75	324.4301	553.9505	145.5984	5.8693E-3	1192.4919	702.7642	0.0228	145.6089	
demographic.popSize76	324.737	558.5174	151.6979	0.0164	1188.3294	690.3631	0.0164	151.6979	
demographic.popSize77	323.3148	535.1768	153.6483	7.1292E-3	1154.1171	737.8179	7.1292E-3	153.6483	
demographic.popSize78	355.4034	543.5071	162.4353	0.0105	1290.4622	589.8103	1.8316E-4	162.4353	
demographic.popSize79	324.4177	512.1512	154.174	0.0285	1191.0695	714.5241	0.097	154.2177	
demographic.popSize80	323.8882	532.5	150.8773	0.026	1172.4979	686.1702	0.0123	150.8773	
demographic.popSize81	323.5763	514.7595	155.7448	0.0289	1199.0372	750.4557	0.0855	155.7597	
demographic.popSize82	326.4292	519.0218	155.4458	0.5837	1221.538	656.6476	4.393E-3	155.4458	
demographic.popSize83	319.5406	506.4854	150.5716	0.012	1175.9383	743.9872	0.0868	150.6311	
demographic.popSize84	331.022	559.0592	152.8355	1.4636E-3	1202.1117	687.8568	8.2985E-3	152.8355	
demographic.popSize85	338.1037	549.701	157.7437	8.6779E-3	1234.9958	574.4147	8.6779E-3	157.7437	
demographic.popSize86	330.5342	520.0649	155.0292	0.0108	1186.3644	703.5342	0.1258	155.1139	
demographic.popSize87	332.3025	541.5524	154.4606	0.0707	1228.0529	654.191	6.1125E-3	154.4606	
demographic.popSize88	334.7671	580.1344	151.5144	0.0888	1161.3769	689.8518	0.0135	151.5144	
demographic.popSize89	332.4392	559.9368	154.8746	0.0496	1294.7869	680.1889	0.0496	154.9037	
demographic.popSize90	324.0538	522.6538	152.1596	0.0174	1186.9999	674.1886	1.4847E-3	152.1596	
demographic.popSize91	330.8025	540.7034	153.5015	7.2273E-3	1176.4534	667.3801	7.2273E-3	153.5015	
demographic.popSize92	311.4562	499.5928	148.918	3.2464E-3	1127.4332	731.2541	6.6256E-3	148.918	
demographic.popSize93	319.6611	517.8276	152.5812	7.6946E-3	1200.0006	755.8106	7.6946E-3	152.5812	
demographic.popSize94	328.4542	550.3986	153.0267	0.0203	1237.9641	702.7272	0.0203	153.0267	
demographic.popSize95	330.5057	590.6121	154.1408	0.0182	1196.5417	724.237	0.0182	154.1408	
demographic.popSize96	329.211	561.0189	150.5146	8.2949E-3	1199.4141	736.1565	8.2949E-3	150.5146	
demographic.popSize97	323.0714	562.1647	145.3215	5.5867E-4	1177.6426	711.3982	5.5867E-4	145.3215	
demographic.popSize98	316.1815	527.7046	147.8253	0.0139	1141.9765	726.1002	0.0139	147.8253	
demographic.popSize99	325.2317	537.4475	149.8608	0.0437	1196.4745	730.7777	2.0392E-3	149.8608	
demographic.popSize100	317.536	515.6563	149.5629	1.3756E-3	1190.6629	707.9532	0.0132	149.5629	
demographic.popSize101	321.5961	576.8615	142.6155	0.0193	1178.119	635.9836	0.0193	142.6155	
demographic.popSize102	322.9056	545.2173	151.9869	0.0334	1157.6793	727.7469	0.0597	151.9966	
demographic.popSize103	321.7432	544.8822	148.3322	0.0479	1164.5616	682.3889	0.0479	148.3665	
demographic.popSize104	316.8434	555.6261	143.2356	0.0248	1163.1384	699.5463	6.8625E-3	143.2356	
demographic.popSize105	326.9991	565.1051	149.7011	8.7879E-3	1215.058	743.9408	6.3373E-4	149.7011	
demographic.popSize106	316.4936	544.6703	140.6112	2.828E-3	1153.1754	706.9572	0.0279	140.6282	
demographic.popSize107	326.633	542.2282	150.4696	0.0368	1214.6893	728.5671	0.0567	150.4816	
demographic.popSize108	313.8213	515.0424	148.5881	0.0452	1145.0154	735.1635	0.0452	148.6001	
demographic.popSize109	324.6239	550.0549	151.3688	8.2571E-3	1193.4764	794.9632	8.2571E-3	151.3688	
demographic.popSize110	311.1121	531.8254	142.1507	7.4902E-3	1166.2551	772.3672	7.4902E-3	142.1507	
demographic.popSize111	325.5572	543.8648	150.8543	5.4905E-3	1196.2599	669.3091	5.4905E-3	150.8543	
demographic.popSize112	323.2103	543.3103	147.9739	0.0355	1171.4843	725.0994	0.1263	148.0228	
demographic.popSize113	325.2791	562.8207	145.912	9.2044E-3	1201.2273	709.9673	9.2044E-3	145.912	
demographic.popSize114	313.0084	532.2	136.6935	0.0104	1172.95	660.1775	0.0737	136.7496	
demographic.popSize115	316.6974	538.5459	148.3762	7.761E-3	1185.3234	684.2434	2.5235E-3	148.3762	
demographic.popSize116	323.0305	538.9555	144.739	8.0181E-3	1208.7757	675.294	8.0181E-3	144.739	
demographic.popSize117	329.954	572.4064	151.6622	2.1487E-3	1226.3661	731.5139	0.0588	151.6935	
demographic.popSize118	319.6642	542.5525	146.1987	0.0391	1188.3863	685.2464	0.0391	146.2123	
demographic.popSize119	316.15	533.8439	143.6679	0.0112	1164.7665	730.0227	0.0834	143.6714	
demographic.popSize120	315.3429	524.8113	145.5131	9.5488E-3	1168.1321	717.3312	9.5488E-3	145.5131	
demographic.popSize121	322.215	533.2833	146.189	0.0113	1209.8815	699.1181	0.1168	146.2471	
demographic.popSize122	324.1759	587.6492	146.7769	0.0349	1191.0597	704.6416	8.627E-3	146.7769	
demographic.popSize123	313.7969	503.589	143.4557	1.8165E-3	1150.5031	672.3768	1.8165E-3	143.4557	
demographic.popSize124	309.5807	504.8475	144.9581	0.0126	1144.8056	666.7943	0.0126	144.9581	
demographic.popSize125	310.4086	498.7296	144.1702	4.611E-3	1149.0564	877.0974	0.0237	144.1857	
demographic.popSize126	314.9414	548.0787	143.4607	0.0253	1163.7676	686.824	0.0253	143.4607	
demographic.popSize127	327.5271	579.7558	147.6686	0.0371	1206.36	727.3551	0.0371	147.6686	
demographic.popSize128	323.4762	541.6368	148.3598	0.0194	1193.3598	711.6521	0.0559	148.3849	
demographic.popSize129	313.4679	508.7292	147.0535	8.7338E-3	1162.0111	769.4103	0.032	147.067	
demographic.popSize130	311.1679	514.2887	143.7064	0.021	1157.2772	815.9441	0.0114	143.7064	
demographic.popSize131	322.1231	552.0119	144.9593	1.0503E-3	1204.7893	695.2472	1.0503E-3	144.9593	
demographic.popSize132	322.9931	558.2849	150.0014	9.806E-3	1201.9732	718.956	0.0264	150.0182	
demographic.popSize133	319.626	521.0138	146.8622	0.0252	1219.8614	756.1725	8.1233E-3	146.8622	
demographic.popSize134	321.1578	562.9879	144.7303	3.9093E-3	1177.5882	787.0464	3.9093E-3	144.7303	
demographic.popSize135	326.0824	573.0933	146.7888	6.9485E-3	1181.6907	720.9032	6.9485E-3	146.7888	
demographic.popSize136	320.6413	550.9125	146.3921	2.5095E-3	1196.3949	650.3295	0.02	146.3965	
demographic.popSize137	322.0077	547.1022	148.2023	0.0117	1189.0491	690.4523	0.0839	148.2202	
demographic.popSize138	327.2126	558.8615	144.9682	2.4694E-3	1229.0111	756.0264	2.4694E-3	144.9682	
demographic.popSize139	322.7847	535.8223	147.6408	0.0156	1201.1134	678.577	0.0411	147.6699	
demographic.popSize140	327.3855	542.8956	150.9558	3.2584E-3	1219.6156	670.2668	0.0831	151.0261	
demographic.popSize141	321.3429	534.9618	147.4341	8.7743E-3	1176.2794	719.9289	0.0569	147.4341	
demographic.popSize142	321.123	521.3012	147.4313	0.0253	1211.639	704.2303	0.0308	147.4313	
demographic.popSize143	324.3073	574.171	149.5118	0.0313	1191.6679	708.0493	0.0116	149.5118	
demographic.popSize144	324.2904	563.9277	147.892	5.6632E-3	1195.3797	683.8279	0.0443	147.8975	
demographic.popSize145	311.9698	540.7273	144.1034	0.0195	1139.1002	744.1005	0.042	144.1171	
demographic.popSize146	318.3944	535.4667	146.1047	4.0758E-3	1171.1976	765.7663	0.0556	146.1415	
demographic.popSize147	325.7398	594.2983	149.4496	0.0102	1178.8495	786.5662	0.0102	149.4496	
demographic.popSize148	321.5901	514.0958	149.2629	4.5497E-3	1189.0669	704.7493	0.1138	149.3448	
demographic.popSize149	321.3866	541.0777	145.5752	0.0354	1195.2255	692.1781	0.0305	145.5752	
demographic.popSize150	324.6791	556.5224	149.0433	0.0262	1186.3993	699.5645	0.0638	149.0534	
demographic.popSize151	317.4429	522.2928	141.6431	0.0107	1205.3333	722.3343	0.0185	141.6507	
demographic.popSize152	312.1933	521.8133	144.5764	0.0199	1137.929	706.8492	0.0189	144.58	
demographic.popSize153	320.1882	553.0294	147.9518	0.0289	1162.6883	674.6386	0.0137	147.9518	
