burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14093.0761	155.171	-14085.3787	-14402.5938	-13799.8499	233.8555	-14167.8571	-13960.7185	
prior	-6989.6282	154.7679	-6984.0719	-7305.029	-6704.1634	231.7218	-7079.6683	-6871.6758	
likelihood	-7103.4479	18.1315	-7103.3143	-7139.0799	-7068.0617	616.9228	-7114.9815	-7090.54	
treeModel.rootHeight	162.8435	55.0961	153.0085	70.7316	271.7871	265.3719	114.5313	173.6302	
age(root)	1858.1565	55.0961	1867.9915	1749.2129	1950.2684	265.3719	1847.3698	1906.4687	
treeLength	2116.0652	466.5529	2025.5215	1354.7206	3098.34	205.2266	1712.9555	2213.5063	
tmrca(ingroup)	162.8435	55.0961	153.0085	70.7316	271.7871	265.3719	114.5313	173.6302	
age(ingroup)	1858.1565	55.0961	1867.9915	1749.2129	1950.2684	265.3719	1847.3698	1906.4687	
demographic.populationSizeChanges	2.7775	0.7735	3	2	4	446.529	2	3	
demographic.populationMean	92.8448	99.3414	67.0406	12.2326	238.3505	252.6942	24.9971	73.7326	
demographic.popSize1	50.0446	58.67	33.1028	0.119	167.3671	218.0096	0.119	33.1028	
demographic.popSize2	93.6291	159.8263	46.0717	2.492E-3	326.105	684.4967	2.492E-3	46.0717	
demographic.popSize3	90.2503	159.8079	45.7313	0.0142	311.5521	717.0819	3.0786E-3	45.7313	
demographic.popSize4	91.0994	172.1257	44.4058	2.8395E-3	312.9014	685.077	0.0298	44.4178	
demographic.popSize5	94.6168	162.7541	46.2564	2.0349E-3	333.4928	596.0807	0.0134	46.2575	
demographic.popSize6	93.3311	163.1391	46.5154	1.0883E-3	324.0092	671.717	0.0277	46.5252	
demographic.popSize7	94.4771	177.0835	46.6208	8.607E-3	332.721	705.7012	8.607E-3	46.6208	
demographic.popSize8	92.3679	165.7136	45.3518	2.1074E-4	318.4161	781.8073	9.3542E-4	45.3518	
demographic.popSize9	94.9423	172.7862	47.4224	6.4196E-3	327.9861	645.9488	7.9902E-3	47.4233	
demographic.popSize10	90.3728	167.4851	42.838	2.2246E-3	322.1646	673.4588	2.2246E-3	42.838	
demographic.popSize11	92.5667	169.7875	45.2747	8.1427E-3	316.6631	653.2484	5.3084E-3	45.2747	
demographic.popSize12	91.9361	176.8179	45.3739	7.2251E-3	322.1956	659.4484	7.2251E-3	45.3739	
demographic.popSize13	92.7537	164.5482	46.5779	2.8981E-3	322.6866	700.4647	2.8981E-3	46.5779	
demographic.popSize14	90.8743	161.6968	44.9687	2.8657E-3	322.8023	770.6985	3.2786E-4	44.9687	
demographic.popSize15	94.4307	175.9331	46.2316	4.0616E-3	336.459	744.0022	4.0616E-3	46.2316	
demographic.popSize16	92.0501	159.8489	44.4827	1.8106E-4	324.191	639.2999	7.9484E-3	44.4827	
demographic.popSize17	94.3919	172.9117	45.91	3.9315E-3	332.4966	619.565	3.9315E-3	45.91	
demographic.popSize18	79.0466	154.1595	34.127	4.2166E-4	297.2951	575.3768	4.2166E-4	34.127	
demographic.popSize19	90.1519	149.6216	45.0496	1.1428E-3	313.8749	688.8408	0.0108	45.0538	
demographic.popSize20	93.2948	169.2369	46.6031	0.018	322.7926	654.7593	0.018	46.6031	
demographic.popSize21	87.7074	179.0172	39.5942	5.0939E-3	315.5526	596.8678	7.8789E-4	39.5942	
demographic.popSize22	90.8536	148.7021	45.2819	4.8506E-3	322.7443	716.9614	4.8506E-3	45.2819	
demographic.popSize23	92.0897	169.1396	43.4857	4.3515E-3	327.5869	610.355	4.3515E-3	43.4857	
demographic.popSize24	79.0816	121.8045	39.9095	1.4205E-3	283.0694	836.6124	1.4205E-3	39.9095	
demographic.popSize25	89.6018	163.8483	43.9534	2.7208E-4	315.6134	687.8425	6.4092E-3	43.9534	
demographic.popSize26	93.1272	167.6832	45.9627	0.0111	326.4468	669.9552	1.7087E-3	45.9627	
demographic.popSize27	86.699	160.1938	40.1526	2.2263E-4	315.2356	695.6315	2.2263E-4	40.1526	
demographic.popSize28	91.6771	166.6231	43.6604	9.6492E-4	328.6046	595.8984	0.0125	43.6682	
demographic.popSize29	79.9862	154.1361	35.4737	1.2138E-3	291.4319	565.8994	1.2138E-3	35.4737	
demographic.popSize30	94.6087	179.1286	45.9428	1.2018E-3	330.6632	642.3154	1.2018E-3	45.9428	
demographic.popSize31	92.4114	162.3603	46.0438	0.0105	320.9241	701.0862	0.0105	46.0438	
demographic.popSize32	93.4495	183.0866	46.1054	2.0485E-3	325.039	761.7791	0.0779	46.1177	
demographic.popSize33	93.1851	164.4295	46.413	2.0043E-3	329.615	661.2189	2.0043E-3	46.413	
demographic.popSize34	92.2976	164.1922	45.6802	5.2289E-3	327.0454	736.669	0.0312	45.7007	
demographic.popSize35	93.0042	168.1312	45.0254	3.9898E-3	330.4441	675.9274	3.9898E-3	45.0254	
demographic.popSize36	92.9951	170.4896	45.244	2.5883E-4	320.1415	604.7325	2.5883E-4	45.244	
demographic.popSize37	91.9183	165.6023	45.5383	5.9803E-4	320.7688	678.1468	5.1883E-3	45.5414	
demographic.popSize38	93.1864	163.0605	45.7715	6.3949E-3	334.3601	663.0781	0.0842	45.8291	
demographic.popSize39	93.1837	168.443	44.7634	1.1923E-3	332.927	662.164	1.1923E-3	44.7634	
demographic.popSize40	88.8569	147.6525	45.4623	9.8447E-3	309.3983	736.9696	0.0175	45.4696	
demographic.popSize41	94.3002	191.7507	46.42	1.375E-3	321.1835	693.3218	1.375E-3	46.42	
demographic.popSize42	93.6222	159.9744	45.6346	0.0148	333.8887	708.0424	5.4005E-4	45.6346	
demographic.popSize43	92.4521	160.1972	46.1137	0.017	326.0306	674.7579	0.0507	46.1489	
demographic.popSize44	93.0894	169.6707	45.4289	6.9567E-3	326.4667	623.8818	6.9567E-3	45.4322	
demographic.popSize45	92.0212	185.2754	45.4513	6.5562E-3	314.1014	593.1526	0.0462	45.481	
demographic.popSize46	92.2095	164.9954	45.5057	7.0191E-4	318.365	669.7929	4.3442E-3	45.5073	
demographic.popSize47	91.8531	184.3256	45.0239	6.9996E-3	315.9635	719.1585	6.9996E-3	45.0301	
demographic.popSize48	94.1893	197.5428	45.7328	2.2957E-3	326.5887	765.2256	2.2957E-3	45.7328	
demographic.popSize49	92.4605	156.2567	45.8743	8.8063E-4	322.3203	643.7	0.0114	45.8743	
demographic.popSize50	93.1929	183.1725	46.3561	9.2671E-4	323.2996	743.3669	0.0582	46.3937	
demographic.popSize51	92.7092	164.3378	46.4097	0.011	323.1697	644.2423	3.6511E-3	46.4103	
demographic.popSize52	89.468	155.09	43.5753	6.9706E-3	315.9436	783.3007	5.7312E-3	43.5753	
demographic.popSize53	90.3137	153.3621	44.7292	6.9914E-3	311.9187	707.6853	6.7583E-3	44.7292	
demographic.popSize54	91.8873	214.4068	44.0991	6.5841E-4	318.7594	1012.1054	1.7953E-3	44.0991	
demographic.popSize55	91.4763	169.5511	43.4936	6.4198E-4	322.9009	699.3449	6.4198E-4	43.4936	
demographic.popSize56	94.024	164.6603	45.2432	3.7352E-3	345.3284	670.0293	9.34E-3	45.2484	
demographic.popSize57	90.2038	154.0073	45.0191	3.5513E-3	315.5764	659.2984	3.5513E-3	45.0191	
demographic.popSize58	89.0398	157.3514	43.2277	7.8971E-3	313.4734	627.115	0.0133	43.2277	
demographic.popSize59	90.7409	154.0835	44.6851	8.1968E-3	330.8485	704.1632	0.0343	44.7096	
demographic.popSize60	89.5678	155.3935	44.2471	0.0128	316.9177	735.3678	0.0165	44.2489	
demographic.popSize61	92.5955	148.7054	46.3938	3.8347E-3	333.8036	766.9363	2.8386E-3	46.3938	
demographic.popSize62	89.0384	158.0086	43.0122	1.744E-3	310.5871	668.6911	1.744E-3	43.0122	
demographic.popSize63	90.7286	158.8385	44.0535	8.3974E-3	314.6467	650.324	0.032	44.0662	
demographic.popSize64	92.1528	166.668	44.9004	5.1727E-3	321.8314	678.4535	6.4963E-3	44.9004	
demographic.popSize65	91.3319	150.9363	47.6658	0.0294	313.5941	724.6645	0.0113	47.6658	
demographic.popSize66	93.4725	160.4641	45.9075	1.8212E-3	325.7532	677.0168	0.0136	45.9186	
demographic.popSize67	96.1014	204.856	48.7742	6.4341E-4	324.3764	740.7843	0.0446	48.8115	
demographic.popSize68	94.344	185.0514	47.5053	3.4691E-3	325.4567	758.2444	3.4691E-3	47.5053	
demographic.popSize69	92.9533	194.3753	47.1798	1.975E-3	308.6075	747.4234	0.0353	47.1867	
demographic.popSize70	93.9784	177.1364	47.2134	5.6118E-4	322.3997	738.6415	8.6039E-3	47.2207	
demographic.popSize71	97.8085	165.5684	50.4923	9.4421E-3	333.9284	627.7159	0.0179	50.4933	
demographic.popSize72	93.5929	160.7827	47.4111	0.0124	324.5746	626.9575	0.031	47.4111	
demographic.popSize73	94.2332	172.1183	48.4447	4.0296E-3	329.9769	809.3131	0.0114	48.4447	
demographic.popSize74	94.5371	168.9888	48.0344	7.3859E-5	322.0202	615.1307	0.02	48.0344	
demographic.popSize75	92.8556	157.3894	46.2843	0.0113	316.3417	671.3038	0.0202	46.2954	
demographic.popSize76	95.0978	160.5965	46.8805	5.7415E-4	337.4819	622.8524	0.0122	46.8805	
demographic.popSize77	96.2031	179.8626	49.0472	0.018	317.5309	575.6317	0.035	49.0724	
demographic.popSize78	94.8532	170.8641	49.0367	4.0661E-3	313.1563	659.2716	0.0121	49.041	
demographic.popSize79	95.2967	167.8056	48.4512	1.038E-3	318.6693	611.6215	1.038E-3	48.4512	
demographic.popSize80	92.8746	159.5898	47.5805	0.0104	320.5544	718.7074	0.0104	47.5818	
demographic.popSize81	94.7386	165.5486	48.2704	9.747E-3	319.9539	623.4445	7.1864E-3	48.2704	
demographic.popSize82	93.5911	159.88	48.0921	3.8533E-3	315.5384	759.8918	3.8533E-3	48.0921	
demographic.popSize83	94.3927	165.2654	48.3107	5.2418E-3	335.468	672.6651	0.0333	48.3155	
demographic.popSize84	93.5945	178.2149	47.0827	1.5341E-4	311.3875	659.4899	1.5341E-4	47.0827	
demographic.popSize85	90.9218	152.8822	46.625	3.3837E-3	315.0315	682.0513	8.8763E-3	46.625	
demographic.popSize86	95.9004	175.5258	48.1997	4.2445E-3	330.346	698.6762	0.0157	48.206	
demographic.popSize87	92.6267	159.6775	45.8355	1.5988E-3	324.3508	695.6163	0.0295	45.8612	
demographic.popSize88	91.5238	161.891	46.0557	6.8545E-3	312.1793	663.1441	0.0174	46.0675	
demographic.popSize89	94.8285	184.5418	46.3512	7.9446E-3	335.7108	681.8775	7.9446E-3	46.3512	
demographic.popSize90	97.75	183.2273	47.716	2.1496E-4	337.6527	631.3586	0.0285	47.7262	
demographic.popSize91	94.416	169.9816	47.6701	4.3845E-3	327.8886	669.8317	0.0205	47.6701	
demographic.popSize92	92.9504	161.9005	47.0412	0.0126	319.5477	758.4312	0.0272	47.048	
demographic.popSize93	94.2648	160.6259	47.3629	1.1434E-3	329.3848	725.4501	3.3194E-3	47.3643	
demographic.popSize94	88.4859	130.0282	48.0843	9.3429E-4	310.3487	919.5896	9.3429E-4	48.0843	
demographic.popSize95	95.0406	164.354	47.2543	5.1502E-3	333.043	667.9727	5.1502E-3	47.2543	
demographic.popSize96	92.4594	181.5184	45.8379	5.9368E-3	316.8301	858.9726	5.9368E-3	45.8379	
demographic.popSize97	93.1056	157.1584	46.6381	6.4185E-4	315.0405	676.1844	5.905E-3	46.6409	
demographic.popSize98	92.2401	164.7098	45.208	8.7802E-3	317.6778	690.4027	2.3416E-3	45.208	
demographic.popSize99	93.5255	166.4343	47.3425	0.0114	319.8237	768.0969	3.3677E-3	47.3425	
demographic.popSize100	91.8596	169.321	45.37	9.1728E-5	317.1535	714.4152	9.8416E-3	45.3741	
demographic.popSize101	92.0357	164.0994	46.2978	4.5839E-3	319.694	628.6056	4.5839E-3	46.2978	
demographic.popSize102	94.6534	199.6735	47.2899	2.0482E-3	317.3243	789.7831	2.0482E-3	47.2899	
demographic.popSize103	91.186	154.5246	46.1553	2.9196E-3	316.4534	745.4273	2.9196E-3	46.1553	
demographic.popSize104	93.1496	159.2082	45.7158	5.3868E-3	333.7501	658.7282	1.7275E-3	45.7158	
demographic.popSize105	92.7511	160.8493	46.5806	3.6959E-3	326.3773	653.3082	6.2955E-3	46.5806	
demographic.popSize106	92.5714	164.5086	46.1604	3.6716E-3	320.2589	749.1458	3.6716E-3	46.1604	
demographic.popSize107	93.061	168.3579	46.4782	5.7594E-3	325.9528	623.9703	5.7594E-3	46.4782	
demographic.popSize108	92.9136	153.2542	47.118	2.4614E-3	324.128	701.8711	0.0772	47.1724	
demographic.popSize109	91.831	158.5365	45.7404	6.7911E-4	322.0872	651.1245	0.0171	45.742	
demographic.popSize110	92.6145	157.757	46.0182	6.5784E-3	324.1149	691.0149	8.3914E-3	46.0182	
demographic.popSize111	95.1848	183.9208	46.9138	1.1801E-3	315.9202	680.724	5.5939E-3	46.9175	
demographic.popSize112	93.9707	173.6095	45.9303	1.8865E-3	329.2915	708.3936	8.4275E-5	45.9303	
demographic.popSize113	92.4187	154.9193	45.5566	1.2051E-3	321.2905	614.8129	0.01	45.5609	
demographic.popSize114	93.8675	169.327	47.0633	1.5105E-3	327.0077	671.3345	4.4993E-5	47.0633	
demographic.popSize115	94.1678	175.9253	46.8139	2.4527E-3	315.9002	666.8189	2.4527E-3	46.8139	
demographic.popSize116	96.0912	192.1341	48.2441	6.3971E-4	321.7796	678.0742	0.011	48.2482	
demographic.popSize117	90.8408	151.6534	44.9147	0.0149	320.74	680.7487	1.0173E-3	44.9147	
demographic.popSize118	95.1625	181.6958	46.5907	1.6118E-3	324.3638	751.6137	1.6118E-3	46.5907	
demographic.popSize119	95.7703	196.1708	46.9746	0.0135	329.2525	855.545	7.8112E-3	46.9746	
demographic.popSize120	93.3451	176.5989	46.5843	8.5104E-3	322.564	784.4311	4.0367E-3	46.5843	
demographic.popSize121	91.9162	155.3149	46.9751	3.2E-4	319.0221	666.8697	0.0226	46.9904	
demographic.popSize122	94.6812	168.8194	47.0372	1.8973E-3	326.1708	685.6233	1.8973E-3	47.0372	
demographic.popSize123	91.5935	170.6542	46.0364	0.0111	311.7092	776.724	6.0258E-3	46.0364	
demographic.popSize124	93.0572	171.4412	46.0285	1.6042E-4	333.2793	688.7238	1.6042E-4	46.0285	
demographic.popSize125	94.6582	169.651	46.4503	2.4789E-3	330.273	668.7203	0.012	46.4503	
demographic.popSize126	94.487	167.1683	45.579	1.4969E-3	333.9814	647.006	1.4969E-3	45.579	
