burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14585.5907	133.6693	-14586.2834	-14844.2173	-14324.2801	254.2173	-14675.1484	-14495.3397	
prior	-6974.3376	133.5639	-6974.0434	-7231.973	-6711.8809	251.2254	-7056.7205	-6876.6693	
likelihood	-7611.2531	17.4798	-7611.5646	-7645.5757	-7576.6481	663.8132	-7623.8862	-7600.5766	
treeModel.rootHeight	154.9117	51.4093	146.2747	60.032	254.1397	278.0567	110.7007	167.3734	
age(root)	1868.0883	51.4093	1876.7253	1768.8603	1962.968	278.0567	1855.6266	1912.2993	
treeLength	1952.1313	420.8401	1916.5916	1190.8216	2811.9616	209.2807	1568.5636	2113.8217	
tmrca(ingroup)	154.9117	51.4093	146.2747	60.032	254.1397	278.0567	110.7007	167.3734	
age(ingroup)	1868.0883	51.4093	1876.7253	1768.8603	1962.968	278.0567	1855.6266	1912.2993	
demographic.populationSizeChanges	2.6126	0.6736	3	2	4	598.8153	2	3	
demographic.populationMean	75.4486	55.03	60.0499	11.8714	177.9621	259.9014	25.1312	66.956	
demographic.popSize1	60.47	97.6623	27.9234	0.4965	222.4556	301.6533	0.4965	27.9234	
demographic.popSize2	75.6392	113.6432	40.5696	5.2721E-3	259.7345	936.6521	5.7119E-3	40.5701	
demographic.popSize3	71.6938	100.9183	38.6125	0.0112	247.7923	866.9773	0.0803	38.6794	
demographic.popSize4	72.9826	110.0341	37.5738	6.0947E-3	257.3173	882.7506	5.8818E-3	37.5738	
demographic.popSize5	71.4087	104.2773	37.4526	0.015	250.0282	899.7043	0.015	37.4526	
demographic.popSize6	70.9566	109.0354	36.3642	1.8529E-3	252.7331	908.344	0.0102	36.3642	
demographic.popSize7	70.8359	107.12	35.6698	2.9403E-3	252.5896	839.9373	8.8948E-4	35.6698	
demographic.popSize8	75.2864	117.7408	37.754	0.012	273.6609	867.7135	0.0229	37.7608	
demographic.popSize9	66.7591	102.0973	34.5316	3.9781E-3	240.5383	880.0059	3.7247E-3	34.5316	
demographic.popSize10	73.1128	117.1138	38.0795	1.6618E-3	253.6985	967.3233	1.6618E-3	38.0795	
demographic.popSize11	72.9153	108.5282	37.9054	3.3159E-3	256.8921	915.6382	0.0189	37.9169	
demographic.popSize12	71.6651	102.611	36.8769	2.6409E-3	257.26	850.4231	5.1159E-3	36.8769	
demographic.popSize13	72.0685	112.1175	36.9216	2.3383E-3	260.2945	815.0347	5.0053E-3	36.9216	
demographic.popSize14	69.7554	105.6935	36.0372	1.2542E-3	242.4154	877.2962	1.2542E-3	36.0372	
demographic.popSize15	72.5263	103.3929	38.0881	1.4043E-3	256.704	847.2954	5.456E-3	38.0881	
demographic.popSize16	74.3375	110.6424	39.8548	1.6502E-3	259.9853	882.7026	1.6502E-3	39.8548	
demographic.popSize17	70.7328	105.3997	36.4054	6.4118E-3	250.8873	890.0681	0.0307	36.4088	
demographic.popSize18	72.6677	108.3962	38.2236	3.8268E-3	259.4665	882.9382	9.01E-3	38.2238	
demographic.popSize19	71.7188	105.4074	37.5829	2.8249E-3	249.2701	916.5168	0.0514	37.6207	
demographic.popSize20	73.5879	105.1004	38.8765	0.0119	262.8832	943.581	1.587E-3	38.8765	
demographic.popSize21	72.9694	107.3564	38.1253	2.6734E-3	257.0219	842.5969	5.3802E-3	38.1254	
demographic.popSize22	73.8086	107.6445	38.5325	4.5931E-3	259.1423	869.2105	2.0503E-3	38.5325	
demographic.popSize23	73.776	112.1588	37.8186	8.7444E-3	262.25	907.25	0.0464	37.8596	
demographic.popSize24	74.1701	105.6711	40.1358	3.3566E-3	260.0678	851.0971	0.0184	40.1441	
demographic.popSize25	73.9791	106.0138	39.1283	3.9723E-3	260.2463	955.9174	6.2461E-3	39.1283	
demographic.popSize26	74.1832	109.8268	39.6576	4.3527E-3	255.6381	900.6189	7.5333E-3	39.6576	
