burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-16615.8274	166.3205	-16603.3086	-16960.3842	-16309.2963	449.7139	-16695.0939	-16479.2615	
prior	-7317.4406	167.9692	-7304.1953	-7673.121	-7011.6522	445.0885	-7406.9259	-7188.8181	
likelihood	-9298.3867	18.5994	-9298.2079	-9334.8887	-9262.0931	1476.5043	-9310.0192	-9284.9378	
treeModel.rootHeight	71.8256	19.1641	67.4536	43.682	113.4662	507.4907	54.2918	72.711	
age(root)	1951.1744	19.1641	1955.5464	1909.5338	1979.318	507.4907	1950.289	1968.7082	
treeLength	2020.836	384.7492	1967.7345	1345.8274	2792.2089	393.6551	1668.3066	2126.8466	
tmrca(ingroup)	71.8256	19.1641	67.4536	43.682	113.4662	507.4907	54.2918	72.711	
age(ingroup)	1951.1744	19.1641	1955.5464	1909.5338	1979.318	507.4907	1950.289	1968.7082	
demographic.populationSizeChanges	3.3953	0.6152	3	3	5	1356.7914	3	3	
demographic.populationMean	272.7241	271.4988	194.6844	24.9722	735.2497	481.1284	57.082	211.6232	
demographic.popSize1	172.0726	226.0243	87.882	0.0462	662.6383	509.8378	0.2185	87.882	
demographic.popSize2	273.2891	462.9514	128.974	6.7451E-3	1008.5045	1359.4477	6.7451E-3	128.974	
demographic.popSize3	270.015	480.5577	123.2356	6.0881E-3	981.3648	1365.9009	0.045	123.2666	
demographic.popSize4	264.0054	460.9415	124.0858	1.2269E-3	965.418	1433.1343	1.2269E-3	124.0858	
demographic.popSize5	270.0276	456.8091	127.1401	3.8314E-3	973.417	1408.4299	3.8314E-3	127.1401	
demographic.popSize6	260.6548	454.7729	120.6026	1.336E-3	956.3655	1343.3863	1.336E-3	120.6026	
demographic.popSize7	269.9577	455.1423	124.843	0.0137	991.7519	1409.651	0.0282	124.8504	
demographic.popSize8	258.8761	447.7641	115.9713	2.574E-3	972.0249	1309.7256	0.0216	115.9822	
demographic.popSize9	204.3037	382.6941	78.022	6.3863E-4	825.0207	1277.3947	0.0895	78.089	
demographic.popSize10	271.5675	485.6018	124.6067	2.6962E-3	988.086	1387.0573	2.6962E-3	124.6067	
demographic.popSize11	261.7417	463.6714	118.3303	3.4362E-3	974.4432	1306.3235	2.8278E-3	118.3303	
demographic.popSize12	252.0746	461.9957	111.3167	0.0159	936.1265	1279.9812	0.0159	111.3167	
demographic.popSize13	250.8598	468.3384	110.4461	8.2365E-3	939.2436	1233.1513	8.2365E-3	110.4487	
demographic.popSize14	261.991	470.7815	116.7019	0.0103	980.3141	1258.659	0.0103	116.7019	
