burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15740.6403	178.4898	-15746.8424	-16090.5988	-15383.5467	437.6655	-15866.3881	-15631.3228	
prior	-7461.6405	180.8225	-7468.845	-7807.4429	-7093.199	433.1343	-7590.0493	-7352.5303	
likelihood	-8278.9998	19.1761	-8278.9022	-8316.892	-8241.6191	1357.3524	-8291.6273	-8265.9339	
treeModel.rootHeight	99.9786	29.3792	94.8011	51.1342	156.8132	491.8097	71.9512	104.137	
age(root)	1923.0214	29.3792	1928.1989	1866.1868	1971.8658	491.8097	1918.863	1951.0488	
treeLength	2801.7493	642.9352	2766.0091	1657.8415	4080.7548	396.2561	2197.0496	3036.3488	
tmrca(ingroup)	99.9786	29.3792	94.8011	51.1342	156.8132	491.8097	71.9512	104.137	
age(ingroup)	1923.0214	29.3792	1928.1989	1866.1868	1971.8658	491.8097	1918.863	1951.0488	
demographic.populationSizeChanges	3.4416	0.6558	3	3	5	1184.6576	3	3	
demographic.populationMean	419.0354	426.9658	299.987	22.4784	1169.164	478.5296	70.199	322.5129	
demographic.popSize1	291.2151	251.1262	241.0497	2.7546	710.4226	524.1975	13.9668	247.9934	
demographic.popSize2	420.806	738.2326	192.9642	7.2024E-3	1520.3312	1341.9392	7.2024E-3	192.9642	
demographic.popSize3	411.6325	735.0521	187.2899	0.027	1499.3851	1413.4738	0.0166	187.2922	
demographic.popSize4	416.6786	724.4536	194.7995	1.0295E-4	1504.0075	1404.1826	5.6213E-3	194.7995	
demographic.popSize5	421.6696	702.1162	197.3449	4.5245E-3	1540.4779	1358.5827	6.1603E-3	197.3449	
demographic.popSize6	392.8861	700.4696	171.3312	1.4809E-3	1493.8251	1275.8633	1.4809E-3	171.3312	
demographic.popSize7	417.5486	714.5952	192.4535	2.7519E-4	1536.6037	1271.313	8.8928E-3	192.4613	
demographic.popSize8	417.9997	719.1891	194.1756	0.0218	1546.797	1369.3735	3.103E-3	194.1756	
demographic.popSize9	411.3435	716.9989	192.014	0.0216	1504.1267	1335.318	0.0291	192.014	
demographic.popSize10	415.5841	738.5219	186.9898	0.0192	1550.6655	1347.0135	0.0667	187.0281	
demographic.popSize11	405.37	742.1519	174.5462	2.2859E-3	1542.7603	1282.7776	0.056	174.5759	
demographic.popSize12	419.9421	730.3379	190.2369	0.0134	1536.2384	1299.7523	0.0134	190.2369	
demographic.popSize13	298.965	549.8684	115.6302	0.0183	1184.234	1321.5656	0.0164	115.6302	
demographic.popSize14	323.2181	668.8566	116.3488	2.148E-3	1293.6002	1161.63	2.148E-3	116.3488	
demographic.popSize15	371.0328	717.6004	145.8319	3.904E-3	1444.3045	1149.6992	0.0173	145.8319	
demographic.popSize16	412.049	742.2704	185.3936	9.1737E-3	1532.2893	1313.2282	0.0241	185.3957	
demographic.popSize17	383.4115	748.9895	158.5163	0.0285	1452.4066	1236.225	0.0487	158.5448	
demographic.popSize18	406.2644	739.4412	180.6663	0.0426	1522.0428	1292.0753	0.0401	180.6663	
demographic.popSize19	397.7979	748.4177	167.9515	8.9663E-3	1519.1421	1278.0002	1.4921E-3	167.9515	
demographic.popSize20	419.7671	722.8592	194.1805	7.1599E-3	1543.285	1326.5136	7.1599E-3	194.1805	
demographic.popSize21	403.783	721.7233	183.117	1.7747E-3	1481.8134	1312.7772	1.7747E-3	183.117	
demographic.popSize22	409.6777	708.206	196.6321	0.0145	1474.6951	1407.4191	0.0694	196.672	
demographic.popSize23	418.5244	730.5367	197.0737	0.0313	1492.0669	1383.8165	0.0313	197.0737	
demographic.popSize24	417.1667	722.9826	194.7436	5.2742E-3	1504.806	1419.0661	3.1849E-4	194.7436	
demographic.popSize25	419.2435	715.4908	195.8224	4.0416E-3	1545.2546	1281.213	4.0416E-3	195.8224	
demographic.popSize26	418.2396	733.9201	194.3109	0.0138	1504.5174	1336.8937	0.0138	194.3109	
demographic.popSize27	424.1129	751.027	199.6551	4.2713E-3	1535.0292	1441.9024	4.2713E-3	199.6551	
demographic.popSize28	426.4442	770.7658	196.1631	0.0154	1534.3032	1258.1632	0.0223	196.1631	
demographic.popSize29	423.8598	750.7312	196.804	0.0307	1537.0742	1373.0667	0.0168	196.804	
demographic.popSize30	421.5938	730.278	196.2675	0.0277	1516.2296	1408.1891	0.0277	196.2806	
demographic.popSize31	426.5119	733.6268	196.604	5.9258E-3	1557.7311	1271.2035	5.9258E-3	196.604	
demographic.popSize32	417.968	764.541	193.8555	5.7958E-3	1517.3059	1300.8845	8.855E-3	193.8555	
demographic.popSize33	426.3478	730.8577	198.3831	2.0074E-3	1574.4772	1286.4077	2.0074E-3	198.3831	
demographic.popSize34	424.52	737.8698	194.1354	0.015	1585.1376	1342.3217	0.015	194.1354	
