burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14942.6582	126.7621	-14935.4858	-15201.2387	-14693.8652	524.2701	-15009.4423	-14848.8751	
prior	-7511.0426	125.5336	-7504.0954	-7773.6125	-7268.709	520.344	-7572.5473	-7414.4862	
likelihood	-7431.6156	17.2602	-7431.2422	-7465.6372	-7397.9175	1405.2887	-7442.1777	-7419.0638	
treeModel.rootHeight	69.4239	15.9213	66.5745	44.3314	100.2847	566.2058	53.8848	71.4952	
age(root)	1953.5761	15.9213	1956.4255	1922.7153	1978.6686	566.2058	1951.5048	1969.1152	
treeLength	2549.9646	274.8401	2544.559	2006.6626	3123.5317	432.4071	2364.5228	2696.9249	
tmrca(ingroup)	69.4239	15.9213	66.5745	44.3314	100.2847	566.2058	53.8848	71.4952	
age(ingroup)	1953.5761	15.9213	1956.4255	1922.7153	1978.6686	566.2058	1951.5048	1969.1152	
demographic.populationSizeChanges	3.3238	0.5652	3	3	4	1110.7938	3	3	
demographic.populationMean	684.5619	594.0831	529.4132	96.4956	1687.425	516.9073	204.3872	584.2465	
demographic.popSize1	402.0744	432.0971	295.9817	4.665	1130.3895	505.3151	100.9279	355.8291	
demographic.popSize2	683.3977	1071.4297	353.7455	0.0128	2374.2845	1570.6994	1.2416E-3	353.7455	
demographic.popSize3	668.4796	1051.0929	350.1729	0.022	2315.4204	1727.5426	0.022	350.1729	
demographic.popSize4	679.7549	1109.3989	350.9707	0.0245	2347.7218	1539.3602	0.0245	350.9707	
demographic.popSize5	664.5568	997.0189	343.2828	0.0296	2336.8918	1684.7714	0.0129	343.2828	
demographic.popSize6	684.3228	1111.7221	356.625	0.0847	2354.4091	1517.992	0.2198	356.7251	
demographic.popSize7	647.1473	1104.9127	323.8787	1.5876E-3	2278.699	1555.0766	0.0201	323.8898	
demographic.popSize8	634.4643	1072.7723	309.2153	2.7707E-3	2262.3939	1343.948	0.0732	309.2238	
demographic.popSize9	677.9931	1135.0992	338.2628	0.0229	2365.3716	1383.2899	0.0105	338.2628	
demographic.popSize10	654.395	1077.2101	323.6036	0.0111	2348.995	1435.5385	0.164	323.6287	
demographic.popSize11	671.4611	1101.1986	345.1455	0.0284	2301.3	1527.3188	0.0284	345.1455	
demographic.popSize12	530.1158	1052.9966	209.8135	0.0347	2060.374	1388.8441	0.0792	209.8135	
demographic.popSize13	678.2061	1071.5588	346.157	0.0556	2403.6403	1537.0123	0.032	346.157	
demographic.popSize14	662.8495	1092.8576	331.9707	0.0463	2341.7607	1605.4587	0.0504	331.9776	
demographic.popSize15	628.7184	1091.3333	301.5615	7.6307E-3	2283.9958	1509.66	7.6307E-3	301.5615	
demographic.popSize16	621.5074	1003.9249	306.1059	2.0576E-3	2232.8144	1472.1984	0.0174	306.1059	
demographic.popSize17	483.2354	897.9016	187.6903	0.0635	1943.4024	1290.1253	0.1217	187.7618	
demographic.popSize18	680.7317	1124.0703	349.0768	3.2451E-3	2333.887	1577.8016	0.1499	349.1891	
demographic.popSize19	687.4209	1093.2103	354.1804	0.0232	2373.2411	1657.9984	0.0232	354.1804	
demographic.popSize20	685.412	1061.923	358.167	0.0425	2402.5806	1491.9505	0.1049	358.167	
demographic.popSize21	689.2151	1044.5992	358.9398	0.0197	2424.3265	1673.2763	0.0222	358.9398	
demographic.popSize22	691.2897	1078.7398	361.0165	0.0164	2377.5914	1605.6308	0.0104	361.0165	
demographic.popSize23	696.582	1268.1019	358.4585	0.0126	2421.512	1831.2128	0.0126	358.4585	
demographic.popSize24	681.2997	1010.2504	359.7821	0.0419	2335.5202	1757.1775	0.1583	359.8638	
demographic.popSize25	711.6556	1164.5934	363.3879	0.0175	2528.4249	1359.5848	0.0175	363.3879	
demographic.popSize26	701.2048	1087.7751	361.1815	8.637E-4	2474.4825	1394.1842	0.0408	361.1866	
demographic.popSize27	696.3162	1072.7542	359.6201	5.4114E-3	2506.9629	1504.194	5.4114E-3	359.6201	
demographic.popSize28	701.4697	1139.6205	362.5179	3.3551E-3	2409.0164	1520.7138	0.0169	362.5179	
demographic.popSize29	708.6572	1183.0476	364.3086	3.4626E-3	2493.948	1462.5	0.0249	364.3154	
demographic.popSize30	697.9503	1062.9616	363.2814	0.0244	2551.0916	1509.3196	0.0104	363.2814	
demographic.popSize31	702.4548	1065.6723	363.7321	0.0126	2489.7743	1397.9401	0.0337	363.7428	
demographic.popSize32	683.1808	1067.8513	351.4533	0.0163	2357.2426	1666.5517	0.0163	351.4533	
demographic.popSize33	695.7964	1048.6661	367.9469	0.0875	2429.517	1577.0409	0.1274	367.9851	
demographic.popSize34	724.4664	1142.2706	369.4792	0.0159	2696.752	1387.6324	0.0387	369.4827	
demographic.popSize35	711.8414	1063.7031	375.4653	0.2416	2555.1103	1449.7082	0.018	375.4653	
demographic.popSize36	713.376	1121.3807	363.6684	2.1472E-3	2523.0641	1468.3585	4.5885E-3	363.6684	
demographic.popSize37	694.675	1041.6099	370.63	1.0642E-3	2405.2917	1581.0424	1.0642E-3	370.63	
demographic.popSize38	723.3206	1083.402	379.9803	0.0144	2522.3694	1402.5939	0.0184	379.9803	
demographic.popSize39	712.2727	1045.1006	367.0804	0.0537	2557.2263	1386.6634	0.0814	367.0922	
demographic.popSize40	707.4851	1110.1387	364.9448	0.2237	2400.8747	1558.4507	0.2237	365.0579	
demographic.popSize41	755.5471	1109.4889	396.7028	0.166	2579.0488	1399.1251	0.1039	396.7857	
demographic.popSize42	722.4748	1088.2637	378.4399	0.0191	2516.5662	1486.9958	0.0986	378.5014	
demographic.popSize43	706.0435	1076.5967	368.2485	0.0184	2421.3849	1424.2779	0.0184	368.2485	
demographic.popSize44	699.168	1047.5919	373.6329	9.6746E-3	2390.1133	1430.1462	9.6746E-3	373.6329	
demographic.popSize45	714.825	1049.7907	374.5662	0.2361	2506.7457	1425.2733	0.2333	374.7464	
demographic.popSize46	715.9315	1093.5977	372.1302	0.059	2461.2836	1517.7981	0.0109	372.1302	
demographic.popSize47	717.5074	1056.9636	380.1683	8.636E-3	2438.1535	1506.1614	8.636E-3	380.1683	
demographic.popSize48	730.2272	1152.9616	375.6926	6.4844E-3	2468.3153	1428.581	6.4844E-3	375.6926	
demographic.popSize49	703.6591	1092.032	370.6961	5.1201E-3	2410.7034	1635.8201	0.0939	370.7178	
demographic.popSize50	724.8367	1134.3874	370.4201	0.1268	2458.3929	1486.0696	0.1268	370.4618	
demographic.popSize51	728.8516	1118.5879	379.818	0.0661	2558.7718	1440.1872	0.0436	379.818	
demographic.popSize52	718.4202	1127.7166	368.494	0.0135	2426.3013	1404.0074	1.2172E-3	368.494	
demographic.popSize53	741.5495	1184.7456	388.1816	0.1402	2467.794	1488.1127	0.0138	388.1816	
demographic.popSize54	707.7382	1051.6448	364.2472	0.0227	2339.6646	1552.8395	0.0293	364.2472	
demographic.popSize55	712.4549	1045.614	372.9845	0.0124	2384.0262	1459.6525	0.0124	372.9845	
demographic.popSize56	690.917	1052.0369	364.1793	0.022	2399.0105	1641.5438	1.805E-4	364.1793	
demographic.popSize57	696.1264	1079.2075	361.8357	0.0156	2395.6339	1522.8449	0.0354	361.855	
demographic.popSize58	709.4717	1074.7775	372.3094	0.091	2352.0002	1522.8847	0.5048	372.663	
demographic.popSize59	693.5058	1019.3355	370.0814	0.0276	2338.3023	1603.6828	0.0276	370.0814	
demographic.popSize60	682.8004	1089.7725	358.4963	0.0546	2341.9944	1590.9437	0.0546	358.4963	
demographic.popSize61	699.0418	1059.7179	373.9041	0.0115	2386.0347	1596.6222	0.0324	373.9041	
demographic.popSize62	703.2822	1091.0101	373.0234	0.0163	2342.8468	1529.0366	0.1421	373.1157	
demographic.popSize63	694.6176	1033.2829	369.5568	3.9268E-3	2353.7073	1691.6394	3.9268E-3	369.5568	
demographic.popSize64	687.0785	1013.7148	367.3328	0.0274	2326.2872	1670.0165	0.1067	367.355	
demographic.popSize65	696.3373	1023.5333	376.0112	0.0103	2352.4521	1600.4793	0.0103	376.0112	
demographic.popSize66	673.0562	1027.9958	362.5888	2.9054E-3	2283.8559	1680.2857	2.9054E-3	362.5888	
demographic.popSize67	676.8011	1052.7289	353.4256	0.0101	2363.2001	1529.2988	0.0101	353.4256	
demographic.popSize68	686.201	1051.8899	360.9992	0.0256	2351.743	1683.602	0.0256	360.9992	
demographic.popSize69	696.7927	1066.0673	365.4826	0.0288	2402.4697	1596.3264	0.0302	365.4954	
demographic.popSize70	683.0992	1071.5312	360.0942	0.0698	2374.7901	1616.2287	0.0564	360.1011	
demographic.popSize71	685.4406	1105.5038	361.1059	5.3226E-3	2383.1478	1669.5728	0.0549	361.1297	
demographic.popSize72	691.681	1100.0175	358.8882	0.0293	2403.4672	1623.0362	0.0293	358.9077	
demographic.popSize73	675.8066	1096.1528	352.3973	0.0138	2339.8575	1693.5135	6.5352E-3	352.3973	
demographic.popSize74	683.4311	1156.9338	357.0339	2.3135E-3	2347.37	1725.7771	2.3135E-3	357.0339	
demographic.popSize75	675.6798	1062.0324	354.6615	6.3152E-3	2325.2178	1539.0471	0.0698	354.6615	
demographic.popSize76	678.2885	1123.3048	341.4937	0.0215	2374.2504	1618.0316	0.0164	341.4937	
demographic.popSize77	678.3955	1040.9668	355.4201	0.0615	2365.8555	1580.2504	0.0652	355.4201	
demographic.popSize78	679.3246	1047.1448	364.98	0.0323	2327.5245	1565.4702	0.0201	364.98	
demographic.popSize79	679.894	1084.2292	351.8553	2.4291E-3	2362.3651	1479.3253	2.4291E-3	351.8553	
demographic.popSize80	689.4221	1118.9587	359.4851	1.8448E-3	2371.8378	1577.7074	0.0581	359.4979	
demographic.popSize81	683.0485	1068.9681	358.1685	0.0232	2401.3663	1490.4864	0.0111	358.1685	
demographic.popSize82	693.9562	1139.4072	362.2441	0.0122	2410.4324	1589.122	0.1317	362.2531	
demographic.popSize83	658.748	1068.292	339.7603	0.0579	2286.1389	1536.2754	0.0226	339.7603	
demographic.popSize84	682.591	1073.2972	349.338	1.6926E-3	2415.8759	1605.5027	1.6926E-3	349.338	
demographic.popSize85	677.4357	1060.0824	355.9221	0.015	2316.4243	1595.787	0.015	355.9221	
demographic.popSize86	667.8586	1005.5213	348.0261	0.0681	2285.8861	1684.8831	0.0219	348.0261	
demographic.popSize87	684.2881	1134.3017	343.4665	8.718E-3	2395.0916	1516.1034	7.3232E-3	343.4665	
demographic.popSize88	671.561	1066.4754	348.154	4.2249E-3	2349.6274	1833.9455	4.2249E-3	348.154	
demographic.popSize89	600.8082	1001.2504	297.1009	5.0622E-3	2163.9845	1387.3893	4.9405E-4	297.1009	
demographic.popSize90	663.773	1094.8556	337.7232	0.015	2324.2208	1506.045	0.0714	337.7393	
demographic.popSize91	667.5257	1069.1238	339.5717	4.7595E-3	2354.3488	1444.7258	0.0926	339.6156	
demographic.popSize92	671.6873	1050.5271	348.4206	0.027	2359.1141	1572.5988	0.027	348.4206	
demographic.popSize93	681.7003	1112.4442	352.7688	0.0153	2388.9465	1605.6182	0.0153	352.7688	
demographic.popSize94	669.1546	1066.7311	335.9722	4.8385E-3	2390.7307	1605.4102	4.8385E-3	335.9722	
demographic.popSize95	674.1304	1048.4153	351.7761	3.3221E-3	2331.5506	1503.0446	3.3221E-3	351.7761	
demographic.popSize96	671.8096	1020.3563	349.6899	0.0352	2349.3049	1633.2414	0.0352	349.6899	
demographic.popSize97	685.6698	1075.3798	356.5806	8.338E-4	2379.8197	1454.6401	8.338E-4	356.5806	
