burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15382.025	150.5037	-15377.1323	-15670.6007	-15091.329	461.3817	-15459.3353	-15258.2733	
prior	-7616.2984	150.9139	-7612.0938	-7904.7424	-7321.8218	456.9374	-7703.3143	-7499.7999	
likelihood	-7765.7266	18.2513	-7765.3503	-7801.9605	-7730.2836	1312.6094	-7776.6835	-7752.2329	
treeModel.rootHeight	93.0135	28.532	86.7334	50.7858	151.1007	489.646	64.1399	93.5555	
age(root)	1929.9865	28.532	1936.2666	1871.8993	1972.2142	489.646	1929.4445	1958.8601	
treeLength	3262.1372	667.7602	3124.3221	2204.856	4654.3676	399.3133	2456.8147	3259.1128	
tmrca(ingroup)	93.0135	28.532	86.7334	50.7858	151.1007	489.646	64.1399	93.5555	
age(ingroup)	1929.9865	28.532	1936.2666	1871.8993	1972.2142	489.646	1929.4445	1958.8601	
demographic.populationSizeChanges	3.4069	0.6135	3	3	5	990.6923	3	3	
demographic.populationMean	872.8134	794.5906	650.0619	82.882	2235.3376	497.1184	221.8278	708.8654	
demographic.popSize1	536.8031	429.3479	520.8062	1.626	1242.9353	476.9605	4.478	521.1687	
demographic.popSize2	875.1259	1403.7042	442.3473	0.0113	3111.3944	1511.1282	0.0113	442.3473	
demographic.popSize3	877.5038	1421.4636	431.1339	0.0235	3141.2373	1422.51	0.0235	431.1339	
demographic.popSize4	889.3203	1470.5286	444.5745	0.0121	3163.9975	1380.1512	0.0121	444.5745	
demographic.popSize5	877.1174	1468.1438	434.9849	0.0755	3101.2855	1382.1854	0.0755	434.9849	
demographic.popSize6	877.8954	1433.4681	433.1693	0.0191	3114.8248	1564.1768	0.0467	433.1693	
demographic.popSize7	858.895	1355.0298	433.7381	2.4716E-3	3013.4292	1503.1836	5.9346E-3	433.7381	
demographic.popSize8	870.9625	1458.566	440.6366	0.0893	3057.522	1526.5898	0.0171	440.6366	
demographic.popSize9	880.1889	1485.7816	440.1518	0.0206	3124.5424	1485.3477	0.0463	440.1576	
demographic.popSize10	699.0238	1199.2298	324.4077	0.082	2662.3432	1351.4882	0.0385	324.4185	
demographic.popSize11	843.0513	1397.7089	408.7976	3.7501E-3	3039.3917	1472.9122	0.0271	408.7976	
demographic.popSize12	880.428	1456.8657	434.0732	0.2688	3147.6522	1359.3654	3.5109E-4	434.0732	
demographic.popSize13	873.5485	1394.9536	437.2798	1.1075E-3	3137.98	1459.834	1.1075E-3	437.2798	
demographic.popSize14	859.7362	1372.4695	423.3692	0.0122	3080.7335	1514.4407	0.0183	423.3692	
demographic.popSize15	873.9627	1412.12	430.0273	3.7629E-3	3136.7714	1412.663	0.3113	430.2357	
demographic.popSize16	397.9116	1102.4581	0.0234	8.8323E-3	1895.3163	984.083	0.0199	0.0234	
demographic.popSize17	841.9994	1414.1504	413.9281	1.3116E-3	2976.244	1463.887	1.3116E-3	413.9281	
demographic.popSize18	803.4389	1392.414	367.0659	0.073	2999.496	1281.9954	0.3256	367.1806	
demographic.popSize19	851.4849	1370.3599	417.6988	0.1307	3117.8561	1423.988	0.116	417.717	
demographic.popSize20	865.1827	1443.2068	433.289	0.0153	3047.7333	1395.4406	0.0609	433.2958	
demographic.popSize21	872.9536	1527.4821	418.18	0.079	3184.6724	1383.6538	0.1221	418.1935	
demographic.popSize22	882.9349	1382.4857	439.6169	0.029	3189.6651	1382.3518	0.032	439.6169	
demographic.popSize23	891.4347	1397.315	440.1466	0.0889	3162.8688	1393.7247	0.2752	440.3232	
demographic.popSize24	905.703	1507.5078	445.3751	2.7125E-3	3184.9852	1515.9702	0.0123	445.3751	
demographic.popSize25	896.7954	1367.0113	452.7903	0.0842	3262.0382	1344.7478	0.3465	452.893	
demographic.popSize26	899.6054	1423.3472	456.9948	1.7995E-3	3167.0644	1417.3203	1.7995E-3	456.9948	
demographic.popSize27	902.7051	1358.5815	465.1828	0.4703	3101.7664	1419.6229	0.0956	465.242	
demographic.popSize28	873.6634	1382.3993	442.9755	9.3499E-3	3041.3797	1476.6315	1.0108E-3	442.9755	
demographic.popSize29	944.407	1494.3838	475.9877	0.0449	3446.938	1229.1935	0.0228	475.9877	
demographic.popSize30	921.454	1438.4231	466.571	2.3773E-3	3210.101	1291.9613	0.0752	466.6008	
demographic.popSize31	923.2698	1490.7789	455.7419	0.3045	3274.0847	1246.9371	0.0205	455.7419	
demographic.popSize32	901.745	1401.0955	457.0386	7.2623E-4	3121.7359	1468.7499	7.2623E-4	457.0386	
demographic.popSize33	925.2331	1425.0624	482.1024	0.0266	3126.518	1406.775	0.029	482.1024	
demographic.popSize34	958.7182	1431.9698	478.6496	0.0168	3444.8672	1274.4877	0.0159	478.6496	
demographic.popSize35	906.3558	1438.6248	453.2503	7.0318E-3	3271.5268	1367.165	7.0318E-3	453.2503	
demographic.popSize36	907.6453	1466.0754	458.3522	0.022	3170.0301	1389.7906	0.022	458.3522	
demographic.popSize37	933.0785	1444.8136	466.8251	0.0758	3300.9557	1314.8148	0.0758	466.8251	
demographic.popSize38	949.9806	1476.8508	486.3284	3.1456E-3	3260.9725	1463.547	9.1904E-3	486.3284	
demographic.popSize39	892.0031	1393.8754	440.2175	0.0361	3193.6797	1427.6049	0.1528	440.3296	
demographic.popSize40	905.2755	1483.0955	457.345	0.0537	3213.2509	1365.8261	0.0358	457.345	
demographic.popSize41	910.4789	1394.028	451.5813	8.9193E-5	3377.3575	1242.6856	8.9193E-5	451.5813	
demographic.popSize42	907.1595	1376.4115	462.4358	0.3211	3103.7597	1405.4961	0.2657	462.6197	
demographic.popSize43	904.9639	1386.7756	451.8715	4.5559E-4	3169.4813	1269.1144	4.5559E-4	451.8715	
demographic.popSize44	898.4366	1515.2402	444.9794	0.0126	3182.8495	1415.329	0.0455	444.9794	
demographic.popSize45	903.3046	1447.6508	458.1924	7.9896E-3	3175.5945	1567.2812	7.9896E-3	458.1924	
demographic.popSize46	902.3273	1405.8121	451.9985	0.0194	3284.3854	1481.7843	0.0535	451.9985	
demographic.popSize47	905.3572	1517.1694	449.8414	0.026	3080.8117	1417.1502	0.026	449.8414	
demographic.popSize48	913.9812	1445.9909	454.1025	0.0403	3270.3395	1406.4229	0.0234	454.1025	
demographic.popSize49	900.9515	1503.5521	447.7185	7.9688E-3	3141.1257	1544.7979	0.0199	447.7185	
demographic.popSize50	886.6542	1423.0675	446.5499	0.0241	3177.2552	1480.0968	0.1404	446.6515	
demographic.popSize51	892.9254	1418.9421	453.7675	0.0434	3086.8307	1496.5307	0.0434	453.7846	
demographic.popSize52	877.9227	1417.2546	440.8934	0.0277	3117.085	1480.0916	0.0108	440.8934	
demographic.popSize53	878.5154	1381.2617	444.3349	0.0216	3067.3741	1441.5135	0.0216	444.3349	
demographic.popSize54	893.4937	1396.3468	442.7203	0.6182	3133.9609	1418.2326	4.1405E-3	442.7203	
demographic.popSize55	883.7191	1386.1175	449.6105	0.0179	3103.3413	1489.4798	0.0384	449.6105	
demographic.popSize56	902.4994	1420.7793	450.564	0.0114	3117.029	1394.0327	0.0114	450.564	
demographic.popSize57	887.527	1389.8148	457.6563	7.6898E-3	3093.5529	1520.3302	7.6898E-3	457.6563	
