accession,strain
MK336676,13
MK336677,14
MK336678,15
MK336679,16
MK336680,17
MK336681,18
MK336682,19
MK336683,20
MK336684,21
MK336685,22
MK336686,23
MK336687,24
MK336688,25
MK336689,26
MK336690,27
MK336691,28
MK336692,29
MK336693,30
MK336694,31
MK336695,32
MK336696,33
MK336697,34
MK336698,35
MK336699,36
MK336700,37
MK336701,38
MK336702,39
MK336703,40
MK336704,41
MK336705,42
MK336706,43
MK336707,44
MK336708,45
MK336709,46
MK336710,47
MK336711,48
MK336712,49
MK336713,50
MK517535,AG2-1
MK583626,AG1-IB
MK583627,AG1-IB
MK583628,AG1-IB
MK583629,AG1-IB
MK583630,AG-BI
MK583631,AG-BI
MK583632,AG-BI
MK583633,AG-BI
MK583634,AG-BI
MK583635,AG4-HGI
MK583636,AG4-HGI
MK583637,AG4-HGI
MK583638,AG-BI
MK583639,AG1-IB
MK583640,AG-BI
MK583641,AG-BI
MK583642,AG-BI
MK583643,AG1-IB
MK583644,AG1-IB
MK583645,AG1-IB
MK583646,AG4-HGI
MK583647,AG4-HGI
MK583648,AG2-1
MK583649,AG2-1
MK583650,AG2-1
MK583651,AG2-1
MH675546,GY001
MK734392,ROB3A3_AG-1 IA
MK734393,ROB1A5_AG-1 IA
MK734394,BHM4_C31 _AG-1 IA
MK734395,BHM4_A13 _AG-1 IA
MK734396,BHM3_B29_AG-1 IA
MK734397,BHM3_B19_AG-1 IA
MK734398,BHM3_B18_AG-1 IA
MK734399,ROB2B5_AG-1 IA
MK734400,RRV2C5-1_AG-1 ID
MK734401,RRV2D1-1_AG-1 ID
MK734402,BEL_59_AG-1 ID
MK734403,BEL_60_AG-1 ID
MK734404,RRV2D6-1_AG-1 ID
MK734405,BEL_71_AG-1 ID
MK734406,MTS_110_AG-1 IE
MK734407,SJ_129_AG-1 IE
MK734408,MA_190_AG-1 IE
MK734409,MA_173_AG-1 IE
MK734410,MA_171_AG-1 IE
MK734411,RRS1D7-1_AG-1 IF
MK734412,RRV2A6-2_AG-1 IF
MK734413,RRV2A5-1_AG-1 IF
MK734414,RRV2A4-2_AG-1 IF
MK734415,RRV2A2-1_AG-1 IF
MK734416,RRV2A1-1_AG-1 IF
MK734417,RRS1D1-1_AG-1 IF
MK734418,RRS1C8-2_AG-1 IF
MK749437,ROB3A3_AG-1 IA
MK749438,ROB1A5_AG-1 IA
MK749439,BHM4_C31_AG-1 IA
MK749440,BHM4_A13_AG-1 IA
MK749441,BHM3_B29_AG-1 IA
MK749442,BHM3_B19_AG-1 IA
MK749443,BHM3_B18_AG-1 IA
MK749444,ROB2B5_AG-1 IA
MN160664,W1624
MN160665,W1885
MN160666,W1886
MN160669,C1904
MN160670,C1905
MN160671,S1912
MN160672,S1913
MN160673,G1918
MN160674,G1919
MN160675,G1921
MN160676,G1922
MN160677,G1923
MN160678,G1924
MN160679,G1925
MN160680,G1926
MN160681,G1927
MN160682,G1928
MN160683,G1929
MN160684,G1930
MN160685,G1931
MN160689,C1952
MN160690,C1953
MN160691,C1955
MN160692,C2004
MN160693,C2007
MN160694,C2008
MN160695,C2010
MN160696,C2012
MN160697,S2023
MN160698,S2050
MN160699,C2143
MN160700,C2144
MN160701,C2146
MN160702,C2148
MN160704,S2172
MN160705,S2222
MN160706,C2352
MN160707,S2357
MN265839,R. solani AG-5
MN265840,R. solani AG-5
MN265844,R solani AG 2-1
MN265836,R. solani AG-4 HG-I
MN265837,R. solani AG-4 HG-I
MN265838,R. solani AG-4 HG-I
MN265845,R solani AG 2-1
MN265846,R solani AG 2-1
MN265849,R solani AG 2-1
MN265850,R solani AG 2-1
MN265851,R solani AG 2-1
MN265852,R solani AG 2-1
MN265853,R solani AG 2-1
MT385836,AG2-2IIIB
MT406271,AG2-2IIIB
MT523021,AG-3
MT672318,AG 2-2
MT679722,AG-2-2IIIB
MT815908,20/05
MW369685,20/52
MZ274468,ESCJZ9
MZ274469,ESCJZ10
MZ373271,RH230
MZ831296,p2-2
MZ831297,p6215
MZ831298,p2-3
MZ831299,p2-5
MZ836267,3T-1
MZ836268,3T-3
MZ836269,3T-4
MZ836270,3T-6
MZ836271,3T-5
MZ836272,BS-5
MZ836273,DB-5
MZ836274,MJ-25
MZ836275,MJ-102
MZ836276,3T-2
MZ836277,MJ-17
MZ836278,MJ-71
MZ836279,MJ-103
MZ836280,MJ1
MZ836281,MJ-94
MZ836282,MJ-13
MZ836283,MJ-16
MZ836284,LC-6
MZ836285,BS-4
MZ836286,MJ-42
MZ854089,I8AF
OM095383,R1
OM095384,R2
OM095385,R3
OM095386,R4
OM095387,R5
OM095388,R6
ON427945,RS4
OQ410434,RS1-AG-4
OQ410435,RS4-AG-4
OQ410436,RS5-AG-2-1
