accession,strain
FJ492078,AG-4 HG-II
FJ492079,AG-4 HG-I
FJ492080,AG-4 HG-II
FJ492081,AG-2-2 IIIB
FJ492082,AG-4 HG-II
FJ492084,AG-4 HG-II
FJ492085,AG-4 HG-II
FJ492086,AG-4 HG-II
FJ492088,AG-4 HG-II
FJ492090,AG-4 HG-I
FJ492091,AG-4 HG-I
FJ492092,AG-4 HG-II
FJ492094,AG-4 HG-II
FJ492096,AG-4 HG-I
FJ492111,AG-4 HG-II
FJ492112,AG-2-2 IIIB
FJ492114,AG-2-2 IIIB
FJ492115,AG-4 HG-II
FJ492116,AG-4 HG-II
FJ492117,AG-4 HG-II
FJ492118,AG-4 HG-II
FJ492119,AG-4 HG-II
FJ492120,AG-4 HG-II
FJ492121,AG-2-2 IIIB
FJ492125,AG-4 HG-II
FJ492127,AG-2-2 IIIB
FJ492128,AG-2-2 IIIB
FJ492129,AG-4 HG-II
FJ492130,AG-4 HG-II
FJ492132,AG-4 HG-II
FJ492134,AG-4 HG-II
FJ492135,AG-4 HG-II
FJ492140,AG-2-2 IIIB
FJ492143,AG-2-2 IIIB
FJ492147,AG-2-2 IIIB
FJ492149,AG-2-2 IIIB
FJ492159,AG-2-2 IIIB
FJ435094,CSL1833; CBS 363.82; BBA 63010; AG-3
FJ435095,CSL1936; ATCC 76167; 03RUU; AG-3
FJ492075,AG-2-2 IIIB
FJ492083,AG-2-2 IV
FJ492087,AG-4 HG-II
FJ492089,AG-2-2 IIIB
FJ492093,AG-4 HG-II
FJ492095,AG-2-2 IIIB
FJ492113,AG-2-2 IIIB
FJ492122,AG-2-2 IIIB
FJ492123,AG-2-2 IIIB
FJ492124,AG-2-2 IIIB
FJ492131,AG-2-2 IIIB
FJ492133,AG-2-2 IIIB
FJ492136,AG-2-2 IIIB
FJ492137,AG-2-2 IIIB
FJ492138,AG-2-2 IIIB
FJ492139,AG-2-2 IIIB
FJ492141,AG-2-2 IIIB
FJ492142,AG-2-2 IIIB
FJ492144,AG-2-2 IIIB
FJ492145,AG-2-2 IIIB
FJ492146,AG-2-2 IIIB
FJ492148,AG-2-2 IIIB
FJ492150,AG-2-2 IIIB
FJ492151,AG-2-2 IIIB
FJ492152,AG-2-2 IIIB
FJ492153,AG-2-2 IIIB
FJ492154,AG-2-2 IIIB
FJ492155,AG-2-2 IIIB
FJ492156,AG-2-2 IIIB
FJ492157,AG-2-2 IIIB
FJ492160,AG-2-2 IIIB
FJ492161,AG-2-2 IIIB
FJ492162,AG-2-2 IIIB
FJ492163,AG-2-2 IIIB
FJ492164,AG-2-2 IIIB
FJ492165,AG-2-2 IIIB
GU585667,AG1-IB
GU596490,AG1-IB
GU596491,AG1-IB
GU596492,AG 2-1
GU596493,AG 2-1
GU811660,AG-2-2 IIIB
GU811661,AG-2-2 IIIB
GU811662,AG-2-2 IIIB
GU811663,AG-2-2 IIIB
GU811664,AG-2-2 IIIB
GU811665,AG-2-2 IIIB
GU811666,AG-2-2 IIIB
GU811667,AG-2-2 IIIB
GU811668,AG-2-2 IIIB
GU811669,AG-2-2 IIIB
GU811670,AG-2-2 IIIB
GU811671,AG-2-2 IIIB
GU811672,AG-2-2 IIIB
GU811673,AG-2-2 IIIB
GU811674,AG-2-2 IIIB
GU811675,AG-2-2 IIIB
GU811676,AG-2-2 IIIB
GU811677,AG-2-2 IIIB
GU811678,AG-2-2 IIIB
GU811679,AG-2-2 IIIB
GU811680,AG-2-2 IIIB
GU811681,AG-2-2 IIIB
GU811682,AG-2-2 IIIB
GU811683,AG-2-2 IIIB
GU811684,AG-2-2 IIIB
GU811685,AG-2-2 IIIB
GU811686,AG-2-2 IIIB
GU811687,AG-2-2 IIIB
GU811688,AG-2-2 IIIB
GU811689,AG-2-2 IIIB
JF817348,CanS-83
JF817349,CanS-84
HQ898669,MIAE00269
HQ898670,MIAE00231
HQ898671,MIAE00208
HQ898672,MIAE00262
HQ898673,MIAE00263
HQ898674,MIAE00264
HQ898675,MIAE00265
HQ898676,MIAE00266
HQ898677,MIAE00357
HQ898678,MIAE00189
HQ898679,MIAE00350
HQ898680,MIAE00072
HQ898681,MIAE00267
HQ898682,MIAE00268
HQ898683,MIAE00150
HQ898684,MIAE00152
HQ898685,MIAE00219
HQ898686,MIAE00270
HQ898687,MIAE00271
HQ898688,MIAE00006
HQ898689,MIAE00082
HQ898690,MIAE00083
HQ898691,MIAE00087
HQ898692,MIAE00090
HQ898693,MIAE00092
HQ898694,MIAE00093
HQ898695,MIAE00164
HQ898696,MIAE00165
HQ898697,MIAE00170
HQ898698,MIAE00176
HQ898699,MIAE00179
HQ898700,MIAE00185
HQ898701,MIAE00222
HQ898702,MIAE00224
HQ898703,MIAE00225
HQ898704,MIAE00226
HQ898705,MIAE00227
HQ898706,MIAE00228
HQ898707,MIAE00229
HQ898708,MIAE00232
HQ898709,MIAE00233
HQ898710,MIAE00235
HQ898711,MIAE00236
HQ898712,MIAE00237
HQ898713,MIAE00238
HQ898714,MIAE00239
HQ898715,MIAE00240
HQ898716,MIAE00241
HQ898717,MIAE00242
HQ898718,MIAE00243
HQ898719,MIAE00248
HQ898720,MIAE00249
HQ898721,MIAE00250
HQ898722,MIAE00251
HQ898723,MIAE00252
HQ898724,MIAE00253
HQ898725,MIAE00272
HQ898726,MIAE00273
HQ898727,MIAE00274
HQ898728,MIAE00275
HQ898729,MIAE00276
HQ898730,MIAE00277
HQ898731,MIAE00255
HQ898732,MIAE00256
HQ898733,MIAE00257
HQ898734,MIAE00258
HQ898735,MIAE00259
HQ898736,MIAE00260
HQ898737,MIAE00261
HQ898738,MIAE00280
HQ898739,MIAE00281
HQ898740,MIAE00356
HQ898741,MIAE00359
HQ898742,MIAE00352
HQ898743,MIAE00351
HQ898744,MIAE00217
HQ898745,MIAE00284
HQ898746,MIAE00374
HQ898747,MIAE00354
HQ898748,MIAE00355
HQ898749,MIAE00361
HQ898750,MIAE00362
HQ898751,MIAE00363
HQ898752,MIAE00364
HQ898753,MIAE00366
HQ898754,MIAE00367
HQ898755,MIAE00368
HQ898756,MIAE00369
HQ898757,MIAE00370
HQ898758,MIAE00371
HQ898759,MIAE00372
HQ898760,MIAE00373
HQ898761,MIAE00353
HQ898762,MIAE00360
HQ898763,MIAE00159
HQ898764,MIAE00213
HQ898765,MIAE00221
HQ898766,MIAE00278
HQ898767,MIAE00279
