accession,host
KT583242,Jun-2011
KT583243,Jun-2011
KT583244,Dec-2010
KT583245,Dec-2010
KT583246,Dec-2010
KT583247,Dec-2010
KT583248,Dec-2010
KT583249,Dec-2010
KT583250,Dec-2010
KT583251,Dec-2010
KT583252,Apr-2011
KT583253,Apr-2011
KT583254,Apr-2011
KT583255,Apr-2011
KT583256,Dec-2010
KT583257,Apr-2011
KT583258,Dec-2010
KT583259,May-2010
KT583260,May-2010
KT583261,May-2010
KT583262,May-2010
KT583263,May-2010
KT583264,May-2010
KT583265,May-2010
KT583266,May-2010
KT583267,May-2010
KT583268,Nov-2011
KT583269,Nov-2011
KT583270,Nov-2011
KT583271,Nov-2011
KT583272,Nov-2011
KT583273,Nov-2011
KT583274,Nov-2011
KT583275,Nov-2011
KT583276,Nov-2011
KT583277,Nov-2011
KT583278,Dec-2010
KT583279,Dec-2010
KT583280,Dec-2010
KT583281,Dec-2010
KT583282,Dec-2010
KT583283,Dec-2010
KT583284,Dec-2010
KT583285,Jun-2011
KT583286,Jun-2011
KT583287,Jun-2011
KT583288,Jun-2011
KT583289,Jun-2011
KT583290,Jun-2011
KT583291,Jun-2011
KT783526,Mar-2013
KT268504,04-May-2013
KT268768,04-May-2013
KT269425,08-May-2013
KT269974,06-Jun-2013
KT286731,2014
KT286732,2014
KU360630,06-Sep-2013
KU863546,10-May-2011
KU216129,2015
KX130695,2012
KX130696,2012
KX130697,2012
KX130698,2010
KX130699,2010
KX130700,2010
KX130701,2010
KX130702,2010
KX130703,2011
KX130704,2011
KX130705,2012
KX130706,2012
KX130707,2010
KX130708,2011
KX130709,2010
KX130710,2010
KX130711,2010
KX130712,2010
KX130713,2012
KX130714,2012
KX130715,2012
KX130716,2010
KX130718,2010
KX130719,2010
KX130720,2010
KX130721,2010
KX130722,2010
KX130723,2010
KX130724,2010
KX130725,2011
KX397678,08-Jan-2016
MF193914,2012
MF193915,2012
MF193916,2012
MF193917,2012
MF193918,2012
MF193919,2012
MF193920,2012
MF193921,2012
MF193922,2012
MF193923,2012
MF193924,2012
MF193925,2012
MF193926,2012
MF193927,2012
MF193928,2013
MF193929,2013
MF193930,2013
MF193931,2013
MF193932,2013
MF193933,2013
MF193934,2013
MF193935,2013
MF193936,2013
MF193937,2013
MF193938,2013
MF193939,2013
MF193940,2013
MF193941,2013
MF193942,2013
MF193943,2013
MF193944,2013
MF193945,2013
MF193946,2013
MF193947,2013
MF193948,2013
MF193949,2013
MF193950,2013
MF193951,2013
MF193952,2013
MF193953,2013
MF193954,2013
MF193955,2013
MF193956,2013
MF193957,2013
MF193958,2013
MF193959,2013
MF193960,2013
MF193961,2013
MF193962,2013
MF193963,2013
MF193964,2013
MF193965,2013
MF193966,2013
MF193967,2013
MF193968,2013
MF193969,2013
MF193970,2013
MF193971,2013
MF193972,2013
MF193973,2013
MF193974,2013
MF193975,2013
MF193976,2013
MF193977,2013
MF193978,2013
MF193979,2013
MF193980,2013
MF193981,2013
MF193982,2013
MF193983,2013
MF193984,2013
MF193985,2013
MF193986,2013
MF193987,2013
MF193988,2013
MF193989,2013
MF193990,2013
MF193991,2013
MF193992,2013
MF193993,2013
MF193994,2013
MF193995,2013
MF193996,2013
MF193997,2013
MF193998,2013
MF193999,2013
MF194000,2013
MF194001,2013
MF194002,2013
MF194003,2013
MF194004,2013
MF194005,2013
MF194006,2013
MF194007,2013
MF194008,2013
MF194009,2013
MF194010,2013
MF194011,2013
MF194012,2013
MF194013,2013
MF194014,2013
MF194015,2013
MF194016,2013
KX810067,2006
KX810068,2006
MF972486,Apr-2016
MF138105,2014
KY351637,21-Sep-2012
KY964496,02-Dec-2016
KY964497,02-Dec-2016
KY964498,02-Dec-2016
KY964499,02-Dec-2016
MF447834,23-Aug-2016
MG589761,2017
MF085062,2016
MF085063,2016
MF085064,2016
MF085065,2014
MF085066,2014
MF085067,2014
MF085068,2014
MF085069,2013
MF085070,2014
MF093753,15-Jun-2012
MG264304,22-Aug-2013
MG264305,14-Jun-2014
MG264306,12-May-2014
MG264307,12-Jun-2014
MG264308,24-Jun-2014
MG264309,07-Jul-2014
MG264310,07-Jul-2014
MG264311,06-Aug-2014
MG264312,29-Jul-2013
MG264313,02-Oct-2016
MG264314,29-Jul-2013
MG264315,29-Jul-2013
MG264316,29-Jul-2013
MF804911,Apr-2013
MG923316,16-Mar-2016
MK123309,2015
MK517535,Jun-2018
MK571891,2017
MK571902,2017
MK571909,2017
MK571910,2017
MK571911,2017
MK571915,2017
MK571932,2017
MK571937,2017
MK571939,2017
MK571940,2017
MK571942,2017
MK571943,2017
MK571946,2017
MK571957,2017
MK571958,2017
MK571961,2017
MK571966,2017
MK571970,2017
MK571975,2017
MK571977,2017
MK571978,2017
MK571979,2017
MK571991,2017
MK571993,2017
MK571995,2017
MK583626,Apr-2016
MK583627,Apr-2016
MK583628,Apr-2016
MK583629,Apr-2016
MK583630,Mar-2016
MK583631,Mar-2016
MK583632,Mar-2016
MK583633,Mar-2016
MK583634,Mar-2016
MK583635,Jul-2016
MK583636,Sep-2016
MK583637,Oct-2016
MK583638,Dec-2016
MK583639,Feb-2017
MK583640,Feb-2017
MK583641,Feb-2017
MK583642,Mar-2017
MK583643,Mar-2017
MK583644,Apr-2017
MK583645,Apr-2017
MK583646,Apr-2017
MK583647,May-2016
MK583648,May-2016
MK583649,May-2016
MK583650,May-2016
MK583651,Nov-2017
MK788126,05-Jun-2017
MN053033,Jun-2018
MN053034,May-2018
MN202752,2016
MN258586,Apr-2018
MN258591,Apr-2018
MN258592,Apr-2018
MN258593,Apr-2018
MN258594,Apr-2018
MN258595,Apr-2018
MN258596,Apr-2018
MN258597,Apr-2018
MN258598,Apr-2018
MN258599,Apr-2018
MN258600,Apr-2018
MN258601,Apr-2018
MN258602,Apr-2018
MN258603,Apr-2018
MN258604,Apr-2018
MN258605,Apr-2018
MN258606,Apr-2018
MN258607,Apr-2018
MN258608,Apr-2018
MN258609,Apr-2018
MN258610,Apr-2018
MN271684,2017
MN271685,2017
MN271686,2017
MN271687,2017
MN421911,07-Feb-2005
MN421912,07-Feb-2005
MN421913,07-Feb-2005
MN421914,07-Feb-2005
MN421915,07-Feb-2005
MN421916,07-Feb-2005
MN421917,07-Feb-2005
MN421918,07-Feb-2005
MN421919,07-Feb-2005
MN421920,07-Feb-2005
MN451919,2013
MN452161,2013
MN452178,2012
MN452758,2013
MN472867,2018
MN472868,2018
MN472869,2018
MN472877,2018
MN472878,2018
MN472879,2018
MN472880,2018
MN472881,2018
MN472882,2018
MN472883,2018
MN472884,2018
MN472885,2018
MN472886,2018
MN472887,2018
MN472889,2018
MN472890,2018
MN472891,2018
MN472892,2018
MN472893,2018
MN472894,2018
MN472895,2018
MN472896,2018
MN472897,2018
MN472898,2018
MN472899,2018
MN472900,2018
MN472901,2018
MN472902,2018
MN472903,2018
MN472904,2018
MN472905,2018
MN853684,2018
MN872375,2016
MN872376,2016
MN872377,2016
MN872378,2016
MN890125,2016
MN891692,2016
MN891693,2016
MN891694,2016
MN891695,2016
MN891696,2016
MN891697,2016
MN891698,2016
KX810069,1996
MT367900,22-Nov-2019
MT380166,2009
MT380167,2010
MT380168,2010
MT380169,2010
MT380170,2010
MT380171,2009
MT380172,2009
MT460102,2019
MT460103,2019
MT460104,2019
MT534518,2014
MT568768,2019
MW036291,Jul-2017
MW397194,2017
MW522911,14-Aug-2019
MW560551,23-Oct-2019
MW898143,2019
MW898144,2019
MW898145,2019
MW898146,2019
MZ158298,07-Jan-2021
MZ158299,07-Jan-2021
MZ267234,2020
MZ267689,2020
MZ274468,02-Feb-2021
MZ274469,02-Feb-2021
MZ683160,Nov-2020
MZ683161,Nov-2020
OK185035,May-2019
OK185036,May-2019
OK185037,May-2018
OK185038,May-2018
OK185039,Jun-2018
OK185040,Jun-2018
OK185041,Jun-2018
OK185042,May-2019
OK185043,May-2019
OK185044,May-2019
OK185045,May-2019
OK185046,May-2019
OK185047,Jun-2019
OK185048,Jun-2019
OK185049,Jun-2019
OK185050,May-2018
OK275407,May-2020
OM085670,2020
OM085671,2020
OM868041,2021
ON063290,30-Jul-2019
ON427945,2021
ON873900,2010
ON873901,2010
ON873902,2010
ON873903,2010
ON873904,2010
ON873905,2010
ON873906,2010
ON873907,2010
ON873908,2010
ON873909,2010
ON873910,2010
ON873911,2010
ON873912,2010
ON873913,2010
ON873914,2010
ON873915,2010
ON873916,2010
ON873917,2010
ON873920,2011
ON873921,2011
ON873922,2011
ON873923,2011
ON873924,2011
ON873925,2011
ON873926,2011
ON873927,2011
ON873928,2011
ON873929,2011
ON873930,2011
ON873931,2011
ON873932,2011
ON873933,2011
ON873934,2011
ON873935,2011
MW717918,2018
MW717919,2018
OP412773,2021
OP601638,1997
OQ410434,2020
OQ410435,2020
OQ410436,2020
