burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-16231.5889	152.2132	-16217.2872	-16529.0802	-15937.0316	235.3859	-16298.2336	-16108.6162	
prior	-7130.876	150.7042	-7117.2242	-7426.5085	-6837.2262	234.1095	-7188.4757	-7000.7189	
likelihood	-9100.7129	17.0604	-9100.9617	-9133.831	-9066.7204	831.8794	-9112.6143	-9089.7534	
treeModel.rootHeight	165.6479	52.4854	154.6963	87.6216	271.6949	298.052	111.6408	166.3241	
age(root)	1857.3521	52.4854	1868.3037	1751.3051	1935.3784	298.052	1856.6759	1911.3592	
treeLength	2294.6179	417.3038	2237.2581	1579.5061	3139.2914	213.7651	1901.4569	2427.509	
tmrca(ingroup)	165.6479	52.4854	154.6963	87.6216	271.6949	298.052	111.6408	166.3241	
age(ingroup)	1857.3521	52.4854	1868.3037	1751.3051	1935.3784	298.052	1856.6759	1911.3592	
demographic.populationSizeChanges	3.1043	0.623	3	2	4	717.2929	3	3	
demographic.populationMean	140.1343	148.6901	99.5658	18.0796	352.9872	259.2966	39.7403	109.7901	
demographic.popSize1	103.0543	181.1882	34.7718	0.5863	530.5379	220.2392	1.2553	35.1904	
demographic.popSize2	138.5374	247.807	69.4345	4.1943E-3	483.4458	789.1332	0.0114	69.4385	
demographic.popSize3	140.8589	271.5094	69.3692	3.681E-3	483.5889	748.842	8.76E-3	69.3692	
demographic.popSize4	141.1824	255.3682	68.7615	3.9705E-3	490.8649	667.7525	0.1265	68.8657	
demographic.popSize5	137.6905	248.8664	68.4569	3.7231E-3	470.4034	726.3986	0.0382	68.4636	
demographic.popSize6	136.9874	263.6305	65.5675	7.8302E-3	475.1262	735.6013	7.8302E-3	65.5675	
demographic.popSize7	139.7689	242.296	67.6136	7.198E-3	496.024	674.4684	0.0177	67.6164	
demographic.popSize8	105.3808	212.535	48.9357	1.5419E-3	374.6248	619.5936	1.5419E-3	48.9357	
demographic.popSize9	138.9932	237.7039	67.9616	0.0191	478.8188	767.3659	0.0568	68.0021	
demographic.popSize10	139.0399	258.58	67.017	0.0111	485.1684	687.2516	0.0187	67.017	
demographic.popSize11	139.841	255.7293	66.9897	1.5504E-3	493.0649	704.6464	1.5504E-3	66.9897	
demographic.popSize12	140.4946	267.6858	69.4985	1.3363E-3	475.8458	675.2471	0.0151	69.5051	
demographic.popSize13	133.1935	250.6789	59.9101	4.5878E-3	493.0674	643.1648	4.5878E-3	59.9101	
demographic.popSize14	137.5809	260.5802	62.712	4.8173E-3	506.7697	646.0881	0.0437	62.7416	
demographic.popSize15	137.7384	254.6853	63.4764	6.7658E-3	487.3111	677.6302	0.0391	63.485	
demographic.popSize16	123.7018	229.8697	56.3342	2.5099E-3	452.0343	680.6137	2.5099E-3	56.3342	
demographic.popSize17	132.1745	254.2663	61.7879	2.9332E-3	464.5507	720.9295	2.9332E-3	61.7879	
demographic.popSize18	133.0635	242.4491	62.6622	0.0323	477.4702	612.6059	0.0323	62.6776	
