burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14106.4226	162.3993	-14103.9359	-14415.3659	-13790.1585	229.2146	-14229.7908	-14001.8529	
prior	-7003.1053	162.7335	-7000.1033	-7311.7938	-6686.9526	226.5089	-7109.9972	-6879.2942	
likelihood	-7103.3173	17.177	-7103.3695	-7136.8845	-7069.8517	813.9559	-7114.8574	-7091.5991	
treeModel.rootHeight	172.245	51.4206	164.0394	87.9213	276.3581	305.845	123.308	184.3992	
age(root)	1848.755	51.4206	1856.9606	1744.6419	1933.0787	305.845	1836.6008	1897.692	
treeLength	2182.3779	398.8504	2146.914	1418.0136	2930.2716	218.6711	1808.7692	2341.0974	
tmrca(ingroup)	172.245	51.4206	164.0394	87.9213	276.3581	305.845	123.308	184.3992	
age(ingroup)	1848.755	51.4206	1856.9606	1744.6419	1933.0787	305.845	1836.6008	1897.692	
demographic.populationSizeChanges	2.7078	0.7776	3	2	4	488.4318	2	3	
demographic.populationMean	93.4506	79.5555	70.4054	10.1535	240.4518	250.3595	24.7714	76.7846	
demographic.popSize1	67.6413	80.087	47.9542	0.0361	221.5736	219.5243	0.0361	47.9542	
demographic.popSize2	92.836	141.0957	47.7243	1.863E-3	333.4737	782.6629	1.863E-3	47.7243	
demographic.popSize3	92.7781	138.2275	47.0667	3.2109E-3	333.8523	835.4387	3.2109E-3	47.0667	
demographic.popSize4	92.8286	142.5479	46.3717	3.7273E-3	341.9015	793.2898	5.6795E-3	46.3717	
demographic.popSize5	93.4479	151.921	45.6502	2.3268E-3	332.3451	789.6225	0.0245	45.6659	
demographic.popSize6	93.3548	145.3302	47.6797	1.7798E-3	332.8017	834.5571	1.7798E-3	47.6797	
demographic.popSize7	89.5435	139.7779	44.662	4.5647E-4	320.493	855.5184	0.0111	44.665	
demographic.popSize8	90.9389	135.6971	45.7506	4.4514E-4	326.2205	777.4158	4.4514E-4	45.7506	
