burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-16259.5039	146.3851	-16246.343	-16571.1928	-15987.1983	240.6516	-16318.1228	-16136.9597	
prior	-7162.9897	145.8552	-7149.0715	-7473.8114	-6892.278	237.9831	-7224.4691	-7045.1141	
likelihood	-9096.5143	16.6227	-9096.643	-9129.1958	-9063.5168	931.0229	-9107.7541	-9085.645	
treeModel.rootHeight	172.7376	49.4872	163.7897	95.0915	272.962	311.6597	120.3931	178.5192	
age(root)	1850.2624	49.4872	1859.2103	1750.038	1927.9085	311.6597	1844.4808	1902.6069	
treeLength	2388.316	435.0342	2306.6701	1725.046	3316.5065	211.4108	1965.969	2446.1724	
tmrca(ingroup)	172.7376	49.4872	163.7897	95.0915	272.962	311.6597	120.3931	178.5192	
age(ingroup)	1850.2624	49.4872	1859.2103	1750.038	1927.9085	311.6597	1844.4808	1902.6069	
demographic.populationSizeChanges	3.1746	0.6053	3	2	4	731.4642	3	3	
demographic.populationMean	154.4458	132.7774	116.4656	16.6399	394.6994	259.729	52.8774	130.3116	
demographic.popSize1	78.4866	71.8623	61.0447	1.2193	210.4238	271.4427	8.3565	64.8688	
demographic.popSize2	154.0061	252.1899	81.1289	0.0146	536.041	774.8122	0.038	81.1458	
demographic.popSize3	153.5253	247.7761	79.6046	0.0239	541.9326	775.6931	0.0492	79.6117	
demographic.popSize4	153.6581	243.094	79.1664	2.6912E-3	537.1883	781.5297	2.6912E-3	79.1664	
demographic.popSize5	152.9796	234.6067	80.0923	8.5143E-3	536.1429	823.4337	0.0169	80.0973	
demographic.popSize6	152.2204	237.292	80.5583	7.7325E-3	525.7964	865.4834	0.0299	80.5594	
demographic.popSize7	155.8868	247.4142	81.8807	5.4364E-3	534.902	839.4253	0.0339	81.9086	
demographic.popSize8	154.8938	235.7289	79.6219	0.0174	534.2767	786.1849	0.0174	79.6219	
demographic.popSize9	156.2067	243.6842	79.8512	1.449E-3	542.0364	828.7623	1.0925E-3	79.8512	
demographic.popSize10	150.3073	236.3959	77.0062	4.9857E-3	531.3362	775.3198	0.0302	77.0062	
demographic.popSize11	152.2366	230.9414	80.4894	2.1764E-3	530.3743	809.2202	2.1764E-3	80.4894	
demographic.popSize12	154.2327	242.4596	78.7028	0.0266	544.2937	817.2607	0.0301	78.7028	
demographic.popSize13	152.8783	237.7225	78.6473	0.0103	534.9039	738.4648	0.0103	78.6473	
demographic.popSize14	144.1405	229.6938	73.848	4.7875E-5	513.6192	746.197	4.7875E-5	73.848	
demographic.popSize15	141.7832	236.3428	69.4108	1.8352E-3	518.0985	716.3719	3.8678E-3	69.4108	
demographic.popSize16	154.5156	253.3432	78.7076	1.3966E-3	543.204	799.7788	1.3966E-3	78.7076	
demographic.popSize17	122.1831	229.9059	50.7467	4.9712E-3	475.208	668.5957	0.0138	50.7501	
demographic.popSize18	153.7943	246.2031	81.128	2.9564E-4	532.9043	852.135	2.3152E-3	81.128	
demographic.popSize19	145.1682	251.486	67.821	0.0119	529.2017	736.2662	0.0248	67.821	
demographic.popSize20	127.7033	222.2652	56.7785	3.0454E-3	483.6941	694.634	3.0454E-3	56.7785	
demographic.popSize21	104.7536	228.2896	26.0176	4.9816E-3	443.9613	593.8495	4.9816E-3	26.0176	
demographic.popSize22	155.9788	246.9594	80.7615	8.6483E-3	532.9771	802.2693	8.6483E-3	80.7615	
demographic.popSize23	151.8357	235.4366	78.7204	6.7994E-5	530.668	864.3401	7.0129E-3	78.7219	
demographic.popSize24	153.1819	246.992	79.8435	0.0271	516.7763	813.4709	0.0567	79.8549	
demographic.popSize25	152.4063	235.9375	79.3276	0.0182	536.0407	862.4683	0.0179	79.3276	
demographic.popSize26	155.362	242.9937	81.4927	0.0195	532.3612	820.4862	0.0195	81.5043	
demographic.popSize27	155.5904	240.2353	82.0476	6.5319E-3	541.8171	836.0213	0.0211	82.0488	
demographic.popSize28	158.4613	259.725	82.127	7.784E-3	542.0469	810.9241	0.0247	82.143	
demographic.popSize29	153.7124	247.8812	78.7218	1.0132E-3	543.9901	807.0162	0.0102	78.7218	
demographic.popSize30	151.4842	241.5458	79.0513	6.269E-3	510.6165	888.1885	0.0183	79.0513	
demographic.popSize31	160.455	263.6517	83.0647	4.9156E-3	553.154	719.014	7.7268E-3	83.0647	
demographic.popSize32	155.5072	241.7782	81.2591	6.6716E-3	540.4347	767.3181	6.6716E-3	81.2591	
demographic.popSize33	151.1496	223.4767	79.2222	0.0145	528.0524	768.1342	9.6117E-3	79.2222	
demographic.popSize34	156.4371	259.4931	79.3728	0.0153	546.0435	751.7232	0.0153	79.3728	
demographic.popSize35	151.7674	239.7578	79.4311	7.2527E-3	533.1201	839.5009	0.0802	79.4653	
demographic.popSize36	152.7367	234.5927	79.5553	0.0196	539.5684	815.3818	0.0196	79.5553	
demographic.popSize37	155.7319	255.0412	80.93	0.0198	528.714	834.4535	0.0173	80.9363	
demographic.popSize38	155.5415	243.0199	82.6247	7.8517E-3	548.4672	791.9173	1.0435E-3	82.6247	
demographic.popSize39	154.1941	243.1915	79.6007	6.7409E-3	533.7486	844.0729	6.7409E-3	79.6007	
demographic.popSize40	156.2044	263.0034	80.5557	4.7226E-3	515.9212	785.1008	1.9162E-3	80.5557	
demographic.popSize41	152.7197	247.479	78.9242	0.0113	532.1935	843.2637	0.0228	78.9264	
demographic.popSize42	153.9744	243.6551	81.2669	0.0201	539.7365	806.2619	0.0386	81.2823	
demographic.popSize43	153.5828	239.4838	81.2864	0.0214	525.5299	774.0347	0.0645	81.3306	
demographic.popSize44	155.4794	235.1071	81.316	6.0392E-3	559.0424	791.5316	0.0167	81.316	
demographic.popSize45	154.1413	237.2549	82.8552	2.52E-3	530.8088	851.3988	2.52E-3	82.8552	
demographic.popSize46	154.1077	236.4036	81.2444	9.5068E-3	534.6163	765.538	9.5068E-3	81.2444	
demographic.popSize47	156.6353	233.829	83.5034	9.2778E-3	546.6693	790.6893	4.7069E-3	83.5034	
demographic.popSize48	155.1605	232.4825	80.1135	5.318E-3	544.0183	784.3465	5.318E-3	80.1135	
demographic.popSize49	154.0633	238.6474	81.1508	0.0329	527.3154	837.3237	0.0265	81.1508	
demographic.popSize50	153.5331	235.7153	81.2903	6.7817E-4	535.3489	840.8504	6.7817E-4	81.2903	
demographic.popSize51	154.7412	239.6926	80.9915	1.2762E-3	526.8943	793.6446	0.0137	80.9991	
demographic.popSize52	155.1358	243.5396	81.4995	0.0227	537.8861	805.3821	0.0227	81.4995	
demographic.popSize53	152.8673	232.2602	81.2904	2.0707E-3	525.5135	809.7832	0.0207	81.2929	
demographic.popSize54	156.9729	248.3689	80.863	0.0245	539.7989	778.1153	2.4751E-3	80.863	
demographic.popSize55	152.0913	241.0899	81.1962	1.244E-3	516.7304	903.3569	0.1481	81.2898	
demographic.popSize56	155.2591	242.7441	82.8298	8.459E-3	550.0519	881.4182	0.0296	82.8298	
demographic.popSize57	154.9766	231.295	83.0169	6.0694E-3	532.2819	820.894	0.0978	83.0435	
demographic.popSize58	153.714	238.4085	79.4643	8.6867E-3	531.6145	833.6001	0.01	79.4644	
demographic.popSize59	160.7498	248.0047	83.2916	6.5518E-3	549.6169	796.1747	0.0113	83.2984	
demographic.popSize60	155.9286	242.2467	82.3632	0.0289	542.8752	751.841	8.6115E-3	82.3632	
demographic.popSize61	158.282	254.9606	80.6361	3.8335E-3	551.3143	813.1058	0.0136	80.6431	
demographic.popSize62	154.5753	243.8207	82.6564	0.0124	511.7005	824.2421	0.0124	82.6602	
demographic.popSize63	156.1084	246.6296	80.8864	0.0172	546.6788	765.1103	6.9549E-3	80.8864	
demographic.popSize64	155.9391	245.7115	79.7018	7.3159E-3	534.9774	850.5915	7.3159E-3	79.7018	
demographic.popSize65	159.4818	275.8892	79.664	0.0219	557.2491	794.5728	0.0443	79.6787	
demographic.popSize66	157.4378	242.7697	82.5069	0.0184	547.3406	824.217	0.0184	82.5069	
demographic.popSize67	155.0866	237.8598	81.9556	4.3045E-3	515.8994	800.4065	4.4946E-3	81.9556	
demographic.popSize68	154.837	228.1115	84.9107	8.5967E-3	516.2723	875.8229	0.0614	84.9639	
demographic.popSize69	157.6925	245.1122	82.9622	2.2799E-3	544.691	784.6552	0.0123	82.9622	
demographic.popSize70	154.5676	231.9253	78.7085	6.1095E-3	537.7678	833.6423	6.1095E-3	78.7085	
demographic.popSize71	159.124	260.9661	80.966	0.0142	536.5552	795.4435	0.0142	80.966	
demographic.popSize72	156.3999	245.1262	83.4913	0.0127	526.4669	868.063	0.0127	83.4913	
demographic.popSize73	159.7824	248.8368	84.5291	7.4346E-3	543.1652	785.6545	2.8434E-3	84.5291	
demographic.popSize74	154.7823	240.6152	81.5579	0.0168	522.4218	835.1495	0.0268	81.561	
demographic.popSize75	156.7245	246.4124	82.9712	8.8786E-3	533.6588	741.6019	0.0193	82.9712	
demographic.popSize76	157.4234	243.2748	84.4082	2.1221E-3	539.549	797.544	5.7875E-3	84.4082	
demographic.popSize77	152.5905	230.8278	79.929	1.1434E-3	528.1153	865.4301	1.1434E-3	79.929	
demographic.popSize78	155.5637	230.4468	83.2558	1.8663E-3	530.3569	816.1159	1.8663E-3	83.2558	
demographic.popSize79	152.5442	232.7722	80.6338	6.2305E-3	539.6691	807.44	6.2305E-3	80.6338	
demographic.popSize80	158.5311	245.6259	82.7177	2.8468E-3	540.9885	839.8156	2.8468E-3	82.7177	
demographic.popSize81	157.8252	245.8435	83.6327	6.0774E-3	535.8782	795.954	0.1853	83.7382	
demographic.popSize82	159.4549	247.802	81.8322	3.1907E-3	546.2622	770.1896	3.1907E-3	81.8322	
demographic.popSize83	155.8083	238.6928	81.6802	7.9182E-3	533.4285	816.2186	7.9182E-3	81.6802	
demographic.popSize84	164.1641	262.7829	85.5782	0.0116	547.4693	760.3182	7.0543E-3	85.5782	
demographic.popSize85	152.1944	234.8914	79.5915	6.8341E-3	504.2064	820.3625	0.0101	79.5915	
demographic.popSize86	157.6867	240.308	83.8433	6.4686E-4	521.3758	785.6967	0.0361	83.853	
demographic.popSize87	158.542	243.7433	83.9868	0.017	532.0658	824.6013	0.017	83.9868	
demographic.popSize88	155.171	228.1121	81.2971	9.7732E-3	522.808	811.4509	3.8003E-3	81.2971	
demographic.popSize89	157.9179	247.5887	81.9584	0.0148	548.575	809.2248	0.0487	81.9786	
demographic.popSize90	156.9718	238.846	81.4845	3.6054E-4	531.5027	809.6526	3.6054E-4	81.4845	
demographic.popSize91	160.5249	246.5489	85.7456	0.011	543.1617	813.2766	0.011	85.7456	
demographic.popSize92	157.2281	248.7546	81.7787	0.0149	553.0664	770.8485	0.0149	81.7787	
demographic.popSize93	157.4772	247.3203	83.4961	6.7958E-3	528.8353	822.3583	0.0632	83.5508	
demographic.popSize94	156.647	246.2197	80.154	0.0179	530.3968	774.4894	0.021	80.1558	
demographic.popSize95	153.7007	238.7456	79.5616	1.8702E-3	526.1516	838.414	1.8702E-3	79.5616	
demographic.popSize96	159.7282	240.6045	83.2116	0.0641	540.7079	741.4928	0.0213	83.2266	
demographic.popSize97	159.6907	262.4918	82.3683	0.0119	544.3036	826.7746	0.013	82.3683	
demographic.popSize98	153.2816	224.6947	82.9547	0.0107	513.8984	808.8772	7.1015E-3	82.9547	
demographic.popSize99	156.6223	238.3956	82.4322	0.0136	527.0024	770.2647	0.0187	82.4388	
demographic.popSize100	159.5839	252.7811	82.6503	0.0173	539.0223	814.4001	0.0173	82.6503	
demographic.popSize101	156.5678	235.7867	83.0043	4.3878E-3	538.0726	736.7269	4.3878E-3	83.0043	
demographic.popSize102	157.3437	241.5939	82.919	3.4802E-3	524.9242	836.3684	3.4802E-3	82.919	
demographic.popSize103	155.8599	237.8212	83.2982	5.5702E-3	540.0112	800.6886	6.9852E-3	83.2982	
demographic.popSize104	155.4501	254.1903	81.0199	2.5107E-3	526.4389	830.0556	0.011	81.0199	
demographic.popSize105	155.8522	241.4051	82.9528	3.7156E-3	533.8942	823.1521	3.7156E-3	82.9528	
demographic.popSize106	154.9439	234.7969	82.7113	0.0239	530.2379	830.0005	0.0239	82.7113	
demographic.popSize107	154.3572	241.1802	80.1917	1.842E-3	534.9094	845.1411	1.842E-3	80.1917	
demographic.popSize108	158.4777	248.4822	83.8895	2.3859E-3	539.3157	811.0148	2.3859E-3	83.8895	
demographic.popSize109	155.9642	240.9135	83.6165	0.0287	530.2951	827.2004	0.028	83.6165	
demographic.popSize110	153.936	233.4341	81.5841	0.0327	526.6693	845.6646	0.0485	81.5894	
demographic.popSize111	153.0666	234.7898	83.1853	0.0118	506.1359	842.6369	0.0118	83.1853	
demographic.popSize112	154.3864	229.1623	82.1269	0.0304	540.6569	863.394	0.0593	82.1402	
demographic.popSize113	154.4843	232.898	82.3573	4.3607E-3	532.8075	805.0122	0.0285	82.3573	
demographic.popSize114	154.7518	249.6956	80.982	0.01	531.5656	783.4772	0.01	80.9849	
demographic.popSize115	155.8138	239.0464	83.2517	3.1567E-3	523.6298	863.7725	0.1712	83.3628	
demographic.popSize116	155.9343	243.9906	81.0761	9.2798E-3	532.4447	819.2669	0.0898	81.0945	
demographic.popSize117	154.8992	237.8795	81.5342	0.0182	538.3028	790.6899	0.0725	81.6038	
demographic.popSize118	156.2248	244.6333	80.506	0.029	547.3378	722.4183	0.2031	80.5156	
demographic.popSize119	153.9246	234.5518	81.1313	7.3358E-3	526.3752	801.7206	7.3358E-3	81.1313	
demographic.popSize120	154.7782	239.1755	81.3765	0.0117	537.176	795.1512	0.0612	81.3978	
demographic.popSize121	158.0826	247.4647	80.5777	1.2588E-3	543.4075	763.9505	5.3635E-4	80.5777	
demographic.popSize122	152.9971	236.123	80.331	3.6904E-3	524.0459	802.0105	3.6904E-3	80.331	
demographic.popSize123	151.7451	236.9323	80.3449	7.9745E-3	514.1681	784.156	7.8059E-3	80.3449	
demographic.popSize124	153.4117	223.3249	82.5832	0.0129	550.2371	820.2076	0.0179	82.5832	
demographic.popSize125	152.1839	235.5314	79.59	0.0122	525.8502	772.9701	0.0504	79.6194	
demographic.popSize126	154.8039	230.6273	81.7897	4.7418E-4	530.7212	812.6913	0.0231	81.8104	
demographic.popSize127	149.4035	232.261	79.9135	8.1414E-3	504.2807	821.9473	0.0382	79.9383	
demographic.popSize128	152.6808	235.9615	83.6677	4.3184E-3	514.6645	828.9302	4.3184E-3	83.6677	
demographic.popSize129	155.1971	245.3257	82.776	3.8294E-3	533.6933	760.6929	7.0691E-3	82.776	
demographic.popSize130	156.0203	239.1005	81.2478	5.6638E-3	533.9698	779.5942	0.13	81.3122	
demographic.popSize131	152.3421	238.813	80.1604	7.8856E-3	532.466	825.7448	7.8856E-3	80.1604	
demographic.popSize132	156.3211	254.964	81.2115	1.3065E-3	530.2253	814.1499	1.3065E-3	81.2115	
demographic.popSize133	150.9854	225.0139	81.6816	7.2883E-3	527.3709	817.9125	7.2883E-3	81.6816	
demographic.popSize134	156.2957	257.5527	79.9877	1.0033E-3	541.7818	738.6722	0.0146	79.9983	
demographic.popSize135	154.1278	238.844	81.4773	2.3444E-3	531.1745	802.5374	0.0292	81.4909	
demographic.popSize136	151.4969	227.9875	81.1904	9.0805E-4	539.5482	815.8957	9.0805E-4	81.1904	
