burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15212.2745	142.2602	-15201.0657	-15492.5473	-14941.8697	246.8135	-15278.2464	-15095.679	
prior	-7124.2914	141.4836	-7112.5829	-7406.4655	-6857.4236	244.9056	-7180.9169	-6998.8987	
likelihood	-8087.9832	18.2051	-8088.3757	-8123.3394	-8051.4611	743.5902	-8101.2978	-8077.0377	
treeModel.rootHeight	209.5333	59.9413	201.6202	108.7561	326.4987	316.4923	151.4863	225.5647	
age(root)	1813.4667	59.9413	1821.3798	1696.5013	1914.2439	316.4923	1797.4353	1871.5137	
treeLength	2696.5565	455.2462	2633.0874	1874.1658	3629.6692	225.8236	2250.7722	2806.6213	
tmrca(ingroup)	209.5333	59.9413	201.6202	108.7561	326.4987	316.4923	151.4863	225.5647	
age(ingroup)	1813.4667	59.9413	1821.3798	1696.5013	1914.2439	316.4923	1797.4353	1871.5137	
demographic.populationSizeChanges	2.6026	0.683	3	2	4	598.5872	2	3	
demographic.populationMean	121.9486	114.345	90.6468	17.5571	296.4926	261.6832	36.4659	98.3853	
demographic.popSize1	96.0375	74.6304	77.9218	3.2331	248.0793	253.5901	3.2331	78.0237	
demographic.popSize2	118.7433	184.9269	62.431	4.0471E-4	412.9717	760.6968	0.0137	62.4428	
demographic.popSize3	123.8289	197.666	64.0088	5.8058E-3	429.6279	750.026	5.8058E-3	64.0088	
demographic.popSize4	120.6973	204.5009	62.5109	0.0133	412.3939	724.7177	0.0166	62.5109	
demographic.popSize5	121.6131	222.0925	63.5463	5.6826E-4	414.7258	859.6161	2.6978E-3	63.5463	
demographic.popSize6	121.2209	193.381	62.8391	4.1256E-4	419.2476	718.7912	5.9857E-3	62.84	
demographic.popSize7	119.5906	196.8859	62.3641	2.8923E-3	410.5307	802.5398	2.8923E-3	62.3641	
demographic.popSize8	120.0852	185.5959	62.7215	2.7484E-3	415.4267	815.1836	2.7484E-3	62.7215	
demographic.popSize9	122.8496	216.0852	62.8238	2.0252E-3	418.5981	678.6959	8.5102E-3	62.8265	
demographic.popSize10	122.4571	206.2823	62.328	1.0849E-4	430.3452	809.4953	1.0849E-4	62.328	
demographic.popSize11	115.0594	196.7333	58.88	8.7825E-3	402.9886	798.7648	1.5941E-3	58.88	
demographic.popSize12	122.6838	199.3309	63.587	8.2298E-3	414.377	817.5242	0.0147	63.5914	
demographic.popSize13	121.0264	196.1372	62.3917	4.3402E-3	416.0334	706.998	3.8059E-3	62.3917	
demographic.popSize14	115.2222	191.0409	58.3051	0.0102	406.7463	732.3461	0.077	58.3517	
demographic.popSize15	121.0893	189.6659	63.4827	4.6925E-3	421.8099	782.8092	4.6925E-3	63.4827	
demographic.popSize16	122.1624	194.7158	62.3843	7.6454E-3	431.2766	749.768	7.6454E-3	62.3843	
demographic.popSize17	119.8908	210.8805	58.3797	1.6365E-3	425.1166	738.6303	0.0594	58.4084	
demographic.popSize18	97.2904	153.9221	48.7258	2.5112E-3	346.1946	852.022	0.0515	48.7749	
demographic.popSize19	98.1396	191.3844	42.8175	1.0606E-4	365.5457	642.2093	1.0606E-4	42.8175	
demographic.popSize20	114.3224	181.3016	57.5391	5.7051E-3	406.8477	748.8315	0.0273	57.5485	
demographic.popSize21	118.5098	190.387	61.9059	0.0171	406.3984	819.194	0.0171	61.9059	
demographic.popSize22	102.6431	197.7302	43.6737	0.0165	383.5	658.0796	0.0165	43.6737	
demographic.popSize23	117.2035	202.7014	58.2482	3.2068E-3	416.4612	701.8528	0.018	58.2485	
demographic.popSize24	112.7294	194.6531	52.4873	1.0389E-3	425.6198	626.034	1.0389E-3	52.4873	
demographic.popSize25	118.0961	200.3702	58.0615	0.011	417.0964	684.2058	0.0122	58.0615	
demographic.popSize26	117.4072	187.7344	59.7268	3.5234E-3	423.274	731.5604	0.0392	59.7535	
demographic.popSize27	121.3268	222.1972	63.84	0.0161	414.681	780.2979	0.0161	63.84	
demographic.popSize28	122.091	212.5364	64.253	4.9067E-4	424.782	841.6014	0.0436	64.2758	
demographic.popSize29	123.344	189.4283	67.5978	0.0218	415.12	804.3505	0.0218	67.598	
demographic.popSize30	125.4847	194.6107	67.9218	6.7737E-3	432.9969	711.8575	5.721E-3	67.9218	
demographic.popSize31	126.7269	217.5661	69.0323	2.2191E-3	417.3849	714.548	0.0259	69.0323	
demographic.popSize32	120.3093	188.2482	64.2378	0.0403	418.4429	814.9568	0.0347	64.243	
demographic.popSize33	118.2827	174.2435	66.7016	7.7327E-4	394.6162	928.0864	7.7327E-4	66.7016	
demographic.popSize34	123.1343	192.3302	66.3513	0.0188	419.9052	780.1818	9.6198E-3	66.3513	
demographic.popSize35	123.1265	182.8311	68.0283	3.5181E-5	423.6552	794.4495	3.5181E-5	68.0283	
demographic.popSize36	124.291	200.7387	66.3993	2.8292E-3	418.5043	729.1599	3.047E-3	66.3993	
demographic.popSize37	123.5192	191.9127	68.9479	0.0102	422.1279	768.3198	0.0102	68.9479	
demographic.popSize38	122.1293	199.4095	65.0299	0.0114	418.4243	781.7877	0.0758	65.0737	
demographic.popSize39	119.9301	191.3552	63.6856	0.0123	421.3148	876.0084	0.0386	63.6929	
demographic.popSize40	126.1092	222.2173	64.7844	1.083E-3	436.1751	806.1351	3.507E-3	64.786	
demographic.popSize41	118.5405	189.1442	64.283	3.9748E-4	391.8548	872.9284	2.6264E-3	64.2837	
demographic.popSize42	124.8245	195.2985	66.0813	0.0102	432.9011	723.3559	0.0102	66.0813	
demographic.popSize43	117.5597	186.6653	63.0825	4.2012E-3	396.6558	851.6076	5.5898E-4	63.0825	
demographic.popSize44	123.4532	202.4371	63.5637	9.8795E-3	426.5396	736.747	0.0157	63.5676	
demographic.popSize45	121.6212	206.861	63.7593	2.9433E-3	404.0725	795.292	2.9433E-3	63.7593	
demographic.popSize46	122.5047	195.9366	65.4102	5.2146E-3	413.4177	694.2781	0.0256	65.4256	
demographic.popSize47	121.3123	194.7078	64.5883	9.963E-3	409.4684	772.088	4.1263E-3	64.5883	
demographic.popSize48	122.1517	196.7136	65.6372	2.7292E-3	410.2831	753.4065	0.028	65.6469	
demographic.popSize49	123.0859	196.376	65.0845	4.3595E-4	426.6242	775.6772	4.3595E-4	65.0845	
demographic.popSize50	125.1109	238.2751	66.2287	6.9039E-4	416.3582	870.3624	6.9039E-4	66.2287	
demographic.popSize51	122.2608	192.3782	65.4063	8.0101E-3	417.3778	775.143	8.0101E-3	65.4063	
demographic.popSize52	125.4878	209.0649	64.3127	5.0515E-3	434.3552	654.5665	5.1491E-3	64.3127	
demographic.popSize53	125.91	217.0441	63.9563	4.8484E-3	425.2203	687.0457	9.3051E-3	63.9563	
demographic.popSize54	121.3883	188.9401	63.7451	2.4935E-3	424.2395	764.2998	0.1151	63.8573	
demographic.popSize55	122.0959	193.1372	64.6916	4.8625E-3	423.299	777.5173	0.0161	64.6962	
demographic.popSize56	122.0264	213.647	63.3808	4.4984E-4	410.7954	785.8641	4.4984E-4	63.3808	
demographic.popSize57	125.0504	207.6224	64.6542	3.7264E-3	424.8584	808.3287	8.1708E-3	64.6557	
demographic.popSize58	122.3896	201.5721	64.8821	5.1833E-3	414.0508	711.9748	5.1833E-3	64.8821	
demographic.popSize59	119.7831	195.8779	62.5273	6.2686E-3	413.3448	843.9006	3.2478E-3	62.5273	
demographic.popSize60	119.8377	185.1775	63.4928	7.8244E-4	400.0187	864.1288	7.8244E-4	63.4928	
demographic.popSize61	124.9995	243.7891	63.7366	6.1028E-3	424.2336	824.6723	0.0471	63.7614	
demographic.popSize62	123.5313	193.616	65.2343	0.0288	429.122	771.0063	1.5701E-3	65.2343	
demographic.popSize63	122.622	195.5798	64.5239	0.0364	422.7011	760.7755	0.0264	64.5262	
demographic.popSize64	122.7808	194.2138	65.2832	6.6576E-4	420.1012	765.0001	0.035	65.2945	
