burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14670.6389	176.0722	-14661.965	-15024.1419	-14333.7772	221.7927	-14760.7626	-14524.8444	
prior	-7096.0192	172.7398	-7087.7655	-7423.094	-6745.6889	221.5528	-7188.6448	-6955.0989	
likelihood	-7574.6197	19.8406	-7574.7633	-7613.1686	-7535.2505	533.5673	-7587.9886	-7561.4473	
treeModel.rootHeight	174.924	51.7862	167.25	87.657	279.1884	291.322	126.9235	188.1166	
age(root)	1848.076	51.7862	1855.75	1743.8116	1935.343	291.322	1834.8834	1896.0765	
treeLength	2359.1358	388.2663	2321.4792	1659.2688	3133.188	221.7992	2003.2372	2497.9658	
tmrca(ingroup)	174.924	51.7862	167.25	87.657	279.1884	291.322	126.9235	188.1166	
age(ingroup)	1848.076	51.7862	1855.75	1743.8116	1935.343	291.322	1834.8834	1896.0765	
demographic.populationSizeChanges	2.7364	0.7459	3	2	4	444.9389	2	3	
demographic.populationMean	115.7676	118.9737	81.6569	10.2109	313.5407	235.4365	26.6917	90.7447	
demographic.popSize1	96.1181	147.828	41.0627	0.5372	352.8886	233.8885	0.5372	41.0627	
demographic.popSize2	115.88	188.9071	54.2954	2.6347E-4	427.0414	689.5275	3.2391E-4	54.2954	
demographic.popSize3	116.3582	209.0206	52.9661	0.0124	423.9823	645.3064	0.0445	52.9943	
demographic.popSize4	113.4868	207.6387	53.2659	3.0611E-3	422.4666	702.4911	0.072	53.3146	
demographic.popSize5	113.2274	188.2284	53.09	6.741E-3	419.9388	677.9005	0.0116	53.09	
demographic.popSize6	112.6872	204.0136	52.5116	6.4498E-3	396.1607	637.8862	6.4498E-3	52.5116	
demographic.popSize7	113.8213	203.0871	51.8664	3.4348E-3	417.7374	620.103	1.8091E-3	51.8664	
demographic.popSize8	100.9869	161.3089	48.1751	4.7398E-4	371.4613	838.0682	0.0511	48.1943	
demographic.popSize9	117.1957	209.3826	53.7231	4.9625E-3	419.87	651.9765	6.983E-3	53.7231	
demographic.popSize10	112.2736	186.1859	52.4046	0.0102	419.3881	674.7004	0.0102	52.4089	
demographic.popSize11	92.0376	175.3304	39.3328	0.0102	353.8523	608.3077	0.0102	39.3328	
demographic.popSize12	113.8999	213.2612	51.2021	6.613E-3	414.5665	644.5181	0.0149	51.2086	
demographic.popSize13	107.3209	207.8962	44.3405	4.4577E-4	400.3408	625.3017	4.4577E-4	44.3407	
demographic.popSize14	110.0842	207.3942	50.5213	1.5905E-3	396.4189	713.2011	0.0114	50.5258	
demographic.popSize15	98.3251	204.8364	37.9497	4.4305E-3	377.7804	596.3955	0.0117	37.9521	
demographic.popSize16	103.2194	190.4829	46.3523	7.388E-3	379.6848	623.172	7.388E-3	46.3523	
demographic.popSize17	108.5355	206.8931	47.5729	3.0196E-3	396.0323	667.7852	0.0334	47.5921	
demographic.popSize18	110.0236	193.1197	49.5855	0.0189	415.4003	639.9235	0.0189	49.5855	
demographic.popSize19	112.6857	205.0999	52.2425	4.5369E-3	405.8536	738.4979	4.5369E-3	52.2425	
demographic.popSize20	109.3104	205.1151	47.2118	1.2315E-3	411.5373	633.4298	1.2315E-3	47.2118	
demographic.popSize21	114.9989	207.1414	53.1434	1.9257E-4	415.4048	689.9815	1.9257E-4	53.1434	
demographic.popSize22	118.1574	231.1646	53.2277	1.8058E-4	422.0881	641.8232	1.8058E-4	53.2277	
demographic.popSize23	116.5932	205.204	53.4156	0.0256	433.7509	680.2871	5.4002E-3	53.4156	
demographic.popSize24	116.3918	205.2697	55.0516	4.0195E-3	415.8602	703.3165	4.0195E-3	55.0516	
demographic.popSize25	111.9294	203.3562	50.2236	1.2826E-4	417.8109	564.51	0.0214	50.2344	
demographic.popSize26	115.3078	198.5024	56.169	3.6404E-3	402.5498	655.912	3.6404E-3	56.169	
demographic.popSize27	117.2204	209.3074	56.7999	4.444E-6	417.3967	615.5739	4.444E-6	56.7999	
demographic.popSize28	119.8787	203.7424	59.6588	4.8883E-4	434.1847	628.275	4.5654E-3	59.6588	
demographic.popSize29	118.6474	205.4989	55.5714	4.0859E-3	433.4683	671.0251	7.9748E-3	55.5714	
demographic.popSize30	117.2394	209.9999	55.5818	9.8272E-4	417.9976	613.7119	0.05	55.6026	
demographic.popSize31	118.3489	205.1395	58.5322	2.8208E-3	425.3967	670.5015	2.8208E-3	58.5322	
demographic.popSize32	115.8713	203.8139	55.3724	3.6353E-3	419.4617	687.3911	0.0205	55.3854	
demographic.popSize33	114.6467	215.1809	54.1449	4.0042E-3	400.5233	752.7106	0.0114	54.1449	
demographic.popSize34	119.3073	211.1469	55.8384	1.5924E-3	434.7128	664.2688	2.508E-3	55.8391	
demographic.popSize35	114.7667	192.5809	56.9948	3.3221E-3	418.3826	723.6616	9.1602E-3	56.9988	
demographic.popSize36	117.977	209.9708	57.5941	3.8604E-3	417.0113	696.6285	0.0112	57.5955	
demographic.popSize37	117.3346	204.2596	55.3835	3.6748E-3	422.7833	673.2363	3.6748E-3	55.3835	
demographic.popSize38	116.2971	210.5226	56.446	7.403E-4	409.38	687.7141	0.0113	56.446	
demographic.popSize39	114.1452	193.1796	57.7192	0.041	400.0322	663.1321	0.0554	57.7474	
