burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15214.312	147.7791	-15212.9644	-15500.9764	-14916.8463	237.9161	-15320.9613	-15117.5489	
prior	-7176.6129	147.737	-7175.5936	-7466.7383	-6882.6633	235.0847	-7278.8287	-7077.1071	
likelihood	-8037.6991	16.962	-8037.499	-8071.3618	-8004.775	726.5444	-8048.4653	-8025.8394	
treeModel.rootHeight	222.9955	73.4438	213.741	94.5214	356.9424	269.6924	154.9617	243.919	
age(root)	1800.0045	73.4438	1809.259	1666.0576	1928.4786	269.6924	1779.081	1868.0383	
treeLength	2902.3922	615.139	2823.0581	1818.6537	4113.4044	207.4405	2370.5804	3084.5972	
tmrca(ingroup)	222.9955	73.4438	213.741	94.5214	356.9424	269.6924	154.9617	243.919	
age(ingroup)	1800.0045	73.4438	1809.259	1666.0576	1928.4786	269.6924	1779.081	1868.0383	
demographic.populationSizeChanges	2.5287	0.669	2	2	4	598.6607	2	2	
demographic.populationMean	134.6575	95.7803	108.4842	16.9346	325.3108	272.0689	35.7487	118.4518	
demographic.popSize1	138.4482	130.976	102.7077	1.6815	370.3214	278.5578	14.9571	109.4508	
demographic.popSize2	136.7922	188.8239	71.9092	4.9717E-3	488.2021	947.186	0.0259	71.9205	
demographic.popSize3	135.1607	193.3024	72.1134	0.0151	472.5417	985.4063	0.0231	72.1134	
demographic.popSize4	134.6277	191.4004	69.9788	9.6265E-3	469.2925	936.7051	0.038	69.9944	
demographic.popSize5	133.7868	192.1002	70.0862	1.2393E-3	474.8361	971.2206	0.0195	70.0938	
demographic.popSize6	131.692	196.3399	68.3378	4.3735E-3	477.6765	1004.6879	0.0167	68.3378	
demographic.popSize7	129.3653	187.1141	67.5831	4.4082E-4	462.4511	947.7739	6.6284E-3	67.5831	
demographic.popSize8	137.2163	198.2872	70.8862	0.0105	486.8176	930.5289	0.0105	70.8862	
demographic.popSize9	132.4452	183.2504	70.6729	5.0047E-3	471.0428	1011.9602	5.0047E-3	70.6729	
demographic.popSize10	128.3828	183.568	67.0335	7.3838E-3	463.406	949.9604	0.0301	67.0338	
demographic.popSize11	125.3918	185.8988	63.5765	2.3182E-3	455.0364	931.0707	3.8286E-3	63.5765	
demographic.popSize12	125.1144	178.6899	66.6493	9.3174E-3	444.4594	999.6127	0.084	66.7031	
demographic.popSize13	132.6497	191.5918	68.757	7.468E-3	475.4426	940.7463	0.0172	68.757	
demographic.popSize14	129.8777	187.3155	67.537	6.5254E-3	467.5514	915.4018	0.1065	67.6042	
demographic.popSize15	121.9372	187.9406	58.8883	3.5348E-3	448.4072	795.5442	0.0209	58.8883	
demographic.popSize16	99.1697	163.7036	41.283	0.0148	395.0145	713.4452	4.7767E-3	41.283	
demographic.popSize17	112.2453	174.8983	50.6719	5.6428E-3	435.6442	729.5496	0.1117	50.7683	
demographic.popSize18	132.4419	189.0371	69.8586	1.5814E-3	470.0154	971.735	7.2024E-3	69.8586	
demographic.popSize19	127.2887	181.5084	65.976	1.2045E-3	459.9015	895.7401	1.2045E-3	65.976	
demographic.popSize20	131.8311	185.2938	68.0822	0.0125	479.4474	923.857	0.0689	68.1241	
demographic.popSize21	126.9047	182.7534	64.8908	4.7832E-3	459.4589	957.232	4.7832E-3	64.8908	
demographic.popSize22	134.2919	190.3571	71.2439	7.485E-3	472.3589	1003.3532	0.0242	71.2439	
demographic.popSize23	130.8853	192.0978	66.0121	0.0251	468.5333	961.2465	0.0264	66.0163	
demographic.popSize24	132.018	186.9085	70.3516	5.1664E-4	471.5809	1013.1398	0.0202	70.3516	
demographic.popSize25	132.9591	193.2891	68.7356	0.011	471.0197	928.0558	0.011	68.7356	
demographic.popSize26	132.515	193.8375	67.5091	2.5361E-3	473.9745	941.3549	0.0234	67.5261	
demographic.popSize27	133.8248	191.4201	70.849	1.001E-3	478.661	968.0738	8.8532E-3	70.8545	
demographic.popSize28	134.184	197.2131	68.6365	1.7364E-3	468.8633	972.8772	7.7312E-3	68.6365	
demographic.popSize29	133.4336	193.407	71.5616	8.0355E-4	466.4676	1026.3995	4.5939E-3	71.5616	
demographic.popSize30	133.3949	189.0105	69.9674	1.5106E-3	462.9391	961.0571	1.5106E-3	69.9674	
demographic.popSize31	134.6033	187.5325	72.5575	0.0131	474.4104	1002.5053	6.6217E-3	72.5575	
demographic.popSize32	133.5279	187.7432	72.3018	0.0114	467.0565	995.9963	0.0715	72.3289	
demographic.popSize33	135.8719	197.8397	73.2583	2.8044E-3	475.1556	984.3493	0.0585	73.2755	
demographic.popSize34	136.3365	192.9316	73.4948	2.0769E-3	476.063	939.1778	2.0769E-3	73.4948	
demographic.popSize35	133.9713	192.013	70.7565	2.9553E-3	480.2756	1018.9217	0.0115	70.7565	
demographic.popSize36	135.5004	193.5821	71.7418	4.9627E-3	479.9259	976.6967	0.0348	71.7489	
demographic.popSize37	134.1521	183.6343	71.2657	0.0232	480.4821	982.9462	0.0232	71.2657	
demographic.popSize38	131.9059	183.6389	70.9657	0.0129	459.7065	1079.0882	0.027	70.9735	
demographic.popSize39	134.3331	191.2879	71.4825	5.0612E-3	475.4916	1082.0229	0.0143	71.4825	
demographic.popSize40	136.2246	191.4418	72.5261	7.5766E-4	481.0412	984.4328	1.6949E-3	72.5261	
demographic.popSize41	132.7642	187.3113	72.1746	2.0789E-3	466.4302	1025.1363	4.6912E-3	72.1746	
demographic.popSize42	139.2426	191.2294	77.8837	5.3335E-4	480.8415	1000.8372	5.3335E-4	77.8837	
demographic.popSize43	137.1475	190.5225	74.7694	7.3594E-4	488.128	972.9605	9.2689E-3	74.7759	
demographic.popSize44	131.9245	180.6954	73.0391	8.7852E-4	460.6246	1009.2331	5.7853E-3	73.0391	
demographic.popSize45	136.5613	194.2691	73.4274	6.4432E-3	482.5131	1026.6029	0.0169	73.4274	
demographic.popSize46	134.6841	193.5963	70.33	0.0239	472.6271	1028.8946	0.0239	70.33	
demographic.popSize47	136.9185	188.7383	75.2903	1.982E-3	480.198	989.9001	1.982E-3	75.2903	
demographic.popSize48	130.5613	177.5065	70.1228	9.993E-3	457.4352	1044.6969	9.993E-3	70.1275	
demographic.popSize49	134.8621	183.7627	73.1287	9.2677E-4	471.0481	1023.8682	0.036	73.1449	
demographic.popSize50	134.1583	186.0682	72.2735	0.0174	473.8912	1004.2644	5.4537E-3	72.2735	
demographic.popSize51	133.4162	188.0011	72.694	9.2093E-3	461.1773	1019.3399	9.2093E-3	72.694	
demographic.popSize52	135.285	191.8076	73.783	1.4448E-4	475.6475	1034.2836	0.0172	73.7969	
demographic.popSize53	135.6188	189.8185	72.5177	3.6832E-5	472.7832	961.8894	3.6832E-5	72.5177	
demographic.popSize54	134.5856	187.7072	74.132	6.7495E-3	463.5126	1073.4434	7.9714E-4	74.132	
demographic.popSize55	135.8617	193.242	76.1193	3.9932E-3	450.8824	1037.3895	0.0158	76.1226	
demographic.popSize56	134.76	187.1999	75.2509	8.9956E-3	456.3328	990.0336	0.0277	75.2734	
demographic.popSize57	133.8765	183.1665	73.8077	3.3443E-3	472.3145	995.7053	0.01	73.8112	
demographic.popSize58	138.5358	191.0806	76.1914	3.8572E-3	476.0182	996.9037	0.088	76.2249	
demographic.popSize59	134.3135	188.0982	73.1712	4.9962E-3	458.4037	1000.1349	0.0118	73.1758	
demographic.popSize60	135.6475	190.262	74.6971	3.5378E-4	460.0891	1000.0178	0.0113	74.6971	
demographic.popSize61	132.6674	179.9036	73.3745	4.5965E-4	459.7086	993.4898	2.0252E-3	73.3745	
demographic.popSize62	138.5988	192.756	78.617	3.8828E-3	469.9392	983.5491	0.0858	78.6433	
demographic.popSize63	135.8288	184.9055	74.8953	5.3611E-4	464.5482	940.5101	0.0104	74.8976	
demographic.popSize64	135.7757	188.5139	74.8366	0.0122	467.3851	1045.585	0.0122	74.8366	
demographic.popSize65	135.6951	190.1509	73.025	9.0549E-3	473.3035	928.2074	9.0549E-3	73.025	
demographic.popSize66	133.2854	187.2723	74.3128	3.6613E-3	465.4281	1033.7024	2.4383E-3	74.3128	
demographic.popSize67	138.8319	199.9148	72.3498	3.7359E-4	485.8466	970.5966	3.7359E-4	72.3498	
demographic.popSize68	134.1253	185.0667	74.3164	9.0805E-4	465.4895	971.9804	9.0805E-4	74.3164	
demographic.popSize69	133.8671	186.5727	73.0137	1.0846E-3	456.4515	1077.7075	1.0846E-3	73.0137	
demographic.popSize70	138.9684	194.019	74.8837	8.9109E-3	485.9361	981.8403	2.3928E-3	74.8837	
demographic.popSize71	134.4953	184.7241	74.4392	3.6976E-3	462.6509	973.7295	5.4047E-3	74.4405	
demographic.popSize72	135.1758	189.8265	73.8447	0.0103	462.7293	1037.4153	0.0284	73.8542	
demographic.popSize73	134.0562	191.1653	72.62	6.5297E-3	472.3518	1022.5491	0.0307	72.6432	
