burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15047.1284	162.1225	-15036.269	-15356.0579	-14741.5896	232.1493	-15134.5463	-14912.4661	
prior	-7030.7444	161.4067	-7021.4162	-7334.7832	-6727.2658	231.1661	-7106.5745	-6884.3706	
likelihood	-8016.384	18.6008	-8015.6482	-8054.3942	-7980.6775	496.7462	-8026.8112	-8002.4574	
treeModel.rootHeight	138.9282	45.8742	129.7751	65.1233	229.5785	266.3093	93.4945	144.6336	
age(root)	1882.0718	45.8742	1891.2249	1791.4215	1955.8767	266.3093	1876.3664	1927.5055	
treeLength	1919.9615	364.3816	1857.0197	1282.447	2682.1375	211.9813	1601.7226	2008.0492	
tmrca(ingroup)	138.9282	45.8742	129.7751	65.1233	229.5785	266.3093	93.4945	144.6336	
age(ingroup)	1882.0718	45.8742	1891.2249	1791.4215	1955.8767	266.3093	1876.3664	1927.5055	
demographic.populationSizeChanges	2.902	0.7268	3	2	4	482.782	3	3	
demographic.populationMean	113.759	128.4259	80.6592	14.2253	281.8471	235.3879	27.8621	87.736	
demographic.popSize1	62.8791	58.2347	50.4608	0.1491	159.8295	300.1075	10.3169	58.1465	
demographic.popSize2	111.7028	198.8253	53.7249	7.9102E-3	403.1948	652.4263	9.0164E-3	53.7249	
demographic.popSize3	113.7923	203.5766	54.1727	2.5908E-3	400.4811	632.7119	3.1102E-3	54.1727	
demographic.popSize4	110.6614	211.3345	51.4611	1.5991E-3	390.6168	606.7157	1.6466E-4	51.4611	
demographic.popSize5	113.8136	211.8883	54.9449	9.1317E-5	400.8382	598.9518	9.1317E-5	54.9449	
demographic.popSize6	113.5586	210.3974	53.3807	2.3675E-3	389.9606	630.3224	5.162E-3	53.3807	
demographic.popSize7	112.4587	226.5416	52.8834	5.0602E-4	391.1928	650.9399	5.0602E-4	52.8834	
demographic.popSize8	109.2432	197.6947	51.9311	0.0349	378.732	608.1834	0.045	51.9416	
demographic.popSize9	107.5041	205.347	47.6562	5.8431E-4	397.8214	587.4849	5.8431E-4	47.6562	
demographic.popSize10	115.0705	219.1423	53.6686	8.5048E-3	406.039	574.8637	0.0332	53.6896	
demographic.popSize11	112.6144	205.317	54.3609	2.2542E-3	400.6544	590.5611	0.0139	54.3613	
demographic.popSize12	115.1445	230.2278	52.4639	3.7105E-3	405.1078	552.5643	0.0229	52.4804	
demographic.popSize13	114.4475	208.7782	55.1699	0.0116	396.7482	626.066	0.0116	55.1699	
demographic.popSize14	106.918	189.0279	49.5616	8.3095E-3	396.6426	574.7408	0.0125	49.5621	
demographic.popSize15	104.4063	226.9425	46.2361	4.489E-3	372.9188	554.341	4.8784E-3	46.2361	
demographic.popSize16	111.2871	213.7674	51.7533	5.1521E-4	396.1874	577.0342	5.1521E-4	51.7533	
demographic.popSize17	108.1117	209.2209	48.9048	0.0134	385.9272	632.5524	0.0139	48.9048	
demographic.popSize18	113.7865	202.4419	54.5841	2.4609E-3	402.2235	639.615	0.0129	54.5883	
demographic.popSize19	111.6562	203.0052	52.6349	3.7634E-3	397.1199	606.5031	5.7193E-3	52.6349	
demographic.popSize20	80.7655	142.6763	32.3004	6.9516E-3	330.7643	638.9568	0.0439	32.3345	
demographic.popSize21	98.4191	213.0355	39.921	9.5007E-3	368.2557	606.8407	0.0216	39.939	
demographic.popSize22	104.6899	203.8955	44.6331	2.9404E-5	385.7828	557.4413	2.9404E-5	44.6331	
demographic.popSize23	107.3403	208.1462	47.5727	1.532E-3	391.0093	615.1276	1.532E-3	47.5727	
demographic.popSize24	116.7241	229.1697	54.0688	3.8065E-3	405.8557	591.919	3.8065E-3	54.0688	
demographic.popSize25	114.301	222.9542	54.2785	5.3279E-4	405.1177	591.384	5.3279E-4	54.2785	
demographic.popSize26	107.2767	217.7824	50.1785	3.5181E-3	372.8692	635.8794	3.5181E-3	50.1785	
demographic.popSize27	113.1658	200.8641	55.0927	0.0102	399.733	649.7215	5.1881E-4	55.0927	
demographic.popSize28	112.7912	209.7315	54.7979	2.8402E-3	391.1044	546.4189	4.3655E-3	54.7979	
demographic.popSize29	116.7395	232.5831	54.9293	0.0222	412.7017	632.9904	0.0222	54.9293	
demographic.popSize30	113.3735	207.8759	54.5313	2.3179E-3	407.5753	648.7339	0.0116	54.5313	
demographic.popSize31	112.2492	200.3312	54.0144	7.1727E-4	395.5823	700.4269	6.0855E-3	54.0144	
demographic.popSize32	111.8015	196.4879	55.4181	5.04E-3	401.7844	596.6837	5.04E-3	55.4181	
demographic.popSize33	111.5817	195.0035	53.6141	7.8951E-3	401.3385	632.8416	2.0724E-3	53.6141	
demographic.popSize34	115.7073	213.6572	55.1278	7.0942E-4	411.38	574.335	7.0942E-4	55.1278	
demographic.popSize35	115.436	211.8972	55.8497	3.1313E-3	401.9039	699.7915	3.1313E-3	55.8497	
demographic.popSize36	113.7702	213.6602	53.7697	6.6186E-3	396.6305	574.9747	0.0151	53.7697	
demographic.popSize37	115.7104	238.2034	53.9351	4.8305E-3	398.3125	648.7157	4.8305E-3	53.9351	
demographic.popSize38	113.7326	215.1755	53.2029	1.7342E-3	402.4799	614.7988	0.0134	53.2092	
demographic.popSize39	113.5693	197.6178	56.5778	6.7172E-4	399.9601	682.8749	6.7172E-4	56.5778	
demographic.popSize40	113.4056	199.6526	56.27	0.0204	388.1224	606.0503	0.0159	56.27	
demographic.popSize41	114.8208	214.4844	55.8297	4.1177E-4	393.7894	630.0686	4.1177E-4	55.8297	
demographic.popSize42	112.2734	204.363	54.4916	3.4139E-3	399.3798	640.7597	0.014	54.4916	
demographic.popSize43	112.487	200.7218	53.5691	3.3798E-3	397.0852	610.2688	1.8482E-4	53.5691	
demographic.popSize44	112.9301	205.6472	54.2336	1.3804E-3	388.2687	644.8171	9.5737E-3	54.2336	
demographic.popSize45	112.8015	203.1946	55.1892	9.9E-4	388.5539	648.5311	0.0128	55.1892	
demographic.popSize46	114.105	220.9053	54.6273	4.3502E-3	400.0065	640.255	9.7208E-3	54.6273	
demographic.popSize47	112.4459	228.4782	53.7717	3.4024E-4	378.187	603.8946	3.4024E-4	53.7717	
demographic.popSize48	112.6193	188.5502	55.9096	5.1942E-3	399.4881	645.6241	5.1942E-3	55.9096	
