burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15328.8575	196.0728	-15322.417	-15691.6231	-14945.8047	216.3495	-15453.6117	-15175.9745	
prior	-7292.5876	195.9382	-7288.63	-7652.6327	-6900.2844	215.5377	-7425.0963	-7147.5124	
likelihood	-8036.2699	17.5727	-8036.312	-8070.9598	-8001.4177	676.5802	-8048.3903	-8024.9763	
treeModel.rootHeight	248.7436	75.0089	240.8541	111.1623	396.7025	283.5512	176.9364	275.0971	
age(root)	1774.2564	75.0089	1782.1459	1626.2975	1911.8377	283.5512	1747.9029	1846.0636	
treeLength	3375.0362	713.4895	3314.7076	2170.0386	4722.9112	206.534	2680.9467	3715.528	
tmrca(ingroup)	248.7436	75.0089	240.8541	111.1623	396.7025	283.5512	176.9364	275.0971	
age(ingroup)	1774.2564	75.0089	1782.1459	1626.2975	1911.8377	283.5512	1747.9029	1846.0636	
demographic.populationSizeChanges	2.6071	0.6971	2	2	4	542.3698	2	2	
demographic.populationMean	286.3507	388.3079	165.0759	17.2668	870.5504	233.7311	23.2883	168.2064	
demographic.popSize1	443.4729	508.8346	188.1714	5.013	1495.9231	226.0589	11.5764	189.6575	
demographic.popSize2	282.7264	590.5098	108.7906	0.0105	1065.3351	553.537	0.0105	108.7953	
demographic.popSize3	291.9953	652.6441	110.3145	0.0516	1113.2812	582.0581	0.1111	110.3724	
demographic.popSize4	283.05	594.0892	108.5646	4.0693E-3	1088.4916	538.8231	0.0271	108.5646	
demographic.popSize5	282.1691	579.5159	108.129	7.0706E-3	1094.6192	577.2161	7.0706E-3	108.129	
demographic.popSize6	280.5242	598.8072	107.7272	0.0244	1091.2379	607.9573	0.0382	107.7284	
demographic.popSize7	286.2359	611.2316	108.7048	7.308E-3	1081.2872	560.4936	0.029	108.7048	
demographic.popSize8	271.3047	589.9347	97.3767	6.376E-3	1064.0909	551.6572	6.376E-3	97.3767	
demographic.popSize9	95.6762	222.0088	21.2168	9.0417E-3	413.6533	579.7254	0.0377	21.2168	
demographic.popSize10	288.2303	648.0375	105.3717	2.4356E-3	1093.7653	567.1708	5.2613E-3	105.3717	
demographic.popSize11	288.9222	676.9542	104.434	1.9767E-3	1181.6522	556.9589	0.0323	104.4599	
demographic.popSize12	281.2012	567.9528	107.7012	8.6332E-3	1093.1527	578.0707	0.1009	107.7476	
demographic.popSize13	292.1943	666.4049	106.485	4.2191E-3	1091.7926	614.1471	4.0445E-3	106.485	
demographic.popSize14	275.8161	579.1462	99.9179	0.0428	1098.0779	506.9487	0.1308	99.9907	
demographic.popSize15	283.6667	628.4315	106.2636	0.0191	1082.8462	601.6355	0.0319	106.2636	
demographic.popSize16	273.0168	602.5076	99.5478	1.2231E-3	1039.3662	581.7866	2.2069E-3	99.5478	
demographic.popSize17	286.5871	662.1457	105.6081	6.7252E-3	1087.8158	605.9386	1.1729E-3	105.6081	
demographic.popSize18	279.6755	615.6737	103.4262	8.1193E-3	1116.3926	589.7825	0.0356	103.4406	
demographic.popSize19	276.407	625.9455	99.9749	1.6803E-3	1052.8536	525.6235	6.0201E-3	99.9768	
demographic.popSize20	283.9675	600.3676	106.677	9.7199E-3	1104.2881	561.6336	0.0343	106.6881	
demographic.popSize21	286.3703	666.0287	102.3155	3.7489E-3	1094.7552	543.5274	2.9476E-3	102.3155	
demographic.popSize22	283.9022	691.2817	99.1393	3.046E-3	1116.8643	554.4169	3.046E-3	99.1393	
demographic.popSize23	279.2541	656.4176	92.8375	0.0147	1114.3669	527.1929	0.0147	92.8375	
demographic.popSize24	286.5966	626.6806	103.4434	4.3186E-3	1092.5769	556.3955	4.7103E-4	103.4434	
demographic.popSize25	286.4222	587.1897	110.1298	0.038	1098.8371	557.5431	0.0317	110.1298	
demographic.popSize26	279.0628	582.6437	107.0435	0.0169	1057.4895	585.781	0.0134	107.0435	
demographic.popSize27	276.4892	585.952	104.2153	0.0104	1080.2723	572.3387	0.0104	104.2153	
demographic.popSize28	286.1804	641.6951	106.6739	2.3576E-3	1095.3457	552.2972	2.3576E-3	106.6739	
demographic.popSize29	288.4672	617.7159	106.9218	2.0895E-3	1089.1476	547.3427	2.0895E-3	106.9218	
demographic.popSize30	285.5133	648.369	107.7658	3.7888E-3	1088.7252	574.9942	0.053	107.8012	
demographic.popSize31	281.6164	646.0778	103.0146	0.0276	1069.0706	581.7856	9.1456E-3	103.0146	
demographic.popSize32	283.8719	603.2115	110.3539	0.0105	1071.4774	550.5848	0.0324	110.3576	
demographic.popSize33	290.5284	616.5311	110.586	5.6731E-3	1108.4523	567.9923	0.0362	110.602	
demographic.popSize34	288.3944	640.9375	113.2955	1.1987E-3	1082.0055	571.4892	0.0184	113.3037	
demographic.popSize35	291.3648	612.2227	107.4858	0.0191	1134.4294	518.8018	0.0191	107.4858	
demographic.popSize36	296.3129	684.1013	112.3171	6.4618E-3	1144.1732	584.8387	6.4618E-3	112.3171	
demographic.popSize37	283.2059	585.3046	109.7253	3.6112E-3	1116.7724	580.0027	4.3844E-3	109.7253	
demographic.popSize38	282.7942	605.0232	108.5453	8.2449E-4	1091.2858	547.4474	8.2449E-4	108.5453	
demographic.popSize39	283.3267	590.092	109.2513	7.1587E-4	1072.6717	607.5691	7.1587E-4	109.2513	
demographic.popSize40	280.0917	608.7457	108.5296	9.425E-4	1063.248	583.6038	9.425E-4	108.5296	
demographic.popSize41	284.8424	636.241	114.0557	2.1855E-3	1090.2863	584.9566	0.0433	114.0557	
demographic.popSize42	283.5523	606.6524	110.441	4.9255E-3	1050.0115	584.9511	0.0434	110.4791	
demographic.popSize43	282.0689	586.6705	109.0959	1.1382E-3	1096.9071	573.8177	1.1382E-3	109.0959	
demographic.popSize44	282.6685	582.6766	111.7774	8.0172E-3	1066.9413	548.8903	0.0258	111.7879	
demographic.popSize45	276.5974	587.3549	108.3796	0.012	1072.6663	504.3399	0.012	108.3796	
demographic.popSize46	285.8709	621.7288	111.1942	9.608E-3	1074.0153	534.6963	0.0213	111.2074	
demographic.popSize47	278.957	560.1719	114.2163	9.8894E-3	1089.2233	564.1414	9.8894E-3	114.2163	
demographic.popSize48	287.4756	659.7499	113.9603	0.0182	1075.5776	552.6132	0.0102	113.9603	
demographic.popSize49	279.6362	560.0791	114.7978	1.4736E-3	1085.23	581.8552	0.052	114.8396	
demographic.popSize50	277.5635	539.1911	117.358	1.5111E-5	1070.2027	577.7251	1.5111E-5	117.358	
demographic.popSize51	286.6879	615.6291	110.3416	0.0221	1082.3224	521.014	0.0368	110.3472	
demographic.popSize52	282.0924	574.7269	113.91	1.4122E-3	1074.4153	546.0672	0.0425	113.9438	
demographic.popSize53	281.5822	587.1014	113.1172	0.0184	1063.9313	614.6638	0.0184	113.1172	
demographic.popSize54	286.2308	627.5562	116.4789	0.0202	1085.6641	576.2748	0.0202	116.4789	
demographic.popSize55	276.8024	549.2297	121.3713	0.0194	1043.337	577.1477	0.0476	121.3891	
demographic.popSize56	278.1894	573.9749	114.8825	2.9466E-3	1061.4672	552.1337	2.9466E-3	114.8825	
demographic.popSize57	278.2156	575.3533	118.1274	4.5332E-3	1002.4158	612.7943	2.1378E-3	118.1274	
demographic.popSize58	284.0344	579.1821	119.2888	4.5581E-3	1070.6012	557.0259	0.1293	119.4026	
demographic.popSize59	266.5653	531.9951	115.1344	0.0128	1004.4064	573.6524	0.017	115.1344	
demographic.popSize60	289.1677	696.3928	113.7203	4.1804E-3	1069.5297	591.6105	4.1804E-3	113.7203	
demographic.popSize61	282.9318	567.61	110.1326	0.0198	1108.5929	546.9596	0.0198	110.1326	
demographic.popSize62	286.0471	629.5437	113.625	5.7799E-3	1092.2893	605.3694	0.0448	113.6497	
demographic.popSize63	293.5682	646.9786	113.2947	0.0161	1097.4771	529.9855	0.01	113.2947	
demographic.popSize64	285.204	599.0127	117.9131	5.729E-4	1071.587	578.7053	0.0323	117.9194	
demographic.popSize65	289.2756	696.9101	113.3054	0.0154	1083.1251	715.1965	0.0154	113.3054	
demographic.popSize66	275.7026	578.0268	113.3091	0.0327	1061.3529	584.0091	0.034	113.3091	
demographic.popSize67	297.821	690.0417	112.8339	3.8063E-3	1129.6934	572.982	0.0745	112.8551	
demographic.popSize68	277.5511	583.2857	111.5443	8.6693E-3	1076.2301	611.4361	8.6693E-3	111.5443	
demographic.popSize69	289.7139	619.7291	115.1265	7.8086E-3	1085.9746	517.9848	0.0267	115.1265	
demographic.popSize70	287.2338	635.7567	111.654	5.021E-3	1108.4826	554.1661	0.0308	111.6587	
demographic.popSize71	284.1049	626.8846	112.1468	0.0122	1065.4894	649.0167	0.0102	112.1468	
demographic.popSize72	285.7027	615.1867	110.1341	6.0098E-5	1082.7466	564.3503	6.0098E-5	110.1341	
demographic.popSize73	279.5902	562.7234	111.4287	1.6363E-3	1053.1188	552.4761	0.03	111.4336	
demographic.popSize74	293.2319	655.1852	112.703	0.0299	1100.2916	590.7257	0.0282	112.7145	
demographic.popSize75	284.0107	610.7478	110.0516	0.0323	1078.1504	582.4166	0.0323	110.0516	
demographic.popSize76	288.1574	618.0942	113.6526	9.0341E-3	1100.231	554.7985	9.0341E-3	113.6526	
demographic.popSize77	297.7316	738.1081	109.8636	0.029	1123.9262	624.7761	0.048	109.8747	
demographic.popSize78	283.0403	630.9654	110.438	0.0143	1083.4554	631.1463	8.0185E-3	110.438	
demographic.popSize79	284.1673	604.5288	109.7974	0.0104	1092.1776	564.8947	0.0104	109.7974	
demographic.popSize80	282.5402	592.7727	112.3047	0.0121	1072.6317	548.8069	0.0347	112.3172	
demographic.popSize81	283.7489	628.9519	107.6377	6.3911E-3	1060.7749	600.8349	0.0414	107.6562	
demographic.popSize82	279.1374	590.0386	109.331	0.0309	1075.2751	590.8996	0.0456	109.3351	
demographic.popSize83	289.0977	633.3648	107.8138	0.0142	1115.5851	542.5351	0.0463	107.8195	
demographic.popSize84	290.0418	626.8393	107.4359	0.0263	1131.9604	554.4719	1.8746E-3	107.4359	
demographic.popSize85	292.2758	618.1057	113.1667	0.0285	1112.6332	551.4511	0.0617	113.1667	
demographic.popSize86	285.5843	607.8739	108.2717	0.0241	1112.3138	548.7886	0.019	108.2717	
demographic.popSize87	285.1525	602.3672	109.1599	6.0514E-3	1096.9281	523.1361	6.0514E-3	109.1599	
demographic.popSize88	280.207	580.6772	108.0684	0.0127	1085.087	610.5824	0.0201	108.0684	
demographic.popSize89	291.3223	643.558	110.6502	1.7887E-3	1115.8791	526.455	1.7887E-3	110.6502	
demographic.popSize90	284.022	608.5721	107.9236	6.0198E-3	1093.6746	547.6651	2.3691E-3	107.9236	
demographic.popSize91	290.4201	622.3384	110.9386	1.0896E-3	1085.4844	533.7982	1.0896E-3	110.9386	
demographic.popSize92	286.2738	613.4929	108.2786	2.8997E-4	1123.6826	554.4065	7.3627E-3	108.2822	
demographic.popSize93	289.251	609.1685	109.4413	7.4448E-4	1118.1523	576.3187	0.0272	109.4493	
demographic.popSize94	284.4029	598.0182	109.4784	6.151E-3	1087.0235	639.5502	6.151E-3	109.4784	
demographic.popSize95	286.0276	623.7163	108.2367	4.38E-3	1076.552	518.8998	0.0278	108.2367	
demographic.popSize96	280.0111	578.4087	111.4066	0.0198	1099.614	580.96	0.187	111.5735	
demographic.popSize97	287.4522	653.6556	108.8868	5.9878E-3	1118.8499	567.385	5.9878E-3	108.8868	
demographic.popSize98	295.5826	721.6145	107.364	2.1965E-3	1116.1869	586.3018	2.1965E-3	107.364	
demographic.popSize99	285.013	597.4936	108.4338	0.0286	1111.6718	546.0318	5.3591E-3	108.4338	
demographic.popSize100	280.5429	603.4422	106.4344	3.8161E-4	1053.3417	561.6962	3.8161E-4	106.4344	
demographic.popSize101	283.867	636.9104	110.2596	3.2635E-3	1082.3774	556.9209	3.2635E-3	110.2596	
demographic.popSize102	282.1651	570.8642	109.2091	3.6714E-3	1092.9812	557.0478	0.0284	109.2161	
demographic.popSize103	277.2621	559.1756	107.9355	6.0198E-3	1078.1598	591.2551	2.2406E-3	107.9355	
demographic.popSize104	289.0955	649.1112	108.4976	3.948E-3	1108.1055	610.4431	6.9136E-3	108.4976	
demographic.popSize105	283.595	596.7615	109.2619	1.1412E-3	1076.4441	555.0854	4.6941E-4	109.2619	
demographic.popSize106	294.8935	676.1685	110.6798	6.7021E-3	1131.8827	575.9695	6.7021E-3	110.6798	
demographic.popSize107	288.8213	603.5511	113.2451	0.0158	1133.9962	572.5825	3.7073E-3	113.2451	
demographic.popSize108	292.2117	625.7222	111.6728	2.9034E-3	1127.0465	546.4747	2.9034E-3	111.6728	
demographic.popSize109	289.4972	644.2113	108.8442	0.0133	1083.9761	561.3422	0.0133	108.8442	
demographic.popSize110	286.4949	620.2411	107.4208	4.4581E-3	1115.7761	570.2957	5.9401E-3	107.4208	
demographic.popSize111	279.722	575.1525	107.2823	2.1981E-4	1068.9176	552.5669	0.0411	107.3063	
demographic.popSize112	282.6395	640.1807	106.446	0.0373	1075.4445	577.6757	0.0115	106.446	
demographic.popSize113	281.8588	603.4693	108.3554	5.2708E-4	1077.577	563.6556	5.2708E-4	108.3554	
demographic.popSize114	285.5464	629.2733	106.7878	5.8311E-3	1106.0839	577.9362	5.8311E-3	106.7878	
demographic.popSize115	292.2861	648.7226	112.3079	3.7562E-3	1134.6862	573.1913	2.6535E-3	112.3079	
demographic.popSize116	288.7829	648.9791	110.5957	0.0154	1074.4699	587.9585	0.0181	110.5957	
demographic.popSize117	282.8309	609.5555	108.7656	0.0118	1098.8676	556.1981	7.0254E-3	108.7656	
demographic.popSize118	286.9452	604.4709	109.7497	9.5264E-3	1085.5785	519.727	5.8889E-3	109.7497	
demographic.popSize119	286.6582	620.411	108.3234	5.8239E-4	1080.9367	555.2527	5.8239E-4	108.3234	
demographic.popSize120	284.7396	725.4732	105.0644	0.0285	1100.0856	697.8314	0.0279	105.0644	
demographic.popSize121	286.4478	638.2316	107.2607	0.0149	1126.2831	613.8425	0.0115	107.2607	
demographic.popSize122	284.1723	575.7668	111.7252	0.0209	1069.3906	574.224	9.889E-3	111.7252	
demographic.popSize123	288.6533	670.3107	111.291	0.0233	1081.4731	580.0762	0.0325	111.299	
demographic.popSize124	293.9784	653.7369	108.3332	0.0253	1115.9556	573.1619	0.0253	108.3332	
demographic.popSize125	290.7865	654.988	107.6012	0.014	1145.5998	570.3194	0.014	107.6012	
demographic.popSize126	282.8894	664.5732	109.6291	6.0332E-3	1064.0901	628.1538	6.0332E-3	109.6291	
demographic.popSize127	288.392	613.8969	108.6182	0.0107	1078.7987	550.0354	0.0611	108.654	
demographic.popSize128	295.5675	637.7883	111.8826	7.7834E-3	1128.283	555.4454	7.7834E-3	111.8826	
demographic.popSize129	294.004	647.948	111.9996	0.0316	1136.8644	529.7312	6.4392E-3	111.9996	
demographic.popSize130	286.9399	587.1908	111.292	7.0309E-3	1099.6488	546.668	7.0309E-3	111.292	
demographic.popSize131	283.2552	642.7757	106.2278	2.6972E-3	1078.9917	604.9773	6.2627E-3	106.2278	
demographic.popSize132	284.2455	584.0429	109.9521	3.3541E-3	1088.4318	583.2609	0.0303	109.9551	
demographic.popSize133	296.0191	688.5227	109.3717	0.0102	1130.4111	595.0853	0.0102	109.3717	
demographic.popSize134	280.5088	590.234	105.891	2.6551E-3	1054.982	536.3972	2.6551E-3	105.891	
demographic.popSize135	290.5621	620.8428	111.0684	6.5698E-3	1112.2903	539.8375	0.0278	111.0684	
demographic.popSize136	285.0667	608.0836	107.6684	0.0122	1101.7196	574.9268	0.044	107.6824	
demographic.popSize137	283.3819	607.2497	107.1787	3.0866E-3	1109.2738	566.9843	0.0656	107.1923	
demographic.popSize138	285.7585	607.2123	107.6363	0.0226	1093.066	535.4087	0.0213	107.6363	
demographic.popSize139	284.3887	621.8444	109.6395	8.7725E-3	1096.5368	562.693	8.7725E-3	109.6395	
demographic.popSize140	282.3145	579.5711	108.7922	4.7859E-3	1084.17	574.8416	0.05	108.8308	
demographic.popSize141	289.2095	608.1903	111.1377	5.5315E-4	1095.608	540.2218	0.0143	111.1377	
demographic.popSize142	282.0034	581.8862	110.6062	2.2209E-3	1077.154	558.0416	0.0165	110.6145	
demographic.popSize143	284.552	598.9584	110.16	9.0561E-3	1103.9262	569.813	7.8576E-5	110.16	
demographic.popSize144	287.5777	611.4879	108.6974	0.0149	1115.3644	533.3824	0.0149	108.6974	
demographic.popSize145	287.7246	640.6487	106.7356	5.5893E-3	1130.8509	551.1862	2.6366E-3	106.7356	
demographic.popSize146	281.7993	637.8626	109.4445	0.0117	1071.1974	607.7624	0.0117	109.4445	
demographic.popSize147	285.8186	607.441	111.852	0.0106	1094.3038	596.0242	0.0189	111.852	
demographic.popSize148	287.7088	628.1596	109.6601	0.0376	1087.3946	581.5285	0.0376	109.6757	
demographic.popSize149	287.6671	627.9098	107.8916	0.0717	1096.1405	525.461	0.0717	107.8977	
demographic.popSize150	283.8159	619.6653	107.1104	2.1764E-3	1098.2924	568.1045	8.8334E-3	107.1127	
demographic.popSize151	290.0415	625.0636	109.3825	4.9137E-4	1090.0452	548.86	0.0104	109.3825	
demographic.popSize152	292.8888	655.0919	108.4243	0.0145	1115.9929	569.8123	6.855E-3	108.4243	
demographic.popSize153	294.7156	643.1019	109.3161	0.016	1151.1389	529.5442	0.0133	109.3161	
demographic.popSize154	276.4983	583.8847	108.3205	0.0263	1055.5141	589.1854	9.9002E-3	108.3205	
demographic.popSize155	285.857	580.2915	111.3227	0.0194	1099.301	562.9465	0.0166	111.3227	
demographic.popSize156	282.2647	591.0781	105.6243	0.04	1100.2464	571.1233	0.0413	105.6391	
demographic.popSize157	288.9541	615.9334	111.1324	0.0277	1118.931	553.6006	0.0694	111.1638	
demographic.popSize158	283.4292	644.6358	109.6799	2.519E-3	1072.9266	646.211	2.9598E-3	109.6799	
demographic.popSize159	289.7211	586.0723	113.4653	0.0156	1121.8977	561.7349	0.0156	113.4653	
demographic.popSize160	289.1984	636.5746	106.7381	1.2099E-3	1119.1512	564.314	0.0255	106.7467	
demographic.popSize161	282.2372	567.676	112.0356	1.8053E-3	1085.4067	599.4523	1.8053E-3	112.0356	
demographic.popSize162	278.482	556.5688	110.1587	5.8571E-4	1085.157	591.9726	0.0382	110.1687	
demographic.popSize163	285.4872	584.275	108.5916	3.4158E-3	1107.4198	556.1834	3.4158E-3	108.5916	
demographic.popSize164	284.8544	599.0039	109.5262	2.9521E-3	1076.5645	543.8264	0.0134	109.5262	
demographic.popSize165	285.1309	571.3776	110.6673	5.6813E-4	1114.9693	534.3615	5.6813E-4	110.6673	
demographic.popSize166	282.0771	633.6408	107.5671	0.0226	1071.3759	585.7606	0.0226	107.5671	
demographic.popSize167	287.5922	607.7554	107.2479	5.2219E-3	1120.3908	558.3487	0.0291	107.2492	
demographic.popSize168	285.8467	573.7011	109.2427	1.1027E-3	1129.6204	537.4231	1.1027E-3	109.2427	
demographic.popSize169	283.3187	587.6264	109.8264	0.0132	1087.7954	520.6252	0.0132	109.8264	
demographic.popSize170	287.7006	618.7809	109.9178	4.4347E-4	1084.0507	589.7406	0.0461	109.9472	
demographic.popSize171	287.6245	637.4026	106.4072	1.8959E-3	1102.4238	603.796	0.0139	106.4084	
demographic.popSize172	287.8323	615.1647	105.9219	1.6793E-3	1140.1101	589.5272	0.0352	105.946	
demographic.popSize173	291.6492	677.1411	109.769	0.0376	1142.2141	634.5657	0.0557	109.7757	
demographic.popSize174	288.4563	594.012	109.1586	3.2835E-3	1142.919	547.6832	2.2593E-3	109.1586	
demographic.popSize175	286.3399	634.1521	109.2558	4.2108E-3	1102.5024	624.1919	0.0128	109.2559	
demographic.popSize176	286.3744	599.0707	111.725	0.0243	1105.8611	548.8234	1.4567E-3	111.725	
demographic.popSize177	282.0249	593.5248	110.5058	0.0141	1104.2032	584.6687	0.0141	110.5058	
demographic.popSize178	289.6688	598.0626	110.1736	0.0163	1148.3831	513.5286	0.0373	110.1801	
demographic.popSize179	281.1022	614.0662	107.4928	0.0243	1044.9081	547.5189	0.0243	107.5107	
demographic.popSize180	284.1729	586.3154	108.5635	4.1242E-3	1088.6154	540.6956	4.1242E-3	108.5635	
demographic.popSize181	290.5406	628.2619	109.2177	1.2754E-3	1107.1729	596.1992	0.0286	109.2298	
demographic.popSize182	279.435	555.6558	110.4509	0.022	1101.4853	548.9695	3.2425E-3	110.4509	
demographic.popSize183	278.5038	577.6324	107.2008	0.0105	1070.4005	559.1118	0.0367	107.2101	
demographic.popSize184	286.4042	606.0749	109.7525	2.8244E-3	1076.932	539.2195	5.479E-3	109.7525	
demographic.popSize185	284.8957	623.9223	108.4846	0.0156	1118.575	605.0496	0.0156	108.4846	
demographic.popSize186	291.3301	710.6564	108.0481	7.3046E-3	1116.9969	554.3618	7.3046E-3	108.0481	
demographic.popSize187	282.1186	613.3061	107.8786	0.011	1080.4042	554.7891	3.2204E-3	107.8786	
demographic.popSize188	288.1172	671.6078	108.7078	5.6177E-4	1106.7522	578.5276	5.6177E-4	108.7078	
demographic.popSize189	296.0783	767.8877	110.4144	0.02	1106.3079	718.0783	0.02	110.4144	
demographic.popSize190	282.622	601.127	107.2143	0.0429	1075.1079	572.7192	0.0429	107.2183	
demographic.popSize191	288.9865	628.0669	111.5121	7.9721E-3	1082.1337	538.1794	0.0672	111.5472	
demographic.popSize192	282.006	583.7926	107.4152	7.5027E-3	1087.9423	590.1381	3.9666E-4	107.4152	
demographic.popSize193	291.8082	703.0953	107.3242	0.0145	1128.134	638.1105	0.0252	107.3242	
demographic.popSize194	280.5328	568.2374	106.0406	2.0543E-3	1092.8287	567.8358	2.0543E-3	106.0406	
demographic.popSize195	287.4195	633.1947	106.7568	4.7361E-3	1103.2914	606.7704	4.7361E-3	106.7568	
demographic.popSize196	281.6816	587.8015	106.7339	5.5429E-3	1098.616	541.6345	0.0249	106.7469	
demographic.popSize197	282.2116	622.289	107.3312	2.3174E-4	1091.3865	583.155	0.0299	107.3501	
demographic.popSize198	283.7535	594.1009	103.5742	8.1927E-3	1124.7083	556.319	8.1927E-3	103.5742	
demographic.popSize199	276.9366	599.2244	98.0489	1.0722E-3	1054.3818	535.1705	0.0433	98.0806	
demographic.popSize200	270.4153	569.0107	101.1896	0.01	1046.8568	593.2973	7.9203E-3	101.1896	
demographic.indicators1	7.6733E-3	0.0873	0	0	0	779.0018	0	0	
demographic.indicators2	4.0893E-3	0.0638	0	0	0	1222.1251	0	0	
demographic.indicators3	4.2693E-3	0.0652	0	0	0	1091.1069	0	0	
