burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15541.8265	139.5799	-15534.9826	-15818.8194	-15275.1636	236.8583	-15627.1175	-15435.7108	
prior	-7342.4828	139.9044	-7337.6056	-7618.6037	-7079.8057	234.1929	-7433.5988	-7240.091	
likelihood	-8199.3437	18.383	-8199.1989	-8235.3791	-8163.5426	688.8823	-8211.3652	-8186.4261	
treeModel.rootHeight	91.6035	27.8167	85.7124	47.222	145.8788	258.4353	64.8939	95.1166	
age(root)	1931.3965	27.8167	1937.2876	1877.1212	1975.778	258.4353	1927.8834	1958.1061	
treeLength	2243.9802	338.8686	2248.2639	1608.9478	2867.1399	206.05	2067.4629	2543.644	
tmrca(ingroup)	91.6035	27.8167	85.7124	47.222	145.8788	258.4353	64.8939	95.1166	
age(ingroup)	1931.3965	27.8167	1937.2876	1877.1212	1975.778	258.4353	1927.8834	1958.1061	
demographic.populationSizeChanges	3.4191	0.6349	3	3	5	741.9992	3	3	
demographic.populationMean	267.648	223.8396	198.9858	32.1354	679.7683	237.4879	71.8177	216.9213	
demographic.popSize1	155.6756	160.9416	101.9751	3.7693	485.8751	246.9672	6.8914	103.9729	
demographic.popSize2	270.2077	426.406	135.2849	5.1556E-3	965.6041	758.1531	3.5123E-3	135.2849	
demographic.popSize3	267.9627	412.2993	136.2956	6.7451E-3	974.7999	769.261	0.1221	136.3695	
demographic.popSize4	271.0453	434.0014	134.7195	0.0119	985.1431	709.361	0.0717	134.7385	
demographic.popSize5	269.5685	433.5264	135.8721	8.9366E-3	961.6815	735.5488	8.9366E-3	135.8721	
demographic.popSize6	261.6506	403.6701	137.6214	0.0246	899.251	755.2336	0.0626	137.6391	
demographic.popSize7	265.4084	413.9741	133.0635	4.0505E-3	955.7563	723.7407	4.0505E-3	133.0635	
demographic.popSize8	260.5017	422.7444	129.808	7.7948E-3	927.3427	776.2601	7.7948E-3	129.808	
demographic.popSize9	267.0019	415.3292	133.9701	7.9014E-3	969.3774	722.1701	7.9014E-3	133.9701	
demographic.popSize10	273.4572	440.6125	136.5162	0.0375	998.0705	752.1854	0.0375	136.5162	
demographic.popSize11	263.2989	400.1423	137.3565	0.0315	940.1611	793.2696	0.0324	137.3599	
demographic.popSize12	253.8971	399.5671	127.3076	3.8265E-3	896.6686	780.8563	0.047	127.3205	
demographic.popSize13	265.2831	440.5205	133.2056	2.2855E-3	923.0978	792.4262	4.8301E-3	133.2056	
demographic.popSize14	258.0246	388.2509	130.3894	9.4229E-4	929.1392	745.775	9.4229E-4	130.3894	
demographic.popSize15	245.284	394.2683	117.8814	8.4247E-3	887.4197	690.0908	8.4247E-3	117.8814	
demographic.popSize16	253.2061	408.7029	124.0452	0.0133	932.2933	728.5895	0.0515	124.0452	
demographic.popSize17	259.4713	403.9922	130.2395	6.862E-3	942.3313	791.2633	0.0685	130.2595	
demographic.popSize18	267.2811	440.8602	132.3701	0.0168	950.4963	713.4645	0.027	132.3701	
demographic.popSize19	171.8347	319.8812	59.7365	8.8615E-3	702.847	582.243	0.0817	59.782	
demographic.popSize20	255.6615	418.8855	120.6195	2.795E-3	938.3598	705.3048	0.0165	120.63	
demographic.popSize21	228.6688	416.5078	102.1058	6.212E-3	848.9049	656.2749	6.212E-3	102.1058	
demographic.popSize22	250.6177	422.1642	117.8833	7.0502E-3	931.5567	711.1431	0.0857	117.9607	
demographic.popSize23	264.0045	397.7668	132.8178	5.8117E-3	943.5221	716.1102	0.0719	132.8828	
demographic.popSize24	266.1978	414.777	133.9017	3.4002E-3	941.4187	759.5698	0.032	133.9095	
demographic.popSize25	262.6645	411.0835	135.3177	2.4195E-3	920.1445	734.696	0.0444	135.3204	
demographic.popSize26	268.1247	417.2499	138.5117	7.8719E-3	947.5526	746.5249	0.0218	138.5117	
demographic.popSize27	264.2051	395.8524	137.8907	8.6795E-3	935.2714	740.3005	8.6795E-3	137.8907	
demographic.popSize28	269.9709	422.8649	136.6883	0.0584	947.372	747.4533	0.0369	136.6883	
demographic.popSize29	274.374	427.4833	141.8488	0.0163	964.7592	736.1122	7.7487E-3	141.8488	
demographic.popSize30	268.132	398.597	137.5745	5.7376E-3	964.9953	743.7475	0.0197	137.5745	
