burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14807.5473	135.5973	-14807.9581	-15067.3365	-14545.9938	246.5905	-14896.1103	-14702.3549	
prior	-7262.9491	135.1871	-7263.7316	-7524.5831	-7000.8865	245.2326	-7359.2951	-7166.0897	
likelihood	-7544.5982	17.8206	-7544.4953	-7579.8746	-7509.6971	992.8622	-7556.2424	-7532.4069	
treeModel.rootHeight	81.2349	22.5225	76.1494	46.767	124.7192	251.7634	56.8472	81.7775	
age(root)	1941.7651	22.5225	1946.8506	1898.2808	1976.233	251.7634	1941.2225	1966.1528	
treeLength	1931.6112	306.1537	1886.8852	1364.4414	2543.033	206.2488	1634.7816	2007.1031	
tmrca(ingroup)	81.2349	22.5225	76.1494	46.767	124.7192	251.7634	56.8472	81.7775	
age(ingroup)	1941.7651	22.5225	1946.8506	1898.2808	1976.233	251.7634	1941.2225	1966.1528	
demographic.populationSizeChanges	3.3861	0.6084	3	3	5	972.7165	3	3	
demographic.populationMean	184.1288	129.826	150.5643	27.3046	434.4362	272.626	59.0553	165.971	
demographic.popSize1	108.0952	133.6208	62.4377	0.5306	345.5207	262.8297	0.5559	62.4377	
demographic.popSize2	184.4586	255.1962	101.8665	3.3028E-5	624.8086	1073.8817	0.0766	101.9325	
demographic.popSize3	184.0183	260.8214	99.4894	7.771E-3	645.0697	1020.2293	4.3369E-3	99.4894	
demographic.popSize4	177.5915	239.7274	95.5941	0.0113	624.8288	1079.6545	0.0113	95.5941	
demographic.popSize5	179.4849	257.8732	96.4969	0.0229	623.7184	970.5489	0.0279	96.4969	
demographic.popSize6	181.832	263.4596	97.4914	0.0196	634.5677	947.1376	4.7516E-3	97.4914	
demographic.popSize7	179.6586	260.2011	95.0645	2.8433E-3	631.9251	1005.6998	0.0283	95.0769	
demographic.popSize8	176.2164	258.294	92.6583	0.0119	630.1033	906.2048	0.0119	92.6583	
demographic.popSize9	182.0108	252.7545	98.9037	0.0111	644.2701	933.3792	0.0148	98.9037	
demographic.popSize10	186.6466	273.8221	103.3613	2.6807E-3	636.7654	1096.3365	0.0417	103.3849	
demographic.popSize11	183.339	261.3483	98.3188	0.0166	637.7613	975.6614	0.0198	98.3206	
demographic.popSize12	181.6707	260.6429	96.4723	3.3121E-3	626.7716	1058.4554	3.3121E-3	96.4723	
demographic.popSize13	181.774	252.3706	99.9069	0.0171	632.9416	1032.3331	0.0171	99.9069	
demographic.popSize14	180.0715	253.5431	95.8016	8.3416E-3	631.3709	1002.1917	0.0375	95.8284	
demographic.popSize15	182.082	265.5978	97.7444	0.018	632.7571	1032.4653	0.0318	97.7444	
demographic.popSize16	178.1709	256.5254	95.0366	7.0867E-3	617.7347	931.2366	7.0867E-3	95.0366	
demographic.popSize17	175.0427	248.5298	93.1913	8.0887E-3	624.4541	940.9505	2.2395E-3	93.1913	
demographic.popSize18	176.761	255.216	93.6347	6.5631E-3	628.5177	886.2085	6.5631E-3	93.6347	
demographic.popSize19	180.0697	248.6229	98.1746	3.3619E-3	624.108	1058.8729	3.3619E-3	98.1746	
demographic.popSize20	183.2745	271.6132	98.5862	0.0398	624.9088	985.3154	0.0554	98.599	
demographic.popSize21	176.1779	258.8731	92.3191	0.0126	617.2113	920.0176	7.1515E-3	92.3191	
demographic.popSize22	181.8338	268.5519	96.3282	5.7769E-3	629.2736	1009.8941	0.0236	96.3459	
demographic.popSize23	174.8854	250.9818	93.1178	0.0355	609.3204	996.743	9.4178E-3	93.1178	
demographic.popSize24	177.4779	265.4248	90.9052	1.4301E-4	628.2133	872.6128	1.4301E-4	90.9052	
demographic.popSize25	174.8036	259.6617	89.326	2.9596E-3	636.6336	850.9697	0.0426	89.3281	
demographic.popSize26	167.5504	241.9512	86.7789	0.012	599.2359	932.3598	0.012	86.7789	
demographic.popSize27	170.7848	256.0143	84.3343	1.4966E-4	626.7657	849.5634	1.4966E-4	84.3343	
demographic.popSize28	167.7969	258.8759	86.0664	0.0284	588.8453	948.4738	0.0219	86.0762	
demographic.popSize29	174.5343	264.994	88.3368	0.0216	622.9046	951.1802	0.0216	88.3368	
