burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15394.8051	172.0195	-15385.8195	-15730.3148	-15076.9966	218.799	-15477.7264	-15236.8908	
prior	-7628.4776	172.2725	-7620.706	-7963.8774	-7307.5566	217.4307	-7715.6842	-7472.5796	
likelihood	-7766.3275	18.3509	-7765.833	-7802.855	-7730.7702	654.0618	-7777.6055	-7753.1221	
treeModel.rootHeight	100.3764	29.4311	94.6966	58.9448	158.9794	253.1888	68.3847	100.9763	
age(root)	1922.6236	29.4311	1928.3034	1864.0206	1964.0552	253.1888	1922.0237	1954.6153	
treeLength	3445.4957	787.4189	3291.5014	2267.6722	4998.6956	198.288	2420.1274	3428.5177	
tmrca(ingroup)	100.3764	29.4311	94.6966	58.9448	158.9794	253.1888	68.3847	100.9763	
age(ingroup)	1922.6236	29.4311	1928.3034	1864.0206	1964.0552	253.1888	1922.0237	1954.6153	
demographic.populationSizeChanges	3.3644	0.5947	3	3	4	664.4196	3	3	
demographic.populationMean	820.2694	855.6205	565.9962	77.7798	2266.6755	243.7807	185.977	620.342	
demographic.popSize1	300.3359	370.6583	149.664	1.626	1056.5379	218.1531	4.478	149.9514	
demographic.popSize2	831.9372	1480.0594	393.7558	0.047	2989.4217	690.9739	0.1786	393.7578	
demographic.popSize3	834.4504	1480.5102	386.3802	0.0821	3050.3742	630.2558	0.249	386.3802	
demographic.popSize4	836.3658	1517.7168	387.5284	0.0121	3047.7712	633.8284	0.0121	387.5284	
demographic.popSize5	819.6009	1537.987	386.479	0.1397	2932.3791	640.2414	0.4505	386.7432	
demographic.popSize6	824.5723	1463.136	389.3007	0.0433	2989.7562	732.7519	0.0433	389.316	
demographic.popSize7	790.313	1330.1374	378.5171	7.6398E-3	2835.1021	669.2589	0.0888	378.5944	
demographic.popSize8	807.7543	1404.6213	388.8195	0.0171	2893.0777	648.8768	0.0893	388.8195	
demographic.popSize9	832.742	1612.5238	391.2338	0.0542	2988.9386	659.4164	0.1995	391.4114	
demographic.popSize10	469.1923	805.2214	184.0023	0.0942	1945.2183	569.6669	0.9087	184.7118	
demographic.popSize11	755.2402	1414.7438	331.7274	0.0271	2802.5113	665.2337	0.0271	331.7274	
demographic.popSize12	833.4175	1493.329	385.2184	3.5109E-4	3138.164	631.5419	3.5109E-4	385.2184	
demographic.popSize13	821.3515	1442.2602	380.1227	0.028	3035.651	637.5955	1.1075E-3	380.1227	
