burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14778.7034	138.8361	-14776.6007	-15040.0064	-14504.5959	486.8998	-14875.3412	-14686.3353	
prior	-7236.3058	138.4721	-7235.5285	-7494.3256	-6958.817	483.0637	-7336.4224	-7147.1916	
likelihood	-7542.3976	17.8448	-7542.2999	-7577.6898	-7507.3475	1857.0548	-7554.367	-7530.5148	
treeModel.rootHeight	76.7305	20.4349	72.0143	46.6873	117.2453	523.0965	55.3776	76.7576	
age(root)	1946.2695	20.4349	1950.9857	1905.7547	1976.3127	523.0965	1946.2424	1967.6224	
treeLength	1860.8563	297.6794	1832.5403	1317.1397	2390.2792	411.1783	1554.1752	1953.828	
tmrca(ingroup)	76.7305	20.4349	72.0143	46.6873	117.2453	523.0965	55.3776	76.7576	
age(ingroup)	1946.2695	20.4349	1950.9857	1905.7547	1976.3127	523.0965	1946.2424	1967.6224	
demographic.populationSizeChanges	3.4305	0.6422	3	3	5	1719.485	3	3	
demographic.populationMean	168.4944	141.1081	134.802	24.601	383.7514	507.9081	55.7448	150.9452	
demographic.popSize1	111.1135	130.8703	68.1756	0.0577	371.1652	516.7882	1.6176	69.0017	
demographic.popSize2	168.979	256.4498	91.7663	5.6373E-4	577.9849	1624.8118	3.3028E-5	91.7663	
demographic.popSize3	168.0652	259.1182	89.1984	8.1251E-4	578.6963	1463.5875	7.771E-3	89.1984	
demographic.popSize4	164.0579	248.8525	87.4023	1.1753E-3	569.3865	1526.5184	0.0115	87.4031	
demographic.popSize5	166.1858	254.1282	88.186	2.8165E-3	573.7838	1539.1753	0.0189	88.1892	
demographic.popSize6	166.5671	267.5629	88.3187	4.2414E-3	570.0104	1587.2151	0.0112	88.3187	
demographic.popSize7	165.1486	275.138	86.8906	2.6647E-3	572.2553	1919.5259	2.6647E-3	86.8906	
demographic.popSize8	161.9109	254.4528	84.6629	3.8653E-3	560.8672	1463.1152	0.0237	84.6687	
demographic.popSize9	168.4822	268.6857	89.1181	0.0107	587.5246	1610.97	0.0107	89.1181	
demographic.popSize10	168.4273	273.6405	90.0605	3.1899E-3	569.5739	1493.4553	3.1899E-3	90.0605	
demographic.popSize11	156.8444	229.7631	82.8657	0.0275	558.3788	1782.8371	4.9888E-3	82.8657	
demographic.popSize12	165.9637	257.667	87.0583	2.833E-3	568.5635	1583.5888	0.0101	87.0583	
demographic.popSize13	166.4401	263.3249	88.4739	0.0142	579.5099	1772.355	0.0171	88.4739	
demographic.popSize14	161.2751	260.721	83.1812	2.8933E-5	565.4199	1695.7506	2.4895E-3	83.1812	
demographic.popSize15	165.6993	255.1307	88.9598	1.8454E-3	561.5984	1660.3321	0.0178	88.9688	
demographic.popSize16	163.3471	255.0653	85.9011	5.0641E-4	564.6439	1657.461	5.0641E-4	85.9011	
demographic.popSize17	164.4375	251.1778	86.0396	1.1166E-3	583.8479	1532.614	1.1166E-3	86.0396	
