burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14413.4486	156.0314	-14411.8495	-14715.5472	-14115.9778	464.4594	-14512.1874	-14298.2594	
prior	-7090.7443	160.0095	-7088.5104	-7403.997	-6782.019	454.9725	-7191.8301	-6973.5801	
likelihood	-7322.7042	20.6576	-7322.7078	-7363.1687	-7282.5876	991.9828	-7336.7118	-7308.6402	
treeModel.rootHeight	66.1449	18.1833	63.3341	35.5212	101.1089	482.2584	46.8894	68.1124	
age(root)	1955.8551	18.1833	1958.6659	1920.8911	1986.4788	482.2584	1953.8876	1975.1106	
treeLength	1574.097	257.1692	1560.3441	1100.7791	2054.1626	410.1621	1350.8441	1716.5966	
tmrca(ingroup)	66.1449	18.1833	63.3341	35.5212	101.1089	482.2584	46.8894	68.1124	
age(ingroup)	1955.8551	18.1833	1958.6659	1920.8911	1986.4788	482.2584	1953.8876	1975.1106	
demographic.populationSizeChanges	2.9289	0.7932	3	2	4	889.1886	3	3	
demographic.populationMean	99.7826	88.9534	74.3589	12.9306	259.1028	507.6933	24.491	80.4022	
demographic.popSize1	64.2122	96.2213	26.6673	0.0861	245.026	613.3572	0.0861	26.6673	
demographic.popSize2	99.835	163.4624	49.6482	2.1127E-4	359.1328	1572.9722	3.7776E-3	49.6482	
demographic.popSize3	98.2441	162.436	47.3299	2.6159E-3	356.5228	1587.4848	1.7336E-3	47.3306	
demographic.popSize4	95.7331	155.6375	47.0578	2.4803E-3	343.6066	1574.1112	8.5669E-5	47.0578	
demographic.popSize5	97.5951	154.8352	47.6595	1.782E-3	351.3095	1433.2004	6.3287E-3	47.6595	
demographic.popSize6	99.4408	161.8728	48.2344	1.4477E-3	364.1808	1533.0352	1.4477E-3	48.2344	
demographic.popSize7	94.1402	153.7891	45.3384	0.0104	345.056	1535.5738	0.0201	45.3422	
demographic.popSize8	96.6172	165.9343	46.4283	4.1677E-3	349.7984	1548.5079	0.0366	46.4397	
demographic.popSize9	97.2299	164.1233	46.4703	3.7067E-3	347.3062	1470.7281	8.431E-3	46.4703	
demographic.popSize10	96.2618	154.1658	47.3447	7.0452E-3	343.7521	1529.3965	4.5614E-3	47.3453	
demographic.popSize11	95.79	163.1106	46.2905	1.5287E-3	346.4789	1566.4544	0.0358	46.3075	
demographic.popSize12	96.0855	161.0573	46.3146	7.6751E-4	347.6003	1548.9784	7.6751E-4	46.3146	
demographic.popSize13	96.035	160.3655	46.1647	0.0145	346.1997	1542.0464	0.0145	46.1647	
demographic.popSize14	94.9567	151.6963	47.1088	0.0108	338.7339	1632.0763	0.0201	47.1116	
demographic.popSize15	97.8339	161.2351	47.1961	8.5414E-3	352.5779	1476.6184	6.0342E-3	47.1961	
demographic.popSize16	98.0679	154.7716	49.6722	8.1892E-3	350.5457	1606.0014	0.024	49.6854	
demographic.popSize17	97.149	157.3845	48.3493	5.8971E-4	347.6483	1529.4938	1.7891E-4	48.3493	
demographic.popSize18	98.0431	160.5098	47.6787	2.4829E-3	350.1725	1529.1237	0.0354	47.7012	
demographic.popSize19	99.1382	155.5866	49.3098	9.7795E-4	350.4871	1518.1446	4.287E-3	49.3098	
